bund_nr,lfd_nr,baumkennzahl,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
130023,29,1,0,gki,72,1,438,130,NA,NA,250,1615,1,1
130023,30,1,0,gki,72,1,320,130,NA,NA,283,1109,3,1
130023,31,1,0,gki,72,1,283,130,NA,NA,277,814,3,1
130023,32,1,0,gki,72,1,220,130,NA,NA,288,521,4,1
130023,33,1,0,gki,72,1,325,130,NA,NA,318,441,2,1
130023,34,1,0,gki,72,1,266,130,270,235,337,319,2,1
130023,35,2,0,gki,72,1,NA,NA,NA,NA,344,683,NA,NA
130023,36,3,0,gki,72,1,NA,NA,NA,NA,333,1059,NA,NA
130023,37,1,0,gki,72,1,416,130,NA,NA,316,993,1,1
130023,38,1,0,gki,72,1,394,130,NA,NA,310,1284,1,1
130023,39,1,0,gki,72,1,465,130,NA,NA,315,1569,1,1
130023,40,1,0,sbi,25,5,136,130,154,97,344,1119,0,2
130023,41,1,0,gki,72,1,415,130,297,216,363,855,1,1
130023,42,1,0,gki,72,1,321,130,NA,NA,373,651,2,1
130023,43,1,0,gki,72,1,219,130,NA,NA,4,1026,4,1
130023,44,1,0,gki,72,1,314,130,NA,NA,8,1333,2,1
130023,45,1,0,gki,72,1,405,130,NA,NA,14,1536,1,1
130026,1,1,0,gki,82,1,383,130,293,214,42,655,2,1
130026,2,1,0,bah,55,5,308,130,208,123,28,703,2,2
130026,3,1,0,gki,82,1,386,130,NA,NA,29,914,3,1
130026,4,1,0,gki,82,1,352,130,NA,NA,57,1318,2,1
130026,5,1,0,hbu,25,1,165,130,148,37,17,1275,3,2
130026,6,1,0,rbu,25,1,164,130,NA,NA,7,896,3,2
130026,7,1,0,rbu,55,5,262,130,NA,NA,2,486,1,2
130026,8,1,0,gki,82,1,283,130,NA,NA,394,389,2,1
130026,9,1,0,bah,25,1,146,130,NA,NA,393,108,2,2
130026,10,1,0,rbu,55,5,260,130,NA,NA,368,156,1,2
130026,11,1,0,rbu,25,1,158,130,179,108,354,364,2,2
130026,12,1,0,gki,82,1,316,130,276,216,395,679,2,1
130026,13,1,0,hbu,25,1,168,130,158,79,392,834,2,2
130026,14,1,0,hbu,25,1,162,130,216,116,365,954,2,2
130026,15,1,0,hbu,25,1,139,130,NA,NA,366,955,2,2
130026,16,1,0,hbu,25,1,130,130,NA,NA,368,959,3,2
130026,17,1,0,hbu,25,1,139,130,NA,NA,392,871,3,2
130026,18,1,0,gki,82,1,411,130,NA,NA,352,806,1,1
130026,19,1,0,hbu,25,1,130,130,109,66,354,1016,4,2
130026,20,1,0,ela,82,1,330,130,300,189,363,1150,1,1
130026,21,1,0,ela,82,1,293,130,287,167,366,1405,2,1
130026,22,1,0,rbu,55,5,206,130,NA,NA,332,1222,2,2
130026,23,1,0,gki,82,1,411,130,NA,NA,314,1308,1,1
130026,24,1,0,ela,82,1,528,130,307,154,315,1642,1,1
