bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung,aufnahmestatus,probeflächengröße
130017,11,1,1,1,15,15,1,1,500
130017,12,4,1,1,40,1,1,1,500
130017,13,3,1,1,48,16,1,1,500
130017,14,4,3,1,49,2,2,1,500
130022,1,5,1,1,18,150,4,1,500
130022,2,2,1,1,17,93,3,1,500
130022,3,4,1,1,22,1,1,1,500
130022,4,2,1,1,17,169,1,1,500
130022,5,1,1,1,10,100,2,1,500
130022,6,1,1,1,11,8,2,1,500
130022,7,4,1,1,17,1,3,1,500
130022,8,1,1,1,20,111,4,1,500
130022,9,2,1,1,11,135,2,1,500
130022,10,1,1,1,11,160,2,1,500
130023,1,4,1,1,14,2,3,1,500
130023,2,1,1,1,12,105,3,1,500
130023,3,1,1,1,17,56,3,1,500
130023,4,2,1,1,23,153,1,1,500
130023,5,2,1,1,27,186,1,1,500
130023,6,1,1,1,10,40,5,1,500
130023,7,4,2,1,17,2,4,1,500
130027,1,4,2,1,11,1,4,1,500
130027,2,1,2,1,11,5,4,1,500
130027,3,4,2,1,13,1,4,1,500
130027,4,4,1,1,42,4,2,1,500
130027,5,4,1,1,33,2,4,1,500
130027,6,1,1,1,22,2,3,1,500
130027,7,4,1,1,18,2,3,1,500
130027,8,1,1,1,11,35,2,1,500
130027,9,4,1,1,28,1,4,1,500
130027,10,4,1,1,12,11,4,1,500
130027,11,4,1,1,31,2,4,1,500
130027,12,1,1,1,16,8,2,1,500
130027,13,1,1,1,10,6,2,1,500
130027,14,4,2,1,13,1,4,1,500
130027,15,4,1,1,21,2,3,1,500
130027,16,4,1,1,26,2,3,1,500
130027,17,4,1,1,15,1,4,1,500
130027,18,4,1,1,23,2,4,1,500
130027,19,4,1,1,12,1,3,1,500
130027,20,4,1,1,31,1,4,1,500
130027,21,1,1,1,12,41,4,1,500
130027,22,4,1,1,36,3,2,1,500
130027,23,4,1,1,28,1,3,1,500
130027,24,1,2,1,10,11,4,1,500
130027,25,1,1,1,38,2,3,1,500
130027,26,4,1,1,45,1,3,1,500
130027,27,4,2,1,23,1,4,1,500
130027,28,4,1,1,13,1,4,1,500
130027,29,4,2,1,19,1,4,1,500
130027,30,4,2,1,12,3,4,1,500
130027,31,1,2,1,10,12,3,1,500
130027,32,1,2,1,7,18,3,1,500
130027,33,1,2,1,12,3,4,1,500
130028,1,4,1,1,35,3,5,1,500
130028,2,4,2,1,17,2,5,1,500
130028,3,1,1,1,44,94,1,1,500
130028,4,3,1,1,31,8,1,1,500
130028,5,1,1,1,18,10,1,1,500
130028,6,1,2,1,11,28,4,1,500
130028,7,1,2,1,12,19,2,1,500
130028,8,4,4,1,18,2,5,1,500
130028,9,3,2,1,10,192,4,1,500
130028,10,4,1,1,10,2,3,1,500
130028,11,4,4,1,27,3,5,1,500
130028,12,4,4,1,17,3,5,1,500
130028,13,1,4,1,12,32,3,1,500
130028,14,1,1,1,9,47,3,1,500
130028,15,1,1,1,18,74,2,1,500
130028,16,4,4,1,14,1,5,1,500
130028,17,1,1,1,8,50,2,1,500
130028,18,1,4,1,7,52,5,1,500
130028,19,1,1,1,6,54,1,1,500
130028,20,2,1,1,26,22,2,1,500
130028,21,2,1,1,20,13,2,1,500
130029,1,4,1,1,12,1,4,1,500
130029,2,1,1,1,10,75,3,1,500
130029,3,2,1,1,12,149,2,1,500
130029,4,1,1,1,19,3,4,1,500
130029,5,1,1,1,10,62,2,1,500
130032,1,1,3,1,12,20,2,1,500
130032,2,3,1,1,57,17,4,1,500
130032,3,1,3,1,12,30,2,1,500
130032,4,1,3,1,14,8,3,1,500
130032,5,4,3,1,33,2,3,1,500
