bund_nr,team,datum,aufnahmestatus,ort,flaechegröße,zersetzung,baumgruppe,faktor,distanz,azimut,anmerkung
130088,Thiede / Martin,44769,2,1,10000,-2,-2,-2,1000,390,NA
130088,Thiede / Martin,44769,1,2,10000,3,1,1,1000,90,NA
130088,Thiede / Martin,44769,1,3,10000,2,2,1,1000,290,NA
130071,Thiede / Martin,45084,2,1,10000,-2,-2,-2,1000,390,NA
130071,Thiede / Martin,45084,1,2,10000,2,1,1,1000,90,NA
130071,Thiede / Martin,45084,1,3,10000,2,1,1,1000,290,NA
130052,Thiede / Martin,45029,2,1,10000,-2,-2,1,1000,390,NA
130052,Thiede / Martin,45029,2,2,10000,-2,-2,1,1000,90,NA
130052,Thiede / Martin,45029,2,3,10000,-2,-2,1,1000,290,NA
130039,Thiede / Martin,44938,2,1,10000,-2,-2,-2,1000,390,NA
130039,Thiede / Martin,44938,1,2,10000,4,1,1,1000,90,NA
130039,Thiede / Martin,44938,1,3,10000,5,1,1,1000,290,NA
130044,Thiede / Martin,45034,2,1,10000,-2,-2,1,1000,390,NA
130044,Thiede / Martin,45034,2,2,10000,-2,-2,1,1000,90,NA
130044,Thiede / Martin,45034,1,3,10000,2,1,1,1000,290,NA
130068,Thiede / Martin,45007,2,1,10000,-2,-2,-2,1000,390,NA
130068,Thiede / Martin,45007,2,2,10000,-2,-2,-2,1000,90,NA
130068,Thiede / Martin,45007,2,3,10000,-2,-2,-2,1000,290,NA
130033,Bettac / Priebe,44950,2,1,10000,-2,-2,1,1000,390,NA
130033,Bettac / Priebe,44950,1,2,10000,3,1,1,1000,90,NA
130033,Bettac / Priebe,44950,1,3,10000,3,1,1,1000,290,NA
130029,Bettac / Priebe,44949,1,1,10000,3,1,1,1000,390,NA
130029,Bettac / Priebe,44949,1,2,10000,2,1,1,1000,90,NA
130029,Bettac / Priebe,44949,1,3,10000,3,1,1,1000,290,NA
130023,Bettac / Priebe,44950,1,1,10000,3,1,1,1000,390,NA
130023,Bettac / Priebe,44950,1,2,10000,2,1,1,1000,90,NA
130023,Bettac / Priebe,44950,1,3,10000,2,1,1,1000,290,NA
130042,Bettac / Priebe,44951,2,1,10000,-2,-2,1,1000,390,NA
130042,Bettac / Priebe,44951,2,2,10000,-2,-2,1,1000,90,NA
130042,Bettac / Priebe,44951,1,3,10000,2,1,1,1000,290,NA
130017,Bettac / Priebe,44952,1,1,10000,1,1,1,1000,390,NA
130017,Bettac / Priebe,44952,1,2,10000,2,3,1,1000,90,NA
130017,Bettac / Priebe,44952,2,3,10000,-2,-2,1,1000,290,NA
130061,Thiede / Martin,44946,1,1,10000,3,1,1,1000,390,NA
130061,Thiede / Martin,44946,2,2,10000,-2,-2,-2,1000,90,NA
130061,Thiede / Martin,44946,1,3,10000,2,1,1,1000,290,NA
130064,Thiede / Martin,45352,1,1,10000,3,1,1,1000,390,NA
130064,Thiede / Martin,45352,1,2,10000,3,1,1,1000,90,NA
130064,Thiede / Martin,45352,1,3,10000,3,1,1,1000,290,NA
