bund_nr,pk_nr,pk_aufnahme,pk_richtung,pk_dist
50028,2,2,o,1000
50028,3,2,s,1000
50028,4,2,w,1000
50029,1,1,n,1000
50029,2,2,o,1000
50029,3,1,s,1000
50029,4,2,w,1000
50030,1,1,n,1000
50030,2,1,o,1000
50030,3,2,s,1000
50030,4,1,w,1000
50031,1,1,n,1000
50031,2,2,o,1000
50031,3,2,s,1000
50031,4,1,w,1000
50032,1,2,n,1000
50032,2,2,o,1000
50032,3,1,s,1000
50032,4,2,w,1000
50033,1,1,n,1000
50033,2,1,o,1000
50033,3,1,s,1000
50033,4,1,w,1000
50034,1,1,n,1000
50034,2,2,o,1000
50034,3,2,s,1000
50034,4,2,w,1000
50035,1,1,n,1000
50035,2,1,o,1000
50035,3,1,s,1000
50035,4,1,w,1000
50036,1,1,n,1000
50036,2,1,o,1000
50036,3,2,s,1000
50036,4,1,w,1000
50037,1,1,n,1000
50037,2,1,o,1000
50037,3,1,s,1000
50037,4,2,w,1000
50038,1,1,n,1000
50038,2,1,o,1000
50038,3,1,s,1000
50038,4,1,w,1000
50039,1,1,n,1000
50039,2,1,o,1000
50039,3,1,s,1000
50039,4,1,w,1000
50040,1,1,n,1000
50040,2,1,o,1000
50040,3,1,s,1000
50040,4,1,w,1000
50041,1,2,n,1000
50041,2,2,o,1000
50041,3,2,s,1000
50041,4,2,w,1000
50042,1,1,n,1000
50042,2,1,o,1000
50042,3,1,s,1000
50042,4,1,w,1000
50043,1,2,n,1000
50043,2,2,o,1000
50043,3,2,s,1000
50043,4,2,w,1000
50044,1,1,n,1000
50044,2,1,o,1000
50044,3,1,s,1000
50044,4,1,w,1000
50045,1,1,n,1000
50045,2,2,o,1000
50045,3,2,s,1000
50045,4,1,w,1000
50046,1,1,n,1000
50046,2,1,o,1000
50046,3,1,s,1000
50046,4,1,w,1000
50047,1,2,n,1000
50047,2,1,o,1000
50047,3,1,s,1000
50047,4,2,w,1000
50048,1,2,n,1000
50048,2,1,o,1000
50048,3,1,s,1000
50048,4,1,w,1000
50049,1,1,n,1000
50049,2,1,o,1000
50049,3,2,s,1000
50049,4,2,w,1000
50050,1,2,n,1000
50050,2,1,o,1000
50050,3,1,s,1000
50050,4,1,w,1000
50051,1,1,n,1000
50051,2,1,o,1000
50051,3,1,s,1000
50051,4,1,w,1000
50052,1,1,n,1000
50052,2,1,o,1000
50052,3,1,s,1000
50052,4,1,w,1000
50053,1,1,n,500
50053,2,1,o,1000
50053,3,1,s,1000
50053,4,1,w,1000
50054,1,1,n,1000
50054,2,1,o,1000
50054,3,1,s,1000
50054,4,1,w,1000
50055,1,2,n,1000
50055,2,2,o,1000
50055,3,1,s,1000
50055,4,1,w,1000
50056,1,1,n,1000
50056,2,1,o,1000
50056,3,1,s,1000
50056,4,1,w,1000
50057,1,1,n,1000
50057,2,2,o,1000
50057,3,1,s,1000
50057,4,1,w,1000
50058,1,1,n,1000
50058,2,1,o,1000
50058,3,1,s,1000
50058,4,1,w,1000
50059,1,1,n,1000
50059,2,1,o,1000
50059,3,1,s,1000
50059,4,1,w,1000
50060,1,1,n,1000
50060,2,1,o,1000
50060,3,1,s,1000
50060,4,1,w,1000
50061,1,2,n,1000
50061,2,2,o,1000
50061,3,2,s,1000
50061,4,2,w,1000
50062,1,1,n,1000
50062,2,1,o,1000
50062,3,1,s,1000
50062,4,1,w,1000
50063,1,1,n,1000
50063,2,2,o,1000
50063,3,2,s,1000
50063,4,1,w,1000
50064,1,1,n,500
50064,2,1,o,1000
50064,3,2,s,1000
50064,4,1,w,1000
50065,1,1,n,500
50065,2,1,o,1000
50065,3,1,s,1000
50065,4,1,w,500
50066,1,1,n,1000
50066,2,1,o,1000
50066,3,1,s,1000
50066,4,1,w,1000
50067,1,2,n,1000
50067,2,1,o,1000
50067,3,1,s,1000
50067,4,2,w,1000
50068,1,1,n,1000
50068,2,2,o,1000
50068,3,2,s,1000
50068,4,2,w,1000
50069,1,1,n,1000
50069,2,1,o,1000
50069,3,1,s,1000
50069,4,1,w,1000
50070,1,1,n,1000
50070,2,1,o,1000
50070,3,1,s,1000
50070,4,1,w,1000
50071,1,1,n,1000
50071,2,1,o,1000
50071,3,1,s,1000
50071,4,1,w,1000
50072,1,1,n,1000
50072,2,2,o,1000
50072,3,1,s,1000
50072,4,1,w,1000
50073,1,1,n,1000
50073,2,1,o,1000
50073,3,1,s,1000
50073,4,1,w,1000
50074,1,2,n,1000
50074,2,2,o,1000
50074,3,2,s,1000
50074,4,2,w,1000
50075,1,1,n,1000
50075,2,1,o,1000
50075,3,1,s,1000
50075,4,1,w,1000
50076,1,2,n,1000
50076,2,2,o,1000
50076,3,2,s,1000
50076,4,2,w,1000
50077,1,1,n,1000
50077,2,1,o,1000
50077,3,1,s,1000
50077,4,1,w,1000
50078,1,1,n,1000
50078,2,2,o,1000
50078,3,2,s,1000
50078,4,1,w,1000
50079,1,2,n,1000
50079,2,2,o,1000
50079,3,2,s,1000
50079,4,2,w,1000
50080,1,1,n,1000
50080,2,1,o,1000
50080,3,1,s,1000
50080,4,1,w,1000
50081,1,1,n,1000
50081,2,1,o,1000
50081,3,1,s,1000
50081,4,1,w,1000
50082,1,2,n,1000
50082,2,2,o,1000
50082,3,1,s,1000
50082,4,1,w,1000
50083,1,1,n,1000
50083,2,2,o,1000
50083,3,2,s,1000
50083,4,2,w,1000
50084,1,1,n,1000
50084,2,1,o,1000
50084,3,1,s,1000
50084,4,1,w,1000
50085,1,1,n,1000
50085,2,1,o,1000
50085,3,1,s,1000
50085,4,1,w,1000
50086,1,2,n,1000
50086,2,2,o,1000
50086,3,2,s,1000
50086,4,2,w,1000
50087,1,1,n,1000
50087,2,1,o,1000
50087,3,1,s,1000
50087,4,1,w,1000
50088,1,1,n,1000
50088,2,1,o,1000
50088,3,2,s,1000
50088,4,2,w,1000
50089,1,1,n,1000
50089,2,1,o,1000
50089,3,1,s,1000
50089,4,1,w,1000
50090,1,1,n,1000
50090,2,1,o,1000
50090,3,1,s,1000
50090,4,2,w,1000
50091,1,2,n,1000
50091,2,2,o,1000
50091,3,2,s,1000
50091,4,2,w,1000
50092,1,1,n,1000
50092,2,1,o,1000
50092,3,1,s,1000
50092,4,1,w,1000
50093,1,1,n,1000
50093,2,1,o,1000
50093,3,1,s,1000
50093,4,1,w,1000
50094,1,2,n,1000
50094,2,2,o,1000
50094,3,2,s,1000
50094,4,2,w,1000
50095,1,1,n,1000
50095,2,1,o,1000
50095,3,1,s,1000
50095,4,1,w,1000
50096,1,2,n,1000
50096,2,2,o,1000
50096,3,2,s,1000
50096,4,2,w,1000
50097,1,1,n,1000
50097,2,1,o,1000
50097,3,1,s,1000
50097,4,1,w,1000
50098,1,1,n,1000
50098,2,1,o,1000
50098,3,1,s,1000
50098,4,1,w,1000
50099,1,2,n,1000
50099,2,2,o,1000
50099,3,2,s,1000
50099,4,2,w,1000
50100,1,1,n,1000
50100,2,1,o,1000
50100,3,1,s,1000
50100,4,2,w,1000
50101,1,2,n,1000
50101,2,1,o,1000
50101,3,1,s,1000
50101,4,1,w,1000
50102,1,1,n,1000
50102,2,1,o,1000
50102,3,1,s,1000
50102,4,1,w,1000
50103,1,2,n,1000
50103,2,2,o,1000
50103,3,2,s,1000
50103,4,2,w,1000
50104,1,2,n,1000
50104,2,2,o,1000
50104,3,2,s,1000
50104,4,2,w,1000
50105,1,1,n,1000
50105,2,1,o,1000
50105,3,1,s,1000
50105,4,1,w,1000
50106,1,2,n,1000
50106,2,2,o,1000
50106,3,1,s,1000
50106,4,2,w,1000
50107,1,1,n,1000
50107,2,1,o,1000
50107,3,1,s,1000
50107,4,1,w,1000
50108,1,1,n,1000
50108,2,1,o,1000
50108,3,1,s,1000
50108,4,1,w,500
50109,1,1,n,1000
50109,2,1,o,1000
50109,3,1,s,500
50109,4,1,nw,1000
50110,1,1,n,1000
50110,2,1,o,500
50110,3,1,s,1000
50110,4,1,w,1000
50111,1,2,n,1000
50111,2,2,o,1000
50111,3,1,s,1000
50111,4,2,w,1000
50112,1,2,n,1000
50112,2,2,o,1000
50112,3,2,s,1000
50112,4,1,w,1000
50113,1,1,n,1000
50113,2,1,o,1000
50113,3,1,s,1000
50113,4,1,w,1000
50114,1,1,n,1000
50114,2,1,o,1000
50114,3,1,s,1000
50114,4,1,w,1000
50115,1,1,n,1000
50115,2,1,o,1000
50115,3,1,s,1000
50115,4,1,w,1000
50116,1,1,n,1000
50116,2,1,o,1000
50116,3,1,s,1000
50116,4,1,w,1000
50117,1,1,n,1000
50117,2,1,o,1000
50117,3,2,s,1000
50117,4,2,w,1000
50118,1,1,n,1000
50118,2,1,o,1000
50118,3,1,s,1000
50118,4,1,w,1000
50119,1,1,n,1000
50119,2,1,o,1000
50119,3,1,s,1000
50119,4,1,w,1000
50120,1,1,n,1000
50120,2,1,o,1000
50120,3,1,s,1000
50120,4,1,w,1000
50121,1,1,n,1000
50121,2,1,o,1000
50121,3,1,s,1000
50121,4,1,w,1000
50122,1,2,n,1000
50122,2,2,o,1000
50122,3,2,s,1000
50122,4,1,w,500
50123,1,2,n,1000
50123,2,2,o,1000
50123,3,2,s,1000
50123,4,2,w,1000
50124,1,1,n,1000
50124,2,1,o,1000
50124,3,1,s,1000
50124,4,1,w,1000
50125,1,1,n,1000
50125,2,1,o,1000
50125,3,1,s,1000
50125,4,1,w,1000
50126,1,1,n,1000
50126,2,1,o,1000
50126,3,1,s,1000
50126,4,1,w,1000
50127,1,1,n,1000
50127,2,1,o,1000
50127,3,1,s,1000
50127,4,1,w,1000
50128,1,2,n,1000
50128,2,2,o,1000
50128,3,2,s,1000
50128,4,2,w,1000
50129,1,2,n,1000
50129,2,2,o,1000
50129,3,2,s,1000
50129,4,2,w,1000
50130,1,1,n,1000
50130,2,1,o,1000
50130,3,1,s,1000
50130,4,1,w,1000
50131,1,1,n,1000
50131,2,1,o,1000
50131,3,1,s,1000
50131,4,1,w,1000
50132,1,1,n,1000
50132,2,1,o,1000
50132,3,1,s,1000
50132,4,1,w,1000
50133,1,1,n,1000
50133,2,1,o,1000
50133,3,1,s,1000
50133,4,1,w,1000
50134,1,2,n,1000
50134,2,1,o,1000
50134,3,2,s,1000
50134,4,2,w,1000
50135,1,1,n,1000
50135,2,1,o,1000
50135,3,1,s,1000
50135,4,1,w,1000
50136,1,1,n,1000
50136,2,1,o,1000
50136,3,1,s,1000
50136,4,1,w,1000
50137,1,2,n,1000
50137,2,1,o,1000
50137,3,2,s,1000
50137,4,2,w,1000
50138,1,1,n,1000
50138,2,1,o,1000
50138,3,1,s,1000
50138,4,1,w,1000
50139,1,1,n,1000
50139,2,1,o,1000
50139,3,1,s,1000
50139,4,1,w,500
50140,1,1,n,1000
50140,2,2,o,1000
50140,3,1,s,1000
50140,4,1,w,1000
50141,1,1,n,1000
50141,2,1,o,1000
50141,3,1,s,1000
50141,4,1,w,1000
50142,1,1,n,500
50142,2,1,o,500
50142,3,1,s,1000
50142,4,1,w,1000
50143,1,1,n,1000
50143,2,1,o,1000
50143,3,1,s,1000
50143,4,1,w,1000
50144,1,2,n,1000
50144,2,1,o,1000
50144,3,2,s,1000
50144,4,2,w,1000
50145,1,2,n,1000
50145,2,2,o,1000
50145,3,2,s,1000
50145,4,2,w,1000
50146,1,1,n,1000
50146,2,1,o,1000
50146,3,1,s,1000
50146,4,1,w,1000
