"","plot_ID","tree_ID","inv","lon","lat","t_stat"
"2730",50052,3,"HBI",-2.24781715538767,11.4005139373602,"A"
"2731",50052,4,"HBI",-7.54505667819212,7.92185077635703,"A"
"2732",50052,5,"HBI",-7.51057287253311,7.88564487701353,"A"
"2733",50052,6,"HBI",-1.28319717924056,-13.1374809228858,"B"
"2734",50052,7,"HBI",-7.92771869160433,-2.65346496995671,"B"
"2735",50052,8,"HBI",-12.4087991931419,9.97336967049155,"A"
"2736",50052,9,"HBI",-3.13989186414259,-5.13629040081372,"B"
"2737",50052,10,"HBI",-3.07320227273999,4.56129672251496,"B"
"2738",50052,11,"HBI",-8.2808832149103,12.2906213504858,"A"
"2739",50052,12,"HBI",-2.99741695372816,4.62337448250766,"B"
"2740",50052,13,"HBI",-1.25005886466529,8.77137120608128,"A"
"2741",50052,14,"HBI",-4.14311669557726,-8.94730037759038,"B"
"2742",50052,15,"HBI",-8.10706305894247,-3.62352432837568,"B"
"2743",50052,16,"HBI",3.03172616647288,6.39804942552991,"A"
"2744",50052,17,"HBI",-6.05295720897971,5.32215266844729,"B"
"2745",50052,18,"HBI",5.24850024631064,-8.41781712586328,"B"
"2746",50052,19,"HBI",-4.35017507441114,15.9991367523992,"A"
"2747",50052,21,"HBI",7.833765193387,0.940331268691184,"A"
"2748",50052,22,"HBI",5.09765294144345,-1.65636182297014,"B"
"2749",50052,23,"HBI",0.25876159298306,7.30541870381136,"A"
"2750",50052,24,"HBI",7.01787380926438,-3.51737788661399,"B"
"2751",50052,25,"HBI",11.0031862204326,-5.76075455114025,"A"
"2752",50052,26,"HBI",-2.80504279186059,11.9758813845091,"A"
"2753",50052,27,"HBI",7.60670602638805,1.53480403573608,"A"
"2754",50052,28,"HBI",5.74944311372897,-5.93055679358983,"B"
"2755",50052,29,"HBI",-2.24394827904449,11.3808917102736,"A"
"2756",50053,1,"HBI",0.86662638198953,4.60923623977332,"A"
"2757",50053,2,"HBI",5.05033051718296,16.7971950535561,"A"
"2758",50056,1,"HBI",3.67361228239496,1.68112248174751,"A"
"2759",50056,2,"HBI",-8.32339122637794,9.72425619225732,"A"
"2760",50056,3,"HBI",1.58336649043171,-11.107715811857,"A"
"2761",50056,4,"HBI",9.96240971120703,-11.6384188249971,"A"
"2762",50056,5,"HBI",-0.122413607486286,-13.8294582290378,"A"
"2763",50056,6,"HBI",-7.40712391493906,8.8099157378909,"A"
"2764",50056,7,"HBI",-13.8853014509219,-6.05977752207352,"A"
"2765",50056,8,"HBI",1.55454988413492,-12.4835802019187,"A"
"2766",50056,9,"HBI",-11.4915878279465,-12.5005523554998,"A"
"2767",50056,10,"HBI",7.65827899421427,-12.7812660893503,"A"
"2768",50056,11,"HBI",8.76823094157024,6.92004524228637,"B"
"2769",50056,12,"HBI",6.33864418602317,-11.0166097272707,"A"
"2770",50056,13,"HBI",14.1304727295578,5.4359305035315,"B"
