"";"plot_ID";"inv_year";"dw_sp";"dw_type";"decay";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"plot_A_ha";"stand_component";"n_ha"
"148";50005;2012;"all";"5";"2";"ag";0,611331749885831;0,305665874942915;0,00193364299876107;NA;"DW";NA
"149";50005;2012;"all";"5";"2";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"150";50005;2012;"all";"5";"2";"sb";0,027470748042221;0,0137353740211105;0,000198531096101131;NA;"DW";NA
"151";50005;2012;"all";"5";"2";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"152";50005;2012;"all";"5";"2";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"153";50005;2012;"all";"5";"2";"sw";0,280096588726387;0,140048294363193;0,000373928945949726;NA;"DW";NA
"154";50005;2012;"all";"1";"all";"ag";1,03611384590656;0,518056922953278;0,0062798623160606;NA;"DW";NA
"155";50005;2012;"all";"3";"all";"ag";0,410490825748984;0,205245412874493;0,000792004297007537;NA;"DW";NA
"156";50005;2012;"all";"3";"all";"sb";0,041411922035411;0,0207059610177054;0,000299283960549916;NA;"DW";NA
"157";50005;2012;"all";"3";"all";"sw";0,369078903713574;0,184539451856787;0,000492720336457621;NA;"DW";NA
"158";50005;2012;"all";"5";"all";"ag";0,611331749885831;0,305665874942915;0,00193364299876107;NA;"DW";NA
"159";50005;2012;"all";"5";"all";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"160";50005;2012;"all";"5";"all";"sb";0,027470748042221;0,0137353740211105;0,000198531096101131;NA;"DW";NA
"161";50005;2012;"all";"5";"all";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"162";50005;2012;"all";"5";"all";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"163";50005;2012;"all";"5";"all";"sw";0,280096588726387;0,140048294363193;0,000373928945949726;NA;"DW";NA
"164";50005;2012;"all";"all";"2";"ag";1,02182257563482;0,510911287817408;0,00272564729576861;NA;"DW";NA
"165";50005;2012;"all";"all";"2";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"166";50005;2012;"all";"all";"2";"sb";0,068882670077632;0,0344413350388159;0,000497815056651047;NA;"DW";NA
"167";50005;2012;"all";"all";"2";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"168";50005;2012;"all";"all";"2";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"169";50005;2012;"all";"all";"2";"sw";0,649175492439961;0,32458774621998;0,000866649282407347;NA;"DW";NA
"170";50005;2012;"all";"all";"3";"ag";0,281961317155623;0,140980658577812;0,00203773443908369;NA;"DW";NA
"171";50005;2012;"all";"all";"4";"ag";0,754152528750933;0,377076264375466;0,00424212787697691;NA;"DW";NA
"172";50005;2012;"1";"all";"all";"ag";0,506130057941386;0,253065028970693;0,00244966948043631;NA;"DW";NA
"173";50005;2012;"2";"all";"all";"ag";1,55180636359999;0,775903181799993;0,0065558401313929;NA;"DW";NA
"174";50005;2012;"2";"all";"all";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";NA
"175";50005;2012;"2";"all";"all";"sb";0,068882670077632;0,0344413350388159;0,000497815056651047;NA;"DW";NA
"176";50005;2012;"2";"all";"all";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";NA
"177";50005;2012;"2";"all";"all";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";NA
"178";50005;2012;"2";"all";"all";"sw";0,649175492439961;0,32458774621998;0,000866649282407347;NA;"DW";NA
"179";50005;2012;"all";"all";"all";"ag";2,05793642154137;1,02896821077069;0,00900550961182921;NA;"DW";179,876292231919
"180";50005;2012;"all";"all";"all";"fwb";0,291018558600146;0,145509279300073;0,00133897638811927;NA;"DW";179,876292231919
"181";50005;2012;"all";"all";"all";"sb";0,068882670077632;0,0344413350388159;0,000497815056651047;NA;"DW";179,876292231919
"182";50005;2012;"all";"all";"all";"stb";0,000881000137584056;0,000440500068792029;6,36698799431998e-06;NA;"DW";179,876292231919
"183";50005;2012;"all";"all";"all";"stw";0,0118648543794939;0,00593242718974695;1,58395805966243e-05;NA;"DW";179,876292231919
"184";50005;2012;"all";"all";"all";"sw";0,649175492439961;0,32458774621998;0,000866649282407347;NA;"DW";179,876292231919
"185";50006;2012;"2";"1";"2";"ag";1,47642034252476;0,738210171262379;0,0106700898154264;NA;"DW";NA
"186";50006;2012;"2";"1";"3";"ag";6,13430245553935;3,06715122776967;0,0443326038461829;NA;"DW";NA
"187";50006;2012;"2";"1";"4";"ag";0,996627149570149;0,498313574785074;0,00720262440994347;NA;"DW";NA
"188";50006;2012;"2";"1";"5";"ag";0,347535293511921;0,173767646755961;0,00251163756621065;NA;"DW";NA
"189";50006;2012;"2";"3";"3";"ag";0,845883951466869;0,422941975733435;0,00611320331725107;NA;"DW";NA
"190";50006;2012;"2";"4";"4";"ag";0,0241028440756378;0,0120514220378189;0,000174191254134634;NA;"DW";NA
"191";50006;2012;"3";"1";"4";"ag";0,166336607553226;0,083168303776613;0,00108235230534884;NA;"DW";NA
"192";50006;2012;"3";"4";"4";"ag";0,60759341070572;0,303796705352859;0,00395361032346212;NA;"DW";NA
"193";50006;2012;"2";"1";"all";"ag";8,95488524114618;4,47744262057309;0,0647169556377634;NA;"DW";NA
"194";50006;2012;"2";"3";"all";"ag";0,845883951466869;0,422941975733435;0,00611320331725107;NA;"DW";NA
"195";50006;2012;"2";"4";"all";"ag";0,0241028440756378;0,0120514220378189;0,000174191254134634;NA;"DW";NA
"196";50006;2012;"3";"1";"all";"ag";0,166336607553226;0,083168303776613;0,00108235230534884;NA;"DW";NA
"197";50006;2012;"3";"4";"all";"ag";0,60759341070572;0,303796705352859;0,00395361032346212;NA;"DW";NA
"198";50006;2012;"2";"all";"2";"ag";1,47642034252476;0,738210171262379;0,0106700898154264;NA;"DW";NA
"199";50006;2012;"2";"all";"3";"ag";6,98018640700622;3,49009320350311;0,0504458071634339;NA;"DW";NA
"200";50006;2012;"2";"all";"4";"ag";1,02072999364579;0,510364996822893;0,0073768156640781;NA;"DW";NA
"201";50006;2012;"2";"all";"5";"ag";0,347535293511921;0,173767646755961;0,00251163756621065;NA;"DW";NA
"202";50006;2012;"3";"all";"4";"ag";0,773930018258946;0,386965009129472;0,00503596262881096;NA;"DW";NA
"203";50006;2012;"all";"1";"2";"ag";1,47642034252476;0,738210171262379;0,0106700898154264;NA;"DW";NA
"204";50006;2012;"all";"1";"3";"ag";6,13430245553935;3,06715122776967;0,0443326038461829;NA;"DW";NA
