"";"lon";"lat";"plot_ID";"e_ID";"inv_year";"e_form";"CCS_r_m";"stand"
"271";3404938,69511548;5695294,16715908;50057;1;2012;2;17,84;"warning"
"272";3404961,67448396;5695006,13152297;50057;1;2012;2;17,84;"warning"
"273";3412890,82174254;5686987,67045781;50062;1;2012;2;17,84;"A"
"274";3413177,63741123;5686851,10518311;50062;1;2012;2;17,84;"A"
"275";3412874,46669531;5686666,99068614;50062;1;2012;2;17,84;"A"
"276";3412890,82174254;5686987,67045781;50062;1;2012;2;17,84;"A"
"277";3420997,75189188;5670993,00265889;50068;1;2012;2;17,84;"B"
"278";3420758,3542008;5671196,79043354;50068;1;2012;2;17,84;"B"
"279";3420694,13818611;5670955,95959236;50068;1;2012;2;17,84;"B"
"280";3420997,75189188;5670993,00265889;50068;1;2012;2;17,84;"B"
"281";3429029,03919605;5654990,21615142;50073;1;2012;2;17,84;"warning"
"282";3428928,0850868;5655290,55595386;50073;1;2012;2;17,84;"warning"
"283";3429020,67631047;5655302,09039144;50073;1;2012;2;17,84;"warning"
"284";3429029,03919605;5654990,21615142;50073;1;2012;2;17,84;"warning"
"285";3437064,50081358;5639094,09638835;50080;1;2012;2;17,84;"warning"
"286";3437341,25746431;5639258,61048244;50080;1;2012;2;17,84;"warning"
"287";3436942,71492046;5639378,46735381;50080;1;2012;2;17,84;"warning"
"288";3437064,50081358;5639094,09638835;50080;1;2012;2;17,84;"warning"
"289";3437077,05657077;5639111,89323062;50080;2;2012;2;17,84;"B"
"290";3437036,22106084;5638814,76874593;50080;2;2012;2;17,84;"B"
"291";3436949,35794691;5639381,77525859;50080;2;2012;2;17,84;"B"
"292";3437077,05657077;5639111,89323062;50080;2;2012;2;17,84;"B"
"293";3444991,22083803;5703054,26138789;50094;1;2012;2;17,84;"B"
"294";3444930,10755827;5702727,57594755;50094;1;2012;2;17,84;"B"
"295";3445015,5461063;5702716,5691645;50094;1;2012;2;17,84;"B"
"296";3444991,22083803;5703054,26138789;50094;1;2012;2;17,84;"B"
"297";3453166,988;5703089,832;50101;1;2012;2;17,84;"B"
"298";3453432,76963936;5703228,9726489;50101;1;2012;2;17,84;"B"
"299";3453325,72047964;5703344,39829766;50101;1;2012;2;17,84;"B"
"300";3453166,988;5703089,832;50101;1;2012;2;17,84;"B"
"301";3452950,16691792;5774963,93287979;50102;1;2012;2;17,84;"warning"
"302";3452775,56351574;5775216,48530569;50102;1;2012;2;17,84;"warning"
"303";3452956,53989425;5775278,70959657;50102;1;2012;2;17,84;"warning"
"304";3452950,16691792;5774963,93287979;50102;1;2012;2;17,84;"warning"
"305";3460964,79770935;5767064,39785448;50109;1;2012;2;17,84;"B"
"306";3460673,73735653;5766984,87666175;50109;1;2012;2;17,84;"B"
"307";3461055,91791933;5766770,13179366;50109;1;2012;2;17,84;"B"
"308";3460964,79770935;5767064,39785448;50109;1;2012;2;17,84;"B"
"309";3469049,82858291;5702969,01918279;50112;1;2012;2;17,84;"A"
"310";3468859,91993032;5702710,17704373;50112;1;2012;2;17,84;"A"
"311";3468752,71141098;5703095,67118054;50112;1;2012;2;17,84;"A"
"312";3469049,82858291;5702969,01918279;50112;1;2012;2;17,84;"A"
"313";3485025,79337939;5726802,82212746;50122;1;2012;2;17,84;"warning"
"314";3484824,72826868;5727033,6499935;50122;1;2012;2;17,84;"warning"
"315";3485273,36684291;5726992,58301423;50122;1;2012;2;17,84;"warning"
"316";3485025,79337939;5726802,82212746;50122;1;2012;2;17,84;"warning"
"317";3500874,40564995;5743374,47771349;50131;1;2012;2;17,84;"B"
"318";3500603,99333418;5743520,78295168;50131;1;2012;2;17,84;"B"
"319";3500782,17110895;5743677,75958793;50131;1;2012;2;17,84;"B"
"320";3500874,40564995;5743374,47771349;50131;1;2012;2;17,84;"B"
