"";"plot_ID";"inv_year";"e_ID";"geometry";"e_form"
"34";50070;2012;1;list(c(3421035.03004717, 3420992.81732319, 3420962.84646898, 3421035.03004717, 5791012.12422506, 5790939.27806372, 5791055.4602185, 5791012.12422506));1
"35";50072;2012;1;list(c(3429100.93272098, 3429181.17111962, 3429110.15935078, 3429100.93272098, 5639067.68389349, 5639082.87112806, 5638986.54375537, 5639067.68389349));1
"36";50075;2012;2;list(c(3428886.66011742, 3428965.48019164, 3428859.27664968, 3428886.66011742, 5671042.2032343, 5671020.34273425, 5670965.12774366, 5671042.2032343));1
"37";50083;2012;1;list(c(3437023.11906688, 3437059.17173979, 3436955.98888732, 3437023.11906688, 5663004.01096538, 5663062.22079324, 5663017.49125748, 5663004.01096538));1
"38";50086;2012;1;list(c(3436938.18509332, 3437005.10087092, 3436977.5904186, 3436938.18509332, 5702999.84029485, 5702954.2599866, 5703070.56869178, 5702999.84029485));1
"39";50090;2012;1;list(c(3445115.75471887, 3445147.94053606, 3445043.59441974, 3445115.75471887, 5655036.29195273, 5654970.01233666, 5655021.39881455, 5655036.29195273));1
"40";50092;2012;1;list(c(3445009.7760219, 3445083.53082668, 3444980.02946973, 3445009.7760219, 5687096.04512319, 5687081.96318031, 5687027.10155947, 5687096.04512319));1
"41";50102;2012;2;list(c(3452995.18348827, 3453007.21346815, 3452912.31027132, 3452995.18348827, 5775026.19569764, 5774943.68746848, 5775017.01102532, 5775026.19569764));1
"42";50104;2012;1;list(c(3460907.50595158, 3460973.82810183, 3460855.51327874, 3460907.50595158, 5662726.75277589, 5662772.22122214, 5662788.09419085, 5662726.75277589));1
"43";50106;2012;1;list(c(3461039.08128443, 3461056.75852416, 3460987.7992319, 3461039.08128443, 5678956.24709303, 5679007.04584632, 5678940.02521803, 5678956.24709303));1
"44";50107;2012;1;list(c(3460881.77333878, 3460932.42621258, 3460896.34067122, 3460881.77333878, 5686871.92871038, 5686832.14413093, 5686934.66880292, 5686871.92871038));1
"45";50110;2012;1;list(c(3469064.05639695, 3469035.00776537, 3469004.18312795, 3469064.05639695, 5671077.51252097, 5671009.04480556, 5671121.63556155, 5671077.51252097));1
"46";50110;2012;2;list(c(3469031.32303028, 3469065.72419654, 3468961.89521957, 3469031.32303028, 5671116.14954431, 5671054.23911761, 5671102.14524944, 5671116.14954431));1
"47";50111;2012;1;list(c(3469046.9097397, 3469117.2360938, 3469039.50099516, 3469046.9097397, 5687095.01285331, 5687081.59359262, 5687166.22368917, 5687095.01285331));1
"48";50114;2012;1;list(c(3477038.7731356, 3477114.96518273, 3477032.39183903, 3477038.7731356, 5679098.11195897, 5679105.97249069, 5679021.78178761, 5679098.11195897));1
"49";50117;2012;1;list(c(3476975.86050804, 3477040.11154289, 3476983.85260383, 3476975.86050804, 5727013.70111403, 5727042.91205376, 5726943.57550612, 5727013.70111403));1
"50";50117;2012;2;list(c(3477053.48437544, 3477086.0850383, 3477002.6151566, 3477053.48437544, 5727038.4842529, 5726999.43461103, 5727038.46624817, 5727038.4842529));1
"51";50121;2012;1;list(c(3484999.56296484, 3485080.56926318, 3484983.63814805, 3484999.56296484, 5711068.19927989, 5711078.07039915, 5711148.23589387, 5711068.19927989));1
"52";50122;2012;2;list(c(3485090.90102126, 3485051.0566296, 3485044.93489315, 3485090.90102126, 5726818.9942136, 5726759.25847846, 5726874.15804836, 5726818.9942136));1
"53";50123;2012;1;list(c(3485085.42765588, 3485038.47671476, 3485019.34171371, 3485085.42765588, 5743007.28045315, 5743075.58796344, 5742957.25091108, 5743007.28045315));1
"54";50124;2012;1;list(c(3485042.02539411, 3485118.8892343, 3485019.50638889, 3485042.02539411, 5750870.00225775, 5750879.91524721, 5750944.15892767, 5750870.00225775));1
"55";50132;2012;1;list(c(3500923.32991832, 3500955.88819031, 3500845.7948621, 3500923.32991832, 5751048.83418229, 5750972.86875473, 5751020.21421871, 5751048.83418229));1
"56";50133;2012;1;list(c(3500992.62620783, 3501063.26365367, 3500967.0678043, 3500992.62620783, 5767092.20854259, 5767087.95602239, 5767026.21990196, 5767092.20854259));1
"57";50134;2012;1;list(c(3509028.95220781, 3508997.50875707, 3508992.64556817, 3509028.95220781, 5702971.44525305, 5702915.94356225, 5703023.89481162, 5702971.44525305));1
"58";50141;2012;1;list(c(2540850.89219576, 2540902.13846925, 2540788.1136359, 2540850.89219576, 5655202.28436495, 5655151.98178785, 5655167.4220324, 5655202.28436495));1
"59";50142;2012;2;list(c(2580906.34181446, 2580966.52491736, 2580924.51164153, 2580906.34181446, 5647040.71250242, 5647078.54601851, 5646971.98668341, 5647040.71250242));1
"60";50144;2012;1;list(c(3428910.97329163, 3428947.11512952, 3428835.93617036, 3428910.97329163, 5695009.85842816, 5695081.44352046, 5695038.1442606, 5695009.85842816));1
"61";50145;2012;1;list(c(3476947.09628398, 3477018.85619428, 3476914.13779053, 3476947.09628398, 5695050.6488855, 5695035.27568236, 5694985.077872, 5695050.6488855));1
"62";50145;2012;2;list(c(3477032.17831916, 3477004.34491272, 3476985.61446246, 3477032.17831916, 5695006.62928285, 5694945.36293419, 5695055.20984729, 5695006.62928285));1
