"";"plot_ID";"stand";"SP_code";"C_layer";"age_period";"annual_growth_cm";"stand_component";"stand_type";"compartiment";"B_t_ha_diff";"C_t_ha_diff";"N_t_ha_diff";"n_ha_diff";"n_SP_diff";"BA_percent_diff"
"51";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"stb";0,0698771645465111;0,034938582273256;0,00033820547640512;NA;NA;NA
"52";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"stw";0,86540482347281;0,4327024117364;0,00070270871665992;NA;NA;NA
"53";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"sw";19,5223062996854;9,7611531498427;0,0158521127153446;NA;NA;NA
"54";"140043";"A";"gfi";"1";11;0,311780967570441;"LT";6;"total";29,744385629443;14,8721928147216;0,053431694132724;NA;NA;NA
"55";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"ag";35,263015139318;17,6315075696592;0,070506225014126;NA;NA;NA
"56";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"bg";2,54097807118606;1,27048903559305;0,0076991635556938;NA;NA;NA
"57";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"fwb";3,6360592433697;1,81802962168489;0,016729508578744;NA;NA;NA
"58";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"ndl";0,30461569340023;0,152307846700116;0;NA;NA;NA
"59";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"sb";1,98685272675949;0,99342636337974;0,0143589846562909;NA;NA;NA
"60";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"stb";0,043254582300244;0,0216272911501218;0,00031260086628387;NA;NA;NA
"61";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"stw";0,88619879562176;0,44309939781088;0,00118307539215505;NA;NA;NA
"62";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"sw";28,406034097867;14,2030170489334;0,037922055520653;NA;NA;NA
"63";"140043";"A";"rbu";"1";11;0,452272727272727;"LT";6;"total";37,803993210505;18,9019966052523;0,07820538856982;NA;NA;NA
"64";"140043";"A";"sbi";"1";11;0;"LT";6;"ag";2,7497236800014;1,37486184000072;0,0050968673488876;NA;NA;NA
"65";"140043";"A";"sbi";"1";11;0;"LT";6;"bg";0;0;0;NA;NA;NA
"66";"140043";"A";"sbi";"1";11;0;"LT";6;"fwb";-0,2360086367404;-0,1180043183702;-0,0014295043127365;NA;NA;NA
"67";"140043";"A";"sbi";"1";11;0;"LT";6;"ndl";-0,045109060972681;-0,0225545304863405;0;NA;NA;NA
"68";"140043";"A";"sbi";"1";11;0;"LT";6;"sb";0,22501038134729;0,112505190673646;0,00137953864804024;NA;NA;NA
"69";"140043";"A";"sbi";"1";11;0;"LT";6;"stb";0,0041305954507615;0,00206529772538082;2,5324680708619e-05;NA;NA;NA
"70";"140043";"A";"sbi";"1";11;0;"LT";6;"stw";0,076948498574799;0,038474249287399;0,000140661855394733;NA;NA;NA
"71";"140043";"A";"sbi";"1";11;0;"LT";6;"sw";2,7247519023417;1,36237595117085;0,0049808464774806;NA;NA;NA
"72";"140043";"A";"sbi";"1";11;0;"LT";6;"total";2,7497236800014;1,37486184000073;0,00509686734888769;NA;NA;NA
"73";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"ag";12,4665212247229;6,2332606123614;0,0168902016432437;NA;NA;NA
"74";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"bg";1,80765187098441;0,90382593549221;0,0074836787458755;NA;NA;NA
"75";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"fwb";1,09376085555635;0,54688042777818;0,0047502033956812;NA;NA;NA
"76";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"ndl";0,47893917670883;0,239469588354414;0;NA;NA;NA
"77";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"sb";0,7826247380293;0,391312369014652;0,00378790373206179;NA;NA;NA
"78";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"stb";0,0352043183974045;0,0176021591987021;0,000170388901043437;NA;NA;NA
"79";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"stw";0,406796944370867;0,203398472185435;0,000330319118829145;NA;NA;NA
"80";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"sw";9,6691951916602;4,8345975958301;0,0078513864956281;NA;NA;NA
"81";"140043";"B";"gfi";"1";11;0,266666666666667;"LT";6;"total";14,2741730957073;7,1370865478537;0,0243738803891193;NA;NA;NA
"82";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"ag";14,4632273348379;7,231613667419;0,028111000321881;NA;NA;NA
"83";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"bg";0,8535164455989;0,42675822279945;0,00258615483016465;NA;NA;NA
"84";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"fwb";1,13487921223771;0,56743960611885;0,0052215792555056;NA;NA;NA
"85";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"ndl";0,0771599969576819;0,03857999847884;0;NA;NA;NA
"86";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"sb";0,86414470219617;0,43207235109809;0,0062451737627717;NA;NA;NA
"87";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"stb";0,0182526023935623;0,009126301196781;0,000131911557498274;NA;NA;NA
"88";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"stw";0,368428109537339;0,184214054768669;0,00049185152623235;NA;NA;NA
"89";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"sw";12,0003627115154;6,0001813557577;0,016020484219873;NA;NA;NA
"90";"140043";"B";"rbu";"1";11;0,423870281765018;"LT";6;"total";15,3167437804367;7,6583718902184;0,0306971551520459;NA;NA;NA
"91";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"ag";20,801189351513;10,400594675757;0,027900811770408;NA;NA;NA
"92";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"bg";3,56248585047521;1,7812429252376;0,014748691420968;NA;NA;NA
"93";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"fwb";1,8165125048377;0,908256252418898;0,00788911380850998;NA;NA;NA
"94";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"ndl";-0,350630208976998;-0,175315104488501;0;NA;NA;NA
"95";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"sb";1,0126009939247;0,506300496962361;0,0049009888105957;NA;NA;NA
"96";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"stb";0,057763612010359;0,028881806005179;0,00027957588213014;NA;NA;NA
"97";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"stw";0,784269191052509;0,39213459552626;0,00063682658313464;NA;NA;NA
"98";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"sw";17,480673258665;8,74033662933239;0,014194306686036;NA;NA;NA
"99";"140044";"A";"gfi";"1";11;0,269744816586921;"LT";1;"total";24,363675201988;12,181837600994;0,042649503191373;NA;NA;NA
"100";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"ag";21,329098453467;10,664549226733;0,029831943423049;NA;NA;NA
"101";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"bg";4,2537487849272;2,1268743924637;0,017610519969599;NA;NA;NA
"102";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"fwb";2,4252538032108;1,2126269016054;0,0105328772673449;NA;NA;NA
"103";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"ndl";0,5888168302236;0,29440841511179;0;NA;NA;NA
"104";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"sb";1,0414467204482;0,52072336022408;0,00504060212696909;NA;NA;NA
"105";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"stb";0,057675316751026;0,028837658375513;0,00027914853307497;NA;NA;NA
"106";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"stw";0,76856207354023;0,38428103677011;0,00062407240371467;NA;NA;NA
"107";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"sw";16,447343709292;8,2236718546462;0,013355243091945;NA;NA;NA
"108";"140045";"A";"gfi";"1";11;0,368797448165869;"LT";1;"total";25,582847238394;12,791423619197;0,047442463392648;NA;NA;NA
"109";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"ag";69,606517058427;34,8032585292137;0,100414378377355;NA;NA;NA
"110";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"bg";11,7357227269754;5,8678613634878;0,0485858920896783;NA;NA;NA
"111";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"fwb";8,1806136991229;4,0903068495614;0,03552840529529;NA;NA;NA
"112";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"ndl";2,6872896679083;1,34364483395413;0;NA;NA;NA
"113";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"sb";4,0743466509805;2,03717332549024;0,0197198377907455;NA;NA;NA
"114";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"stb";0,193334273709301;0,09666713685465;0,00093573788475302;NA;NA;NA
"115";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"stw";2,37923366806511;1,18961683403256;0,00193193773846886;NA;NA;NA
"116";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"sw";52,091699098641;26,0458495493207;0,042298459668096;NA;NA;NA
"117";"140049";"A";"gfi";"1";11;0,526195094616147;"LT";1;"total";81,342239785403;40,671119892702;0,149000270467033;NA;NA;NA
"118";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"ag";10,580788290016;5,29039414500799;0,014337969281573;NA;NA;NA
"119";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"bg";1,5888580781567;0,794429039078398;0,006577872443568;NA;NA;NA
"120";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"fwb";0,981809658066702;0,490904829033299;0,00426399934498299;NA;NA;NA
"121";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"ndl";0,201973569836801;0,10098678491841;0;NA;NA;NA
"122";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"sb";0,577517282072499;0,28875864103627;0,0027951836452311;NA;NA;NA
"123";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"stb";0,0291365973099651;0,014568298654982;0,00014102113098023;NA;NA;NA
"124";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"stw";0,36667922334951;0,18333961167476;0,000297743529359811;NA;NA;NA
"125";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"sw";8,42367195938101;4,2118359796907;0,00684002163101699;NA;NA;NA
"126";"140051";"A";"gfi";"1";11;0,166859383306752;"LT";1;"total";12,169646368173;6,08482318408701;0,020915841725141;NA;NA;NA
"127";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"ag";46,41514099236;23,2075704961794;0,065181322035139;NA;NA;NA
"128";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"bg";7,6079279448499;3,803963972425;0,031496821691678;NA;NA;NA
"129";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"fwb";5,0342244831501;2,517112241575;0,0218636369303208;NA;NA;NA
"130";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"ndl";1,8760842371544;0,938042118577211;0;NA;NA;NA
"131";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"sb";2,6620403191847;1,33102015959234;0,0128842751448539;NA;NA;NA
"132";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"stb";0,128367153483961;0,06418357674198;0,00062129702286237;NA;NA;NA
"133";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"stw";1,57865653856748;0,78932826928374;0,0012818691093168;NA;NA;NA
"134";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"sw";35,135768260819;17,5678841304096;0,028530243827785;NA;NA;NA
"135";"140052";"A";"gfi";"1";11;0,296372897052014;"LT";1;"total";54,023068937209;27,011534468605;0,096678143726817;NA;NA;NA
"136";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"ag";1,33261054741718;0,6663052737086;0,00156211118832236;NA;NA;NA
"137";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"bg";0,259989104039518;0,12999455201976;0,00046018071414995;NA;NA;NA
"138";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"fwb";0,046513753457498;0,02325687672875;0,00018875281153052;NA;NA;NA
"139";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"ndl";0,008077963308016;0,004038981654008;0;NA;NA;NA
"140";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"sb";0,097431532665555;0,048715766332778;0,00042275542023584;NA;NA;NA
"141";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"stb";0,0037282487884368;0,00186412439421842;1,61768714930273e-05;NA;NA;NA
"142";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"stw";0,041320474567022;0,0206602372835108;3,28084568062157e-05;NA;NA;NA
"143";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"sw";1,13553857463065;0,56776928731533;0,00090161762825674;NA;NA;NA
"144";"140052";"A";"str";"1";11;0,290909090909091;"LT";1;"total";1,5925996514567;0,79629982572835;0,00202229190247232;NA;NA;NA
"145";"140053";"A";"gfi";"1";10;0,37;"LT";1;"ag";33,734369057006;16,867184528503;0,0951737268948111;NA;NA;NA
"146";"140053";"A";"gfi";"1";10;0,37;"LT";1;"bg";12,2779260691599;6,1389630345799;0,050830613926322;NA;NA;NA
"147";"140053";"A";"gfi";"1";10;0,37;"LT";1;"fwb";7,5999857716425;3,7999928858213;0,033006738206243;NA;NA;NA
"148";"140053";"A";"gfi";"1";10;0,37;"LT";1;"ndl";2,2328711063278;1,1164355531639;0;NA;NA;NA
"149";"140053";"A";"gfi";"1";10;0,37;"LT";1;"sb";3,6306926548922;1,8153463274461;0,017572552449678;NA;NA;NA
"150";"140053";"A";"gfi";"1";10;0,37;"LT";1;"stb";0,18426591633475;0,092132958167371;0,00089184703506016;NA;NA;NA
"151";"140053";"A";"gfi";"1";10;0,37;"LT";1;"stw";2,3482251060598;1,17411255302991;0,0019067587861206;NA;NA;NA
"152";"140053";"A";"gfi";"1";10;0,37;"LT";1;"sw";51,472697558754;25,736348779377;0,041795830417708;NA;NA;NA
"153";"140053";"A";"gfi";"1";10;0,37;"LT";1;"total";39,873332091585;19,936666045793;0,146004340821136;NA;NA;NA
"154";"140053";"A";"isk";"2";10;1,71;"LT";1;"ag";2,81786824242759;1,4089341212138;0,00968100636701953;NA;NA;NA
"155";"140053";"A";"isk";"2";10;1,71;"LT";1;"bg";1,16038935998786;0,580194679993931;0,00205388916717852;NA;NA;NA
"156";"140053";"A";"isk";"2";10;1,71;"LT";1;"fwb";1,28509805658897;0,642549028294487;0,00521492791363806;NA;NA;NA
"157";"140053";"A";"isk";"2";10;1,71;"LT";1;"ndl";0,564157598940738;0,282078799470369;0;NA;NA;NA
