"";"plot_ID";"CCS_DW_inv_status";"dist_cm";"azi";"inv";"inv_year";"plot_A_ha"
"44";50044;1;-9;-9;"HBI";2012;0,0500343869018386
"45";50045;1;-9;-9;"HBI";2012;0,0500343869018386
"46";50046;1;-9;-9;"HBI";2012;0,0500343869018386
"47";50047;1;-9;-9;"HBI";2012;0,0500343869018386
"48";50048;1;-9;-9;"HBI";2012;0,0500343869018386
"49";50049;1;-9;-9;"HBI";2012;0,0500343869018386
"50";50050;1;-9;-9;"HBI";2012;0,0500343869018386
"51";50051;1;-9;-9;"HBI";2012;0,0500343869018386
"52";50052;1;-9;-9;"HBI";2012;0,0500343869018386
"53";50053;1;-9;-9;"HBI";2012;0,0500343869018386
"54";50054;1;-9;-9;"HBI";2012;0,0500343869018386
"55";50055;1;-9;-9;"HBI";2012;0,0500343869018386
"56";50056;1;-9;-9;"HBI";2012;0,0500343869018386
"57";50057;1;-9;-9;"HBI";2012;0,0500343869018386
"58";50058;1;-9;-9;"HBI";2012;0,0500343869018386
"59";50059;1;-9;-9;"HBI";2012;0,0500343869018386
"60";50060;1;-9;-9;"HBI";2012;0,0500343869018386
"61";50061;1;-9;-9;"HBI";2012;0,0500343869018386
"62";50062;1;-9;-9;"HBI";2012;0,0500343869018386
"63";50063;1;-9;-9;"HBI";2012;0,0500343869018386
"64";50064;1;-9;-9;"HBI";2012;0,0500343869018386
"65";50065;1;-9;-9;"HBI";2012;0,0500343869018386
"66";50066;1;-9;-9;"HBI";2012;0,0500343869018386
"67";50067;1;-9;-9;"HBI";2012;0,0500343869018386
"68";50068;1;-9;-9;"HBI";2012;0,0500343869018386
"69";50069;1;-9;-9;"HBI";2012;0,0500343869018386
"70";50070;1;-9;-9;"HBI";2012;0,0500343869018386
"71";50071;1;-9;-9;"HBI";2012;0,0500343869018386
"72";50072;1;-9;-9;"HBI";2012;0,0500343869018386
"73";50073;1;-9;-9;"HBI";2012;0,0500343869018386
"74";50074;1;-9;-9;"HBI";2012;0,0500343869018386
"75";50075;1;-9;-9;"HBI";2012;0,0500343869018386
"76";50076;1;-9;-9;"HBI";2012;0,0500343869018386
"77";50077;1;-9;-9;"HBI";2012;0,0500343869018386
"78";50078;1;-9;-9;"HBI";2012;0,0500343869018386
"79";50079;1;-9;-9;"HBI";2012;0,0500343869018386
"80";50080;1;-9;-9;"HBI";2012;0,0500343869018386
"81";50081;1;-9;-9;"HBI";2012;0,0500343869018386
"82";50082;1;-9;-9;"HBI";2012;0,0500343869018386
"83";50083;1;-9;-9;"HBI";2012;0,0500343869018386
"84";50084;1;-9;-9;"HBI";2012;0,0500343869018386
"85";50085;1;-9;-9;"HBI";2012;0,0500343869018386
"86";50086;1;-9;-9;"HBI";2012;0,0500343869018386
"87";50087;1;-9;-9;"HBI";2012;0,0500343869018386
"88";50088;1;-9;-9;"HBI";2012;0,0500343869018386
"89";50089;1;-9;-9;"HBI";2012;0,0500343869018386
"90";50090;1;-9;-9;"HBI";2012;0,0500343869018386
"91";50091;1;-9;-9;"HBI";2012;0,0500343869018386
"92";50092;1;-9;-9;"HBI";2012;0,0500343869018386
"93";50093;1;-9;-9;"HBI";2012;0,0500343869018386
"94";50094;1;-9;-9;"HBI";2012;0,0500343869018386
"95";50095;1;-9;-9;"HBI";2012;0,0500343869018386
"96";50096;1;-9;-9;"HBI";2012;0,0500343869018386
"97";50097;1;-9;-9;"HBI";2012;0,0500343869018386
"98";50098;1;-9;-9;"HBI";2012;0,0500343869018386
"99";50099;1;-9;-9;"HBI";2012;0,0500343869018386
"100";50100;1;-9;-9;"HBI";2012;0,0500343869018386
"101";50101;1;-9;-9;"HBI";2012;0,0500343869018386
"102";50102;1;-9;-9;"HBI";2012;0,0500343869018386
"103";50103;1;-9;-9;"HBI";2012;0,0500343869018386
"104";50104;1;-9;-9;"HBI";2012;0,0500343869018386
"105";50105;1;-9;-9;"HBI";2012;0,0500343869018386
"106";50106;1;-9;-9;"HBI";2012;0,0500343869018386
"107";50107;1;-9;-9;"HBI";2012;0,0500343869018386
"108";50108;1;-9;-9;"HBI";2012;0,0500343869018386
"109";50109;1;-9;-9;"HBI";2012;0,0500343869018386
"110";50110;1;-9;-9;"HBI";2012;0,0500343869018386
"111";50111;1;-9;-9;"HBI";2012;0,0500343869018386
"112";50112;1;-9;-9;"HBI";2012;0,0500343869018386
"113";50113;1;-9;-9;"HBI";2012;0,0500343869018386
"114";50114;1;-9;-9;"HBI";2012;0,0500343869018386
"115";50115;1;-9;-9;"HBI";2012;0,0500343869018386
"116";50116;1;-9;-9;"HBI";2012;0,0500343869018386
"117";50117;1;-9;-9;"HBI";2012;0,0500343869018386
"118";50118;1;-9;-9;"HBI";2012;0,0500343869018386
"119";50119;1;-9;-9;"HBI";2012;0,0500343869018386
"120";50120;1;-9;-9;"HBI";2012;0,0500343869018386
"121";50121;1;-9;-9;"HBI";2012;0,0500343869018386
"122";50122;1;-9;-9;"HBI";2012;0,0500343869018386
"123";50123;1;-9;-9;"HBI";2012;0,0500343869018386
"124";50124;1;-9;-9;"HBI";2012;0,0500343869018386
"125";50125;1;-9;-9;"HBI";2012;0,0500343869018386
"126";50126;1;-9;-9;"HBI";2012;0,0500343869018386
"127";50127;1;-9;-9;"HBI";2012;0,0500343869018386
"128";50128;1;-9;-9;"HBI";2012;0,0500343869018386
"129";50129;1;-9;-9;"HBI";2012;0,0500343869018386
"130";50130;1;-9;-9;"HBI";2012;0,0500343869018386
"131";50131;1;-9;-9;"HBI";2012;0,0500343869018386
"132";50132;1;-9;-9;"HBI";2012;0,0500343869018386
"133";50133;1;-9;-9;"HBI";2012;0,0500343869018386
"134";50134;1;-9;-9;"HBI";2012;0,0500343869018386
"135";50135;1;-9;-9;"HBI";2012;0,0500343869018386
"136";50136;1;-9;-9;"HBI";2012;0,0500343869018386
"137";50137;1;-9;-9;"HBI";2012;0,0500343869018386
"138";50138;1;-9;-9;"HBI";2012;0,0500343869018386
"139";50139;1;-9;-9;"HBI";2012;0,0500343869018386
"140";50140;1;-9;-9;"HBI";2012;0,0500343869018386
"141";50141;1;-9;-9;"HBI";2012;0,0500343869018386
"142";50142;1;-9;-9;"HBI";2012;0,0500343869018386
"143";50143;1;-9;-9;"HBI";2012;0,0500343869018386
"144";50144;1;-9;-9;"HBI";2012;0,0500343869018386
"145";50145;2;-9;-9;"HBI";2012;0,0500343869018386
"146";50146;1;-9;-9;"HBI";2012;0,0500343869018386
