"stand_component","plot_ID","stand","stand_type","C_layer","SP_code","compartiment","age_period","annual_growth_cm","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_SP_diff","mean_DBH_cm_diff","sd_DBH_cm_diff","Dg_cm_diff","mean_BA_m2_diff","mean_H_m_diff","sd_H_m_diff","Hg_m_diff","BA_percent_diff","dw_sp","dw_type","ST_LY_type","decay","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff","B_t_ha_BZE3","C_t_ha_BZE3","N_t_ha_BZE3","B_t_ha_HBI","C_t_ha_HBI","N_t_ha_HBI"
"RG","140037","all",NA,NA,"rbu","bg",NA,NA,1.05034870140865e-07,5.25174350704324e-08,3.18255656526821e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"rbu","fwb",NA,NA,0.289924453412466,0.144962226706233,0.00133394241015076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"rbu","ndl",NA,NA,1.59914366470261e-07,7.99571832351304e-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"rbu","total",NA,NA,0.289924718361704,0.144962359180852,0.00133394272840641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"vbe","ag",NA,NA,0.77932461943204,0.38966230971602,0.00358567076420011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"vbe","bg",NA,NA,2.58360419013928e-07,1.29180209506964e-07,7.82832069612203e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"vbe","fwb",NA,NA,0.713144150752715,0.356572075376358,0.00328117623761324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"vbe","ndl",NA,NA,3.9335072887884e-07,1.96675364439419e-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RG","140037","all",NA,NA,"vbe","total",NA,NA,0.713144802463867,0.356572401231933,0.00328117702044531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
