"plot_ID","inv","dw_sp","dw_type","decay","compartiment","B_t_ha","C_t_ha","N_t_ha","inv_year","stand_component","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_ha","n_dec","n_dw_TY"
140001,"HBI","2","all","1","stb",0.00658228708863961,0.0032911435443198,4.75701887895984e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","1","stw",0.0980937210860121,0.0490468605430061,0.000130955117649826,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","1","sw",2.66472899877984,1.33236449938992,0.00355741321337109,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","ag",5.22321896076334,2.61160948038167,0.0204592798495531,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","fwb",2.0659547917242,1.0329773958621,0.00950545799672307,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","sb",0.159428053106226,0.0797140265531133,0.0011521865397987,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","stb",0.00510483978589664,0.00255241989294832,3.68926771326751e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","stw",0.07409318832247,0.037046594161235,9.89144064104974e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","2","sw",1.9394380908384,0.969719045419201,0.00258914985126927,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","3","ag",0.0417720469860183,0.0208860234930091,0.000301886583567953,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","4","ag",0.780520474129813,0.390260237064906,0.00564082146653616,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","2","all","5","ag",0.257002349552066,0.128501174776033,0.00185735598021278,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","1","2","ag",0.979199996986144,0.489599998493073,0.00707667837821886,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","1","3","ag",0.0417720469860183,0.0208860234930091,0.000301886583567953,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","1","4","ag",0.405585931319241,0.20279296565962,0.00218366019524765,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","1","5","ag",0.0579225489186535,0.0289612744593267,0.000418606261035109,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","ag",1.39508415991531,0.697542079957654,0.0039864170322913,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","fwb",0.533793922412385,0.266896961206194,0.00245598583701939,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","sb",0.0626961763827516,0.0313480881913759,0.000453105266718146,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","stb",0.00190136744031542,0.000950683720157708,1.37411824911595e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","stw",0.027594191008318,0.013797095504159,3.68382449961047e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","1","sw",0.76909850267154,0.38454925133577,0.00102674650106651,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","ag",1.8567448535829,0.928372426791451,0.00617280066357457,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","fwb",1.0150727210839,0.507536360541951,0.00467034958970703,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","sb",0.0622360083858178,0.0311180041929089,0.000449779632604307,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","stb",0.00205774195046335,0.00102887097523168,1.48713010759987e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","stw",0.0296639445873428,0.0148319722936714,3.96013660241027e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","2","2","sw",0.747714437575378,0.373857218787689,0.000998198774163131,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","3","4","ag",0.220975936869759,0.11048796843488,0.00159699309575775,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","3","5","ag",0.172976038587406,0.0864880192937029,0.00125009783087118,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","4","4","ag",0.0392969175785674,0.0196484587892837,0.000221050669201655,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","4","5","ag",0.194333448027306,0.0971667240136529,0.00100288356845598,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","ag",3.87376439187293,1.93688219593647,0.0118068659713268,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","fwb",1.75338582423876,0.87669291211938,0.00806732817732253,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","sb",0.149567621799855,0.0747838108999277,0.00108092520274756,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","stb",0.00468091964832419,0.0023404598241621,3.38290062984389e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","stw",0.0704995300776941,0.0352497650388471,9.41168726537217e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","1","sw",1.8956304961083,0.947815248054152,0.00253066671230459,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","ag",2.3872741101943,1.19363705509715,0.00720980080775964,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","fwb",1.0508820706403,0.525441035320152,0.00483510840701604,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","sb",0.0971920447204085,0.0485960223602044,0.000702406907194393,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","stb",0.00304709783543329,0.00152354891771665,2.20213760566764e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","stw",0.0444292437351272,0.0222146218675636,5.93130403863947e-05,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","2","sw",1.19172365326302,0.595861826631512,0.00159095107710614,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","5","4","ag",0.454191426332564,0.227095713166282,0.00328244143810544,NA,"DW",NA,NA,NA,NA,NA,NA,NA,NA
140001,"HBI","all","1","all","ag",1.48448052421006,0.742240262105029,0.00998083141806958,NA,"DW","L",11.6666666666667,1.86189867250253,4.01666666666667,3.40788301833655,NA,NA,NA
140001,"HBI","all","2","all","ag",3.25182901349821,1.62591450674911,0.0101592176958659,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","2","all","fwb",1.54886664349628,0.774433321748144,0.00712633542672642,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","2","all","sb",0.124932184768569,0.0624660923842848,0.000902884899322453,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","2","all","stb",0.00395910939077877,0.00197955469538938,2.86124835671582e-05,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","2","all","stw",0.0572581355956609,0.0286290677978304,7.64396110202073e-05,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","2","all","sw",1.51681294024692,0.758406470123459,0.00202494527522964,NA,"DW","S",13.6666666666667,1.52752523165195,8.9,2.65141471671257,NA,NA,NA
140001,"HBI","all","3","all","ag",0.393951975457165,0.196975987728583,0.00284709092662893,NA,"DW","S",16.5,0.707106781186548,3.5,0.565685424949238,NA,NA,NA
140001,"HBI","all","4","all","ag",0.233630365605873,0.116815182802937,0.00122393423765763,NA,"DW","L",18.8333333333333,5.45588367422425,0.3,0.346410161513775,NA,NA,NA
