"plot_ID","LT_FSI_DBH_RMS_BZE3","LT_FSI_DBH_SD_BZE3","LT_FSI_H_SD_BZE3","LT_FSI_n_SP_BZE3","LT_FSI_bark_TY_BZE3","LT_FSI_V40_BZE3","LT_FSI_fruit_TY_BZE3","DW_FSI_n_dec_BZE3","DW_FSI_LY_mean_D_cm_BZE3","DW_FSI_ST_mean_D_cm_BZE3","RG_FSI_n_SP_BZE3","FSI_sum_BZE3","FSI_total_BZE3","LT_FSI_DBH_RMS_HBI","LT_FSI_DBH_SD_HBI","LT_FSI_H_SD_HBI","LT_FSI_n_SP_HBI","LT_FSI_bark_TY_HBI","LT_FSI_V40_HBI","LT_FSI_fruit_TY_HBI","DW_FSI_n_dec_HBI","DW_FSI_LY_mean_D_cm_HBI","DW_FSI_ST_mean_D_cm_HBI","RG_FSI_n_SP_HBI","FSI_sum_HBI","FSI_total_HBI","LT_FSI_DBH_RMS_diff","LT_FSI_DBH_SD_diff","LT_FSI_H_SD_diff","LT_FSI_n_SP_diff","LT_FSI_bark_TY_diff","LT_FSI_V40_diff","LT_FSI_fruit_TY_diff","DW_FSI_n_dec_diff","DW_FSI_LY_mean_D_cm_diff","DW_FSI_ST_mean_D_cm_diff","RG_FSI_n_SP_diff","FSI_sum_diff","FSI_total_diff","stand_component"
140047,0.574896075857447,0.674355867383117,0.72596725831905,0.111111111111111,0.3,0.426854176020464,0.4,1,0.394091766184789,0.741496598639456,0.142857142857143,5.34877285351544,0.486252077592312,0.574896075857447,0.674355867383117,0.72596725831905,0.111111111111111,0.3,0.426854176020464,0.4,1,0.394091766184789,0.741496598639456,0.142857142857143,5.34877285351544,0.486252077592312,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140048,0.391147969324451,0.367612905844127,0.364614665708441,0.444444444444444,0.6,0.11066899753156,0.4,1,0.914608961120589,0,0.428571428571429,4.59309794397361,0.417554358543056,0.391147969324451,0.367612905844127,0.364614665708441,0.444444444444444,0.6,0.11066899753156,0.4,1,0.914608961120589,0,0.428571428571429,4.59309794397361,0.417554358543056,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140049,0.66268584196645,0.380851509978222,0.302638429882364,0.111111111111111,0.3,0.0852750711469669,0.2,1,0.420071234024722,0.36734693877551,0,3.82998013688535,0.348180012444122,0.66268584196645,0.380851509978222,0.302638429882364,0.111111111111111,0.3,0.0852750711469669,0.2,1,0.420071234024722,0.36734693877551,0,3.82998013688535,0.348180012444122,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140050,0.586838717600528,0.500744568789881,0.613503061555582,0.222222222222222,0.3,0,0.4,0.5,0.231411986541946,0,0.714285714285714,3.35472055671016,0.30497459606456,0.586838717600528,0.500744568789881,0.613503061555582,0.222222222222222,0.3,0,0.4,0.5,0.231411986541946,0,0.714285714285714,3.35472055671016,0.30497459606456,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140051,0.855933898026261,0.359061522724619,0.212938315267415,0.111111111111111,0.2,0.612906661653279,0.2,1,0.244751728472659,0.73469387755102,0.714285714285714,4.53139711480636,0.411945192255124,0.855933898026261,0.359061522724619,0.212938315267415,0.111111111111111,0.2,0.612906661653279,0.2,1,0.244751728472659,0.73469387755102,0.714285714285714,4.53139711480636,0.411945192255124,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140052,0.754513928832966,0.449656575282009,0.289162454054446,0.222222222222222,0.3,0.358833749156908,0.2,1,0.359760723032575,0,0.285714285714286,3.93414965258113,0.357649968416466,0.754513928832966,0.449656575282009,0.289162454054446,0.222222222222222,0.3,0.358833749156908,0.2,1,0.359760723032575,0,0.285714285714286,3.93414965258113,0.357649968416466,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140053,0.704149036228816,0.65867244093601,0.857150005971339,0.444444444444444,0.7,0.301194944779975,0.6,0.5,0.781269641734758,0.836734693877551,1,6.38361520797289,0.580328655270263,0.704149036228816,0.65867244093601,0.857150005971339,0.444444444444444,0.7,0.301194944779975,0.6,0.5,0.781269641734758,0.836734693877551,1,6.38361520797289,0.580328655270263,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140054,0.501642013340679,0.399075105254218,0.426373874523714,0.333333333333333,0.5,0.0545052891148918,0.6,0.75,0.230923947203017,0.295918367346939,0.428571428571429,4.09177193011679,0.371979266374254,0.501642013340679,0.399075105254218,0.426373874523714,0.333333333333333,0.5,0.0545052891148918,0.6,0.75,0.230923947203017,0.295918367346939,0.428571428571429,4.09177193011679,0.371979266374254,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140055,0.786697328566837,0.620613655315026,0.426235831996831,0.222222222222222,0.3,0.116533364064837,0.4,0.75,0.714570932081192,0,0.857142857142857,4.33687333424695,0.394261212204268,0.786697328566837,0.620613655315026,0.426235831996831,0.222222222222222,0.3,0.116533364064837,0.4,0.75,0.714570932081192,0,0.857142857142857,4.33687333424695,0.394261212204268,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140056,0.565824578489599,0.458176301856694,0.531417963058394,0.666666666666667,0.8,0.150485318830747,0.8,0.5,0,0.27891156462585,1,4.75148239352795,0.431952944866177,0.565824578489599,0.458176301856694,0.531417963058394,0.666666666666667,0.8,0.150485318830747,0.8,0.5,0,0.27891156462585,1,4.75148239352795,0.431952944866177,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
