"lon","lat","plot_ID","e_ID","inv_year","e_form","CCS_r_m","stand"
-16.2995984065366,1.28280621515027,140058,1,2022,2,17.84,"A"
2681.49766287349,-1345.20269253521,140058,1,2022,2,17.84,"A"
2668.51828018533,1370.76992537652,140058,1,2022,2,17.84,"A"
-16.2995984065366,1.28280621515027,140058,1,2022,2,17.84,"A"
-2.38562559186352,15.0622471940758,140068,2,2022,2,17.84,"A"
2865.68077801531,887.622486484869,140068,2,2022,2,17.84,"A"
-638.659857817012,-2931.23072889412,140068,2,2022,2,17.84,"A"
-2.38562559186352,15.0622471940758,140068,2,2022,2,17.84,"A"
-22.7419596244491,-9.84132472992986,140254,1,2022,2,17.84,"warning"
2999.78701249884,35.7474424718139,140254,1,2022,2,17.84,"warning"
-412.276464941491,2971.53632258725,140254,1,2022,2,17.84,"warning"
-22.7419596244491,-9.84132472992986,140254,1,2022,2,17.84,"warning"
