"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv","rem_reason"
140015,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140015,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140015,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140015,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140016,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140016,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140016,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140016,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140017,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140017,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140017,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140017,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140018,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140018,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140018,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140018,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140019,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140019,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140019,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140019,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140020,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140020,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140020,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140020,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140021,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140021,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140021,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140021,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140022,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140022,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140022,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140022,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140023,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140023,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140023,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140023,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140024,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140024,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140024,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140024,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140025,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140025,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140025,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140025,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140026,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140026,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140026,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140026,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140027,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140027,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140027,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140027,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140028,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140028,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140028,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140028,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
