"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha","compartiment","B_kg_tree","N_kg_tree","C_kg_tree"
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"sw",245.420396211178,0.199281361723477,122.710198105589
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"sb",23.1102917536119,0.111853812087482,11.555145876806
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"fwb",40.0713770434374,0.174029990499649,20.0356885217187
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"ndl",23.171950284513,0,11.5859751422565
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"bg",43.8154332763511,0.181395893764094,21.9077166381756
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"total",387.562187638876,0.680225764096821,193.781093819438
140039,"HBI",2011,"A",4,-9,0,1089,65,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,3,1,NA,23.9328466802256,"coeff_SP_P",NA,287,130,28.7,0.0646924613208844,12.62,0.0500115280167522,0.0500343869018386,"ag",343.746754362525,0.498829870332728,171.873377181262
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"stw",18.0235519571013,0.0146351241891663,9.01177597855065
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"stb",1.56430395062056,0.00757123112100351,0.78215197531028
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"sw",398.052063127403,0.323218275259451,199.026031563702
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"sb",35.7325546863011,0.172945564681697,17.8662773431505
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"fwb",65.2676580344703,0.283457438843705,32.6338290172352
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"ndl",34.094515195538,0,17.047257597769
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"bg",76.2603705787853,0.315717934196171,38.1301852893926
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"total",628.99501753022,1.11754556829119,314.49750876511
140039,"HBI",2011,"A",5,-9,0,1360,71,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",35,2,1,NA,26.3378628559873,"coeff_SP_P",NA,350,130,35,0.0962112750161874,17.84,0.0999404070914056,0.0999860870850348,"ag",552.734646951434,0.801827634095023,276.367323475717
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"stw",7.69587585665631,0.00624905119560492,3.84793792832816
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"stb",0.69568926555634,0.00336713604529269,0.34784463277817
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"sw",171.865153284686,0.139554504467165,85.932576642343
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"sb",16.7861149783855,0.0812447964953858,8.39305748919275
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"fwb",28.8184411753862,0.125158490024702,14.4092205876931
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"ndl",17.8408035769742,0,8.9204017884871
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"bg",29.4700416521028,0.122005972439706,14.7350208260514
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"total",273.172119789747,0.477579950667856,136.586059894874
140039,"HBI",2011,"A",6,-9,0,1151,105,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",20,3,1,NA,22.0232140076437,"coeff_SP_P",NA,249,130,24.9,0.0486954715288052,12.62,0.0500115280167522,0.0500343869018386,"ag",243.702078137645,0.355573978228151,121.851039068822
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"stw",27.4892341086796,0.0223212580962478,13.7446170543398
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"stb",2.32414533527384,0.0112488634227254,1.16207266763692
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"sw",595.861369802747,0.483839432279831,297.930684901374
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"sb",51.4813755956629,0.249169857883008,25.7406877978314
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"fwb",101.979672315489,0.442897716866169,50.9898361577445
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"ndl",48.5221469590472,0,24.2610734795236
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"bg",123.5390898376,0.511451831927664,61.7695449188
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"total",951.1970339545,1.72092896047564,475.59851697725
140039,"HBI",2011,"A",7,-9,0,697,86,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.0840011614424,"coeff_SP_P",NA,416,130,41.6,0.135917864564909,17.84,0.0999404070914056,0.0999860870850348,"ag",827.6579441169,1.20947712854798,413.82897205845
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"stw",31.7913310647309,0.0258145608245615,15.8956655323655
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"stb",2.66106464235398,0.0128795528689933,1.33053232117699
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"sw",683.279476100426,0.554822934593546,341.639738050213
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"sb",58.2904385977269,0.282125722812998,29.1452192988634
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"fwb",119.704655939132,0.51987732074365,59.852327969566
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"ndl",55.0693509935567,0,27.5346754967783
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"bg",146.327865404315,0.605797362773864,73.1639327021575
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"total",1097.12418274224,2.00131745461761,548.562091371121
140039,"HBI",2011,"A",8,-9,0,1436,116,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",40,2,1,NA,28.6077210411287,"coeff_SP_P",NA,442,130,44.2,0.153438526793979,17.84,0.0999404070914056,0.0999860870850348,"ag",950.796317337926,1.39552009184375,475.398158668963
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"stw",14.3183504541801,0.0116265005687942,7.15917522709005
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"stb",1.25842113651158,0.00609075830071605,0.62921056825579
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"sw",318.277702563266,0.258441494481372,159.138851281633
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"sb",29.2025054177892,0.1413401262221,14.6012527088946
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"fwb",51.7700708771462,0.224837417819446,25.8850354385731
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"ndl",28.3828580916034,0,14.1914290458017
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"bg",58.8607497415622,0.243683503930067,29.4303748707811
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"total",502.070658282059,0.886019801322495,251.035329141029
140039,"HBI",2011,"A",9,-9,0,1318,132,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",30,2,1,NA,25.2601744494445,"coeff_SP_P",NA,319,130,31.9,0.0799229025054877,17.84,0.0999404070914056,0.0999860870850348,"ag",443.209908540496,0.642336297392428,221.604954270248
140039,"HBI",2011,"A",10,-9,0,903,126,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,2,1,266,26.6,"sampled",182,280,130,28,0.0615752160103599,12.62,0.0500115280167522,0.0500343869018386,"stw",10.7275193434004,0.00871074570684112,5.3637596717002
140039,"HBI",2011,"A",10,-9,0,903,126,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,2,1,266,26.6,"sampled",182,280,130,28,0.0615752160103599,12.62,0.0500115280167522,0.0500343869018386,"stb",0.981234150612403,0.00474917328896403,0.490617075306202
140039,"HBI",2011,"A",10,-9,0,903,126,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,2,1,266,26.6,"sampled",182,280,130,28,0.0615752160103599,12.62,0.0500115280167522,0.0500343869018386,"sw",253.673993973908,0.205983283106813,126.836996986954
140039,"HBI",2011,"A",10,-9,0,903,126,99,1,"gfi","GFi",1,"NB","fi","fi","fi","FI","FI","FI",25,2,1,266,26.6,"sampled",182,280,130,28,0.0615752160103599,12.62,0.0500115280167522,0.0500343869018386,"sb",23.4751726546174,0.113619835648348,11.7375863273087
