"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP","plot_A_ha","dw_sp","dw_type","decay","inv_year","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_dec","n_dw_TY","dom_SP","stand_type","n_stands"
"140037","BZE3","A","rbu","total",0.291983969030284,0.145991984515142,0.00134341734114408,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","vbe","ag",0.967863835950783,0.483931917975392,0.00445313930291998,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","vbe","bg",3.14960650627624e-07,1.57480325313812e-07,9.54330771401703e-10,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","vbe","fwb",0.869375992536424,0.434687996268212,0.00399999894166009,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","vbe","ndl",4.79523922299611e-07,2.39761961149805e-07,0,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","A","vbe","total",0.967864150911436,0.483932075455717,0.00445314025725075,NA,"RG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537721281773736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","all","all","ag",147.013441629129,73.5067208145643,0.223703962923975,24.0703927541971,"LT",NA,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,219.981027838789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","all","all","bg",21.1601173835933,10.5800586917967,0.0876028859680764,24.0703927541971,"LT",NA,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,219.981027838789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","all","all","fwb",21.1748184435597,10.5874092217798,0.0919622365003796,24.0703927541971,"LT",NA,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,219.981027838789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
"140037","BZE3","all","all","ndl",10.1578663332988,5.0789331666494,0,24.0703927541971,"LT",NA,36.2957735247209,8.71602489308031,37.3230083413631,0.109406510142536,24.5092371305413,2.19307430291483,24.5092371305413,219.981027838789,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gfi","1","1"
