"";"plot_ID";"inv";"stand";"SP_code";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"BA_m2_ha";"stand_component";"dom_SP";"stand_type";"n_stands";"BA_percent";"mean_DBH_cm";"sd_DBH_cm";"Dg_cm";"mean_BA_m2";"mean_H_m";"sd_H_m";"Hg_m";"n_ha";"n_SP"
"62";"140001";"HBI";"all";"gki";"sw";13,8050111682002;6,90250558410013;0,010961178867551;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"63";"140001";"HBI";"all";"gki";"total";23,5900842498324;11,7950421249162;0,0361049564921754;4,22629354088892;"LT";"sbi";"10";"1";27,0538692169776;29,7833333333333;3,16571499229311;29,9483165915326;0,070442492174811;19,35;0,888247178913312;19,35;NA;NA
"64";"140001";"HBI";"all";"rbu";"ag";5,18511236153059;2,5925561807653;0,0121723628554941;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"65";"140001";"HBI";"all";"rbu";"bg";0,506633690931265;0,253316845465633;0,00153510008352173;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"66";"140001";"HBI";"all";"rbu";"fwb";1,18383424040141;0,591917120200703;0,00544682134008687;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"67";"140001";"HBI";"all";"rbu";"ndl";0,106989068997229;0,0534945344986143;0;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"68";"140001";"HBI";"all";"rbu";"sb";0,252570148949688;0,126285074474844;0,0018253244664594;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"69";"140001";"HBI";"all";"rbu";"stb";0,00653807080779079;0,0032690354038954;4,72506377279041e-05;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"70";"140001";"HBI";"all";"rbu";"stw";0,112728291719828;0,0563641458599139;0,00015049226944597;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"71";"140001";"HBI";"all";"rbu";"sw";3,52245254065465;1,76122627032733;0,00470247414177396;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"72";"140001";"HBI";"all";"rbu";"total";5,69174605246185;2,84587302623093;0,0137074629390158;0,725934565344165;"LT";"sbi";"10";"1";4,64694148688351;30,4;0;30,4;0,0725833566685386;18,2;0;18,2;NA;NA
"73";"140001";"HBI";"all";"sbi";"ag";45,0128933969057;22,5064466984529;0,13690267028976;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"74";"140001";"HBI";"all";"sbi";"bg";2,66470963258204;1,33235481629102;0,00985942564055354;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"75";"140001";"HBI";"all";"sbi";"fwb";12,8322060554648;6,41610302773239;0,0777246720779502;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"76";"140001";"HBI";"all";"sbi";"ndl";4,11142169795096;2,05571084897548;0;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"77";"140001";"HBI";"all";"sbi";"sb";1,78264169227763;0,891320846138817;0,0109293762153542;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"78";"140001";"HBI";"all";"sbi";"stb";0,0457061151845639;0,022853057592282;0,000280224192196562;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"79";"140001";"HBI";"all";"sbi";"stw";0,819089140112305;0,409544570056152;0,00149729494812529;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"80";"140001";"HBI";"all";"sbi";"sw";25,4218286959154;12,7109143479577;0,0464711028561334;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"81";"140001";"HBI";"all";"sbi";"total";47,6776030294877;23,8388015147439;0,146762095930313;9,49137225426397;"LT";"sbi";"10";"1";60,7573376463811;32,5234449760766;6,41352482898759;33,1441372605527;0,0862786456239744;11,838238048911;8,37411331405522;11,838238048911;NA;NA
"82";"140001";"HBI";"all";"vbe";"ag";5,40983954475559;2,7049197723778;0,0153908615681779;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"83";"140001";"HBI";"all";"vbe";"bg";0,589558076123295;0,294779038061648;0,00178636097065359;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"84";"140001";"HBI";"all";"vbe";"fwb";2,065054090606;1,032527045303;0,0095013138708782;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"85";"140001";"HBI";"all";"vbe";"ndl";0,163754352232804;0,0818771761164018;0;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"86";"140001";"HBI";"all";"vbe";"sb";0,270493515651192;0,135246757825596;0,00195485663761117;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"87";"140001";"HBI";"all";"vbe";"stb";0,0083373017691713;0,00416865088458566;6,0253679885801e-05;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"88";"140001";"HBI";"all";"vbe";"stw";0,113501482586578;0,056750741293289;0,000151524479253082;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"89";"140001";"HBI";"all";"vbe";"sw";2,78869880190985;1,39434940095492;0,00372291290054965;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"90";"140001";"HBI";"all";"vbe";"total";5,99939762087889;2,99969881043944;0,0171772225388315;1,17817080647789;"LT";"sbi";"10";"1";7,54185164975784;9,2375;2,91512537892331;9,68381381481491;0,00736516945203;11,7625;0,576123458117885;11,7625;NA;NA
"91";"140002";"HBI";"A";"all";"ag";173,523935401337;86,7619677006685;0,38641532355293;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"92";"140002";"HBI";"A";"all";"bg";21,6490662967133;10,8245331483567;0,0657143935577944;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"93";"140002";"HBI";"A";"all";"fwb";30,5391394836345;15,2695697418172;0,140966670532964;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"94";"140002";"HBI";"A";"all";"ndl";4,00174227655133;2,00087113827567;0;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"95";"140002";"HBI";"A";"all";"sb";9,90780028200008;4,95390014100004;0,0715625764545759;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"96";"140002";"HBI";"A";"all";"stb";0,245314879763541;0,122657439881771;0,00177154752633836;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
"97";"140002";"HBI";"A";"all";"stw";3,96908132272999;1,98454066136499;0,0053035390208966;27,3319961245212;"LT";"wli";"8";"1";NA;NA;NA;NA;NA;NA;NA;NA;309,894381538123;NA
