"plot_ID";"tree_ID";"tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha"
140056;64;-9;0;837;285;64;1;"gki";2;1;223;78;353;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";35,3;17,84;8,37;6,47730521004457;-5,3010769864179;1;1;2;"warning";"partly intersecting";265,726172457322;0,0265726172457322;0,0999860870850348
140187;2;-9;0;1678;91;130;1;"rbu";3;1;213;80;342;130;2011;"HBI";111;"RBu";"Rot-Buche";"Fagus sylvatica";"Fagus";"sylvatica";"36.001.001";"LB";20;30016;"BU";"WAHR";"Fagus sylvatica";15;"bu";"bu";"bu";"BU";"BU";"aLB";"BU";"bu";"Fagus sylvatica";"Fagus sylvatica";34,2;17,84;16,78;1,77847044718441;-16,6854859943752;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;3;-9;0;1721;116;130;1;"gfi";2;1;290;200;348;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";34,8;17,84;17,21;4,07294257979936;-16,7211016007217;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;6;-9;0;1772;142;130;1;"gfi";2;1;316;170;488;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";48,8;17,84;17,72;-10,4157275270064;-14,3356555512177;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;10;-9;0;545;167;130;1;"gfi";2;1;316;185;410;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";41;17,84;5,45;-2,59174851845185;-4,79430282909858;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;11;-9;0;1205;167;130;1;"sbi";2;1;275;151;343;130;2011;"HBI";107;"SBi";"Sand-Birke";"Betula pendula";"Betula";"pendula";"34.001.001";"LB";10;30011;"BI";"WAHR";"Betula spp.";26;"bu";"aLn";"shw";"BI";"BI";"BI";"BI";"aLn";"Betula spp.";"Betula spp.";34,3;17,84;12,05;-5,73037975180638;-10,6002475395666;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;15;-9;0;1252;255;130;1;"gfi";3;1;-9;-9;511;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";51,1;17,84;12,52;-6,34002326925463;-10,7960411700452;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;25;-9;0;1737;29;130;1;"gfi";3;1;-9;-9;349;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";34,9;17,84;17,37;-11,5273205687792;-12,9937592906979;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;27;-9;0;1188;28;130;1;"rbu";1;1;356;99;561;130;2011;"HBI";111;"RBu";"Rot-Buche";"Fagus sylvatica";"Fagus";"sylvatica";"36.001.001";"LB";20;30016;"BU";"WAHR";"Fagus sylvatica";15;"bu";"bu";"bu";"BU";"BU";"aLB";"BU";"bu";"Fagus sylvatica";"Fagus sylvatica";56,1;17,84;11,88;3,21836076509748;-11,4357576918052;1;1;2;"warning";"partly intersecting";419,046548234563;0,0419046548234563;0,0999860870850348
140187;28;-9;0;1254;53;130;1;"gfi";4;1;243;194;251;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";25,1;12,62;12,54;4,9649013832802;-11,5152661391;1;1;2;"warning";"partly intersecting";193,156839525582;0,0193156839525582;0,0500343869018386
140234;2;-9;0;873;10;80;1;"gfi";2;1;269;138;384;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";38,4;17,84;8,73;-4,7493042980642;-7,32509444883743;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;4;-9;0;1220;29;80;1;"gfi";2;1;-9;-9;370;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";37;17,84;12,2;-8,0963333873982;-9,1263018622058;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;7;-9;0;649;40;80;1;"gfi";2;1;-9;-9;396;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";39,6;17,84;6,49;4,83578441151097;-4,32842802012318;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;10;-9;0;1717;53;80;1;"gfi";2;1;-9;-9;359;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";35,9;17,84;17,17;6,79803482862209;-15,7669154392621;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;12;-9;0;1292;79;80;1;"gfi";2;1;-9;-9;339;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";33,9;17,84;12,92;-5,73793567970101;-11,5759446325392;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;14;-9;0;948;78;80;1;"gfi";4;1;192;159;138;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";13,8;12,62;9,48;4,87251576276183;-8,13197332396249;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
140234;17;-9;0;820;98;80;1;"gfi";3;1;-9;-9;252;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";25,2;12,62;8,2;-4,70173135032147;-6,71816361138997;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
140234;26;-9;0;1177;172;80;1;"gfi";4;1;-9;-9;206;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";20,6;12,62;11,77;8,34091807994594;-8,30433534869775;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
140234;30;-9;0;527;229;80;1;"gfi";4;1;-9;-9;189;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";18,9;12,62;5,27;1,73890168848973;-4,97484883365993;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
140234;33;-9;0;1445;211;85;1;"gki";2;1;223;155;376;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";37,6;17,84;14,45;-7,09564148813919;-12,5878660571122;1;2;1;"warning";"partly intersecting";329,342775424294;0,0329342775424294;0,0999860870850348
140234;34;-9;0;1120;222;80;1;"gfi";4;1;-9;-9;173;130;2011;"HBI";207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"26.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";17,3;12,62;11,2;9,73224938802311;-5,54286224340131;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
140234;35;-9;0;1167;229;85;1;"gki";4;1;117;108;269;130;2011;"HBI";211;"GKi";"Gewoehnliche Kiefer";"Pinus sylvestris";"Pinus";"sylvestris";"26.007.007";"NB";134;30015;"KI";"WAHR";"Pinus sylvestris";5;"ki";"ki";"ki";"KI";"KI";"KI";"KI";"ki";"Pinus spp.";"Pinus spp.";26,9;12,62;11,67;3,85066085477708;-11,0164109845942;1;2;1;"warning";"partly intersecting";131,090357974184;0,0131090357974184;0,0500343869018386
