"stand_type","compartiment","stand_component","inv","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","n_ha","n_SP","plot_ID","stand","dom_SP","SP_code"
"2","total","LT","BZE3",121.62733669716,60.8136683485802,0.193280422091795,25.7007972253361,812.942133485424,1.66666666666667,"all","all","all","all"
"2","total","RG","BZE3",0.414444821993111,0.207222410996555,0.00204018174349009,NA,1952.57411011996,5,"all","all","all","all"
"2","total","all","BZE3",174.954014861572,87.4770074307859,0.273676991333123,NA,NA,NA,"all","all","all","all"
"3","ag","DW","BZE3",3.976137020722,1.988068510361,0.00348445024098763,NA,1159.20277216125,NA,"all","all","all","all"
"3","ag","LT","BZE3",30.6913766178859,15.345688308943,0.0431864773781041,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","ag","RG","BZE3",0.689261798613318,0.344630899306659,0.00344004541536264,NA,4520.32358694629,6,"all","all","all","all"
"3","ag","all","BZE3",46.4284687351246,23.2142343675623,0.067002864513658,NA,NA,NA,"all","all","all","all"
"3","bg","LT","BZE3",3.92905389263047,1.96452694631523,0.0110013508993653,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","bg","RG","BZE3",3.20515806179099e-07,1.6025790308955e-07,1.04401331188147e-09,NA,4520.32358694629,6,"all","all","all","all"
"3","bg","all","BZE3",3.92905485417789,1.96452742708894,0.0110013540314052,NA,NA,NA,"all","all","all","all"
"3","fwb","LT","BZE3",3.30685480993058,1.65342740496529,0.0134192168186983,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","fwb","RG","BZE3",0.930446618994247,0.465223309497124,0.00462589910800862,NA,4520.32358694629,6,"all","all","all","all"
"3","ndl","LT","BZE3",1.45786037722787,0.728930188613934,0,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","ndl","RG","BZE3",5.88018391156369e-07,2.94009195578184e-07,0,NA,4520.32358694629,6,"all","all","all","all"
"3","sb","LT","BZE3",2.51342179775056,1.25671089887528,0.0109057371804397,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","stb","DW","BZE3",0.158323636915914,0.0791618184579568,0.000766286402673023,NA,1159.20277216125,NA,"all","all","all","all"
"3","stb","LT","BZE3",0.0765616672446874,0.0382808336223437,0.000332201074174698,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","stw","DW","BZE3",1.85507462827497,0.927537314137485,0.00150632059815927,NA,1159.20277216125,NA,"all","all","all","all"
"3","stw","LT","BZE3",0.772678057317061,0.386339028658531,0.000613506377509746,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","sw","LT","BZE3",22.5639999084152,11.2819999542076,0.0179158159272817,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","total","LT","BZE3",34.6204305105164,17.3102152552582,0.0541878282774694,4.60638096147036,99.931273462177,1,"all","all","all","all"
"3","total","RG","BZE3",0.689262073341153,0.344631036670576,0.00344004631023119,NA,4520.32358694629,6,"all","all","all","all"
"3","total","all","BZE3",37.0328477672104,18.5164238836052,0.0662279903632785,NA,NA,NA,"all","all","all","all"
"5","ag","DW","BZE3",5.09406764760044,2.54703382380022,0.0101930630553663,NA,919.367715852028,NA,"all","all","all","all"
"5","ag","LT","BZE3",93.4857042396293,46.7428521198146,0.266665766993647,10.6891073030588,327.80102220034,2.5,"all","all","all","all"
"5","ag","RG","BZE3",0.00535006848739326,0.00267503424369663,1.83177660431035e-05,NA,163.842429609688,3,"all","all","all","all"
"5","ag","all","BZE3",139.004076705459,69.5020383527295,0.383524600867393,NA,NA,NA,"all","all","all","all"
"5","bg","LT","BZE3",13.9704835698502,6.9852417849251,0.0514323586765027,10.6891073030588,327.80102220034,2.5,"all","all","all","all"
"5","bg","RG","BZE3",0.00267621678885346,0.00133810839442673,1.10795375058533e-05,NA,163.842429609688,3,"all","all","all","all"
"5","bg","all","BZE3",24.4523605724211,12.2261802862106,0.0900232469901385,NA,NA,NA,"all","all","all","all"
"5","fwb","DW","BZE3",1.84718750561685,0.923593752808423,0.011469187222375,NA,919.367715852028,NA,"all","all","all","all"
"5","fwb","LT","BZE3",14.2232494734851,7.11162473674253,0.0845579172458342,10.6891073030588,327.80102220034,2.5,"all","all","all","all"
