"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm";"inv_year";"inv"
"163";140042;3;"s";1000;1;163;2011;"HBI"
"164";140042;4;"w";1000;1;60;2011;"HBI"
"165";140043;1;"n";1000;1;173;2011;"HBI"
"166";140043;2;"o";1000;1;430;2011;"HBI"
"167";140043;3;"s";1000;1;125;2011;"HBI"
"168";140043;4;"w";1000;1;154;2011;"HBI"
"169";140044;1;"n";1000;2;500;2011;"HBI"
"170";140044;2;"o";1000;2;500;2011;"HBI"
"171";140044;3;"s";1000;1;203;2011;"HBI"
"172";140044;4;"w";1000;1;490;2011;"HBI"
"173";140045;1;"n";1000;1;53;2011;"HBI"
"174";140045;2;"o";1000;1;55;2011;"HBI"
"175";140045;3;"s";1000;1;155;2011;"HBI"
"176";140045;4;"w";1000;1;150;2011;"HBI"
"177";140046;1;"n";1000;1;325;2011;"HBI"
"178";140046;2;"o";1000;1;202;2011;"HBI"
"179";140046;3;"s";1000;2;500;2011;"HBI"
"180";140046;4;"w";1000;1;262;2011;"HBI"
"181";140047;1;"n";1000;1;170;2011;"HBI"
"182";140047;2;"o";1000;1;190;2011;"HBI"
"183";140047;3;"s";1000;1;330;2011;"HBI"
"184";140047;4;"w";1000;1;250;2011;"HBI"
"185";140048;1;"n";1000;1;67;2011;"HBI"
"186";140048;2;"o";1000;1;35;2011;"HBI"
"187";140048;3;"s";1000;1;80;2011;"HBI"
"188";140048;4;"w";1000;1;75;2011;"HBI"
"189";140049;1;"n";1000;1;500;2011;"HBI"
"190";140049;2;"o";1000;1;500;2011;"HBI"
"191";140049;3;"s";1000;2;500;2011;"HBI"
"192";140049;4;"w";1000;1;500;2011;"HBI"
"193";140050;1;"n";1000;2;500;2011;"HBI"
"194";140050;2;"o";1000;1;490;2011;"HBI"
"195";140050;3;"s";1000;1;430;2011;"HBI"
"196";140050;4;"w";1000;2;500;2011;"HBI"
"197";140051;1;"n";1000;1;180;2011;"HBI"
"198";140051;2;"o";1000;1;260;2011;"HBI"
