"";"plot_ID";"LT_RMS_DBH";"LT_FSI_DBH_RMS";"LT_sd_DBH_cm";"LT_FSI_DBH_SD";"LT_sd_H_m";"LT_FSI_H_SD";"LT_n_SP";"LT_FSI_n_SP";"inv";"LT_n_bark_TY";"LT_FSI_bark_TY";"LT_Vm340_plot";"LT_FSI_V40";"LT_n_fruit_TY";"LT_FSI_fruit_TY";"DW_n_dec";"DW_FSI_n_dec";"DW_LY_mean_D_cm";"DW_FSI_LY_mean_D_cm";"DW_ST_mean_D_cm";"DW_FSI_ST_mean_D_cm";"RG_n_SP";"RG_FSI_n_SP";"FSI_sum";"FSI_total"
"130";50134;22,0860274539278;0,2825498573085;5,87374570795337;0,254826069176821;2,48060756729232;0,210156749026115;2;0,333333333333333;"HBI";1;0,25;3,70573090590756;0,0483538686455217;2;0,4;4;0,8;20,6666666666667;0,430555555555556;18,6;0,3;1;0,111111111111111;3,30977543304585;0,300888675731441
"131";50135;38,1418506447315;0,487954408262514;7,70517805750192;0,334280769772183;1,64939476155215;0,139736508716236;1;0,166666666666667;"HBI";1;0,25;36,306437868751;0,473741016891899;1;0,2;4;0,8;19,8095238095238;0,412698412698413;27,7692307692308;0,447890818858561;5;0,555555555555556;3,71296860186647;0,337542600169679
"132";50136;54,5907108217919;0,698387140251596;5,68978960411534;0,246845333684876;2,11199231539741;0,178927713042711;1;0,166666666666667;"HBI";1;0,25;46,2628183873402;0,603655877955666;1;0,2;4;0,8;27,25;0,567708333333333;11;0,17741935483871;1;0,111111111111111;3,88961041977356;0,353600947252142
"133";50137;30,72913713246;0,393122454008622;10,1570524581134;0,440652673952012;2,79493834588534;0,236786811523289;1;0,166666666666667;"HBI";1;0,25;7,89081723816054;0,102962559864122;1;0,2;4;0,8;19;0,395833333333333;18,5;0,298387096774194;1;0,111111111111111;3,28441159612224;0,298582872374749
"134";50138;58,7256458922085;0,751285983946474;9,82316372277776;0,426167274311236;2,14252518574643;0,181514453829763;2;0,333333333333333;"HBI";1;0,25;43,5946251945297;0,568840219063555;2;0,4;2;0,4;35,8571428571429;0,747023809523809;0;0;1;0,111111111111111;4,05816507400817;0,368924097637106
"135";50139;50,1324634233038;0,641352113517316;21,0518618743534;0,913312131138221;11,803606492714;1;2;0,333333333333333;"HBI";1;0,25;57,5663527208308;0,751148944308764;2;0,4;3;0,6;17,7222222222222;0,369212962962963;9;0,145161290322581;3;0,333333333333333;5,40352077558318;0,491229161416653
"136";50140;31,9561405366284;0,40881969234123;10,1413514176975;0,439971501390226;2,31287539504921;0,195946501306772;2;0,333333333333333;"HBI";1;0,25;4,90199875461188;0,0639632531070044;2;0,4;4;0,8;28;0,583333333333333;16,5897435897436;0,267576509511993;2;0,222222222222222;3,74294412432389;0,340267647665808
"137";50141;15,4983388613969;0,19827257042677;3,29963556865209;0,143151100419125;2,26595022279309;0,191971006843696;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;5;1;13,9516129032258;0,290658602150538;13,3333333333333;0,21505376344086;2;0,222222222222222;2,65577370994766;0,241433973631605
"138";50142;34,2552859134309;0,438233003517366;15,2747931666542;0,662680288470255;4,50929397000935;0,382026796029908;4;0,666666666666667;"HBI";1;0,25;33,5430046559538;0,437682627879018;4;0,8;4;0,8;24,8333333333333;0,517361111111111;29,6;0,47741935483871;3;0,333333333333333;5,43206984851303;0,493824531683003
"139";50143;31,3434334189071;0,400981238411694;13,5219567497945;0,586635386932634;7,20724674081301;0,610597002302798;2;0,333333333333333;"HBI";1;0,25;16,5752720599901;0,216280822408032;2;0,4;3;0,6;20,8333333333333;0,434027777777778;24,5;0,395161290322581;5;0,555555555555556;4,22701685148885;0,384274259226259
"140";50144;42,6119298143137;0,545140800616588;5,89758381932433;0,255860259712008;0,907591635279085;0,0768910447700297;2;0,333333333333333;"HBI";1;0,25;41,7645055437641;0,544960081124334;1;0,2;4;0,8;22,5454545454545;0,46969696969697;29,0434782608696;0,468443197755961;1;0,111111111111111;3,94432568700922;0,358575062455384
"141";50145;14,8642729533103;0,190160870292928;3,51356931978694;0,152432383534962;1,72800700467242;0,146396527683218;1;0,166666666666667;"HBI";1;0,25;0;0;1;0,2;0;0;0;0;0;0;0;0;1,10565644817777;0,100514222561616
"142";50146;40,9838602379034;0,524312662669977;12,7989254861332;0,555267461936957;7,19489698353117;0,609550732479294;4;0,666666666666667;"HBI";1;0,25;26,8917709624702;0,350894653114669;3;0,6;4;0,8;22,125;0,4609375;21,3809523809524;0,344854070660522;5;0,555555555555556;5,16248374752809;0,469316704320735
"143";50066;0;0;0;0;0;0;0;0;"HBI";0;0;0;0;0;0;4;0,8;29,875;0,622395833333333;23,2389380530973;0,37482158150157;2;0,222222222222222;1,7972174148349;0,163383401348628
"144";50071;0;0;0;0;0;0;0;0;"HBI";0;0;0;0;0;0;4;0,8;25,9375;0,540364583333333;29,1428571428571;0,470046082949309;4;0,444444444444444;1,81041066628264;0,164582787843877
"145";50084;0;0;0;0;0;0;0;0;"HBI";0;0;0;0;0;0;4;0,8;27,125;0,565104166666667;34,9393939393939;0,563538611925709;6;0,666666666666667;1,92864277859238;0,175331161690216
"146";50120;0;0;0;0;0;0;0;0;"HBI";0;0;0;0;0;0;3;0,6;26,4;0,55;40,4166666666667;0,651881720430108;3;0,333333333333333;1,80188172043011;0,16380742913001
