"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv"
140057,3,"s",1600,1,223,2022,"BZE3"
140057,4,"w",1600,1,399,2022,"BZE3"
140058,1,"n",1600,2,500,2022,"BZE3"
140058,2,"o",1600,2,500,2022,"BZE3"
140058,3,"s",1600,1,500,2022,"BZE3"
140058,4,"w",1600,1,500,2022,"BZE3"
140059,1,"n",1600,1,83,2022,"BZE3"
140059,2,"o",1600,1,342,2022,"BZE3"
140059,3,"s",1600,1,204,2022,"BZE3"
140059,4,"w",1600,1,135,2022,"BZE3"
140060,1,"n",1600,1,176,2022,"BZE3"
140060,2,"o",1600,1,80,2022,"BZE3"
140060,3,"s",1600,1,221,2022,"BZE3"
140060,4,"w",1600,1,151,2022,"BZE3"
140061,1,"n",1600,1,173,2022,"BZE3"
140061,2,"o",1600,1,438,2022,"BZE3"
140061,3,"s",1600,1,328,2022,"BZE3"
140061,4,"w",1600,1,183,2022,"BZE3"
140062,1,"n",1600,1,493,2022,"BZE3"
140062,2,"o",1600,1,489,2022,"BZE3"
140062,3,"s",1600,1,135,2022,"BZE3"
140062,4,"w",1600,1,426,2022,"BZE3"
140063,1,"n",1600,1,478,2022,"BZE3"
140063,2,"o",1600,1,403,2022,"BZE3"
140063,3,"s",1600,1,201,2022,"BZE3"
140063,4,"w",1600,1,296,2022,"BZE3"
140064,1,"n",1600,1,200,2022,"BZE3"
140064,2,"o",1600,1,427,2022,"BZE3"
140064,3,"s",1600,1,427,2022,"BZE3"
140064,4,"w",1600,1,422,2022,"BZE3"
140065,1,"n",1600,1,230,2022,"BZE3"
140065,2,"o",1600,1,183,2022,"BZE3"
140065,3,"s",1600,1,128,2022,"BZE3"
140065,4,"w",1600,1,162,2022,"BZE3"
140067,1,"n",1600,1,101,2022,"BZE3"
140067,2,"o",1600,1,212,2022,"BZE3"
140067,3,"s",1600,1,421,2022,"BZE3"
140067,4,"w",1600,1,222,2022,"BZE3"
140068,1,"n",1600,1,254,2022,"BZE3"
140068,2,"o",1600,1,307,2022,"BZE3"
140068,3,"s",1600,1,236,2022,"BZE3"
140068,4,"w",1600,2,500,2022,"BZE3"
140187,1,"n",1600,1,150,2022,"BZE3"
140187,2,"o",1600,1,144,2022,"BZE3"
140187,3,"s",1600,1,115,2022,"BZE3"
140187,4,"w",1600,1,283,2022,"BZE3"
140252,1,"n",1600,1,314,2022,"BZE3"
140252,2,"o",1600,1,246,2022,"BZE3"
140252,3,"s",1600,1,94,2022,"BZE3"
140252,4,"w",1600,1,140,2022,"BZE3"
140254,1,"n",1600,1,175,2022,"BZE3"
140254,2,"o",1600,1,183,2022,"BZE3"
140254,4,"w",1600,1,196,2022,"BZE3"
140315,1,"n",1600,1,345,2022,"BZE3"
140315,2,"o",1600,1,45,2022,"BZE3"
140315,3,"s",1600,1,500,2022,"BZE3"
140315,4,"w",1600,1,67,2022,"BZE3"
140316,1,"n",1600,2,500,2022,"BZE3"
140316,2,"o",1600,1,301,2022,"BZE3"
140316,3,"s",1600,1,387,2022,"BZE3"
140316,4,"w",1600,2,500,2022,"BZE3"
