"plot_ID","inv","inv_year","stand","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Chr_code_ger","bot_name","tpS_ID","LH_NH","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","DBH_class","Kraft","C_layer","H_dm","H_m","H_method","C_h_dm","D_mm","DBH_h_cm","DBH_cm","BA_m2","CCS_r_m","stand_plot_A_ha","plot_A_ha"
140002,"HBI",2012,"A",29,-9,0,446,1,50,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","25",3,1,204,20.4,"sampled",144,294,130,29.4,0.0678866756514218,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",30,-9,0,354,6,50,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","15",4,1,142,14.2,"sampled",94,197,130,19.7,0.0304805173232916,12.62,0.0500343869018386,0.0500343869018386
140002,"HBI",2012,"A",31,-9,0,374,398,93,1,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","55",2,1,269,26.9,"sampled",165,589,130,58.9,0.272471116244006,17.84,0.0999860870850348,0.0999860870850348
140002,"HBI",2012,"A",32,-9,0,415,383,40,5,"wli","WLi","Tilia cordata",27,"LB","bu","aLh","bu","BU","BU","aLB","15",4,1,NA,15.7390628546156,"coeff_SP_P",NA,190,130,19,0.0283528736986479,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",1,-9,0,149,199,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,259,25.9,"sampled",127,335,150,33.5877192982456,0.0886035068830976,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",2,-9,0,1542,177,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","30",2,1,263,26.3,"sampled",217,314,130,31.4,0.0774371173183348,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",3,-9,0,1395,201,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","35",2,1,271,27.1,"sampled",208,355,130,35.5,0.0989798035421634,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",4,-9,0,1032,233,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","20",3,1,248,24.8,"sampled",143,227,130,22.7,0.0404707819617071,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",5,-9,0,1305,246,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","30",2,1,311,31.1,"sampled",200,320,130,32,0.0804247719318987,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",6,-9,0,1135,280,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","20",3,1,NA,27.6224624027968,"coeff_SP_P",NA,214,130,21.4,0.0359680942909495,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",7,-9,0,1093,257,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","10",4,1,137,13.7,"sampled",80,102,130,10.2,0.00817128249198705,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",8,-9,0,713,252,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","25",3,1,268,26.8,"sampled",212,259,130,25.9,0.0526852941988642,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",9,-9,0,646,291,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,NA,25.581326107444,"coeff_SP_P",NA,309,130,30.9,0.0749906020393518,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",10,-9,0,1006,291,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","20",3,1,NA,27.6594991502035,"coeff_SP_P",NA,216,130,21.6,0.0366435367114714,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",11,-9,0,1032,298,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","15",3,1,252,25.2,"sampled",179,153,130,15.3,0.0183853856069709,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",12,-9,0,1743,307,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","35",2,1,286,28.6,"sampled",179,369,130,36.9,0.10694059932636,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",13,-9,0,1232,313,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","10",4,1,NA,16.5102513307738,"coeff_SP_P",NA,111,130,11.1,0.00967689077121996,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",14,-9,0,816,340,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,243,24.3,"sampled",180,262,150,26.2877192982456,0.0542744834434979,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",15,-9,0,1217,333,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","10",4,1,NA,22.0577354057817,"coeff_SP_P",NA,136,130,13.6,0.0145267244301992,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",16,-9,0,1757,328,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","40",2,1,274,27.4,"sampled",125,397,200,40.0070175438596,0.125707802539828,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",17,-9,0,1212,356,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,271,27.1,"sampled",123,363,130,36.3,0.103491130592718,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",18,-9,0,1035,350,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,NA,23.0011300828338,"coeff_SP_P",NA,250,130,25,0.0490873852123405,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",19,-9,0,707,359,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,NA,26.710755447757,"coeff_SP_P",NA,336,150,33.6877192982456,0.089131886942252,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",20,-9,0,484,378,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,310,31,"sampled",145,433,130,43.3,0.147253516257224,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",21,-9,0,1468,8,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","40",2,1,261,26.1,"sampled",186,411,130,41.1,0.13267024315926,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",22,-9,0,986,3,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,NA,25.1210705735619,"coeff_SP_P",NA,298,130,29.8,0.069746498502347,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",23,-9,0,991,21,82,1,"rbu","RBu","Fagus sylvatica",15,"LB","bu","bu","bu","BU","BU","aLB","35",3,1,NA,28.2478713217035,"coeff_SP_P",NA,379,130,37.9,0.112815377588573,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",24,-9,0,1239,37,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,NA,23.6341813212457,"coeff_SP_P",NA,263,150,26.3877192982456,0.0546881953707963,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",25,-9,0,1663,54,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,28.3278842899782,"coeff_SP_P",NA,379,130,37.9,0.112815377588573,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",26,-9,0,1772,73,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,NA,26.19537598923,"coeff_SP_P",NA,324,130,32.4,0.0824479576008105,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",27,-9,0,1091,63,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","35",2,1,284,28.4,"sampled",215,381,130,38.1,0.114009182796937,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",28,-9,0,684,72,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","25",3,1,NA,24.1732573196172,"coeff_SP_P",NA,276,130,27.6,0.059828490494964,12.62,0.0500343869018386,0.0500343869018386
140003,"HBI",2012,"A",29,-9,0,910,83,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,27.6825713098965,"coeff_SP_P",NA,361,150,36.1877192982456,0.102851897227321,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",30,-9,0,1310,98,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",2,1,NA,25.3731960873895,"coeff_SP_P",NA,304,130,30.4,0.0725833566685386,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",31,-9,0,1359,117,82,1,"gki","GKi","Pinus sylvestris",5,"NB","ki","ki","ki","KI","KI","KI","30",2,1,NA,26.4956599766588,"ehk_sloboda",NA,327,150,32.7877192982456,0.0844330150776268,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",32,-9,0,1772,123,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,28.6563730850694,"coeff_SP_P",NA,387,150,38.7877192982456,0.118162145888457,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",33,-9,0,1777,135,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","30",3,1,NA,26.8369407700392,"coeff_SP_P",NA,337,200,34.0070175438596,0.0908295102057111,17.84,0.0999860870850348,0.0999860870850348
140003,"HBI",2012,"A",34,-9,0,1076,137,82,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","40",2,1,NA,29.2094413909414,"coeff_SP_P",NA,400,200,40.3070175438597,0.127600157409417,17.84,0.0999860870850348,0.0999860870850348
140004,"HBI",2011,"A",1,-9,0,587,399,89,1,"gfi","GFi","Picea abies ",1,"NB","fi","fi","fi","FI","FI","FI","35",2,1,NA,29.0701752517529,"coeff_SP_P",NA,355,130,35.5,0.0989798035421634,17.84,0.0999860870850348,0.0999860870850348
