"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","dom_SP","BL_CF_ratio","stand_type","n_stands","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP"
140043,"BZE3","all","all","stw",11.7611686244874,5.88058431224369,0.0125524436412641,51.7736439092557,"LT",NA,"gfi","0.667252344968644","6","1",37.4303675856307,12.9937130332717,39.6164991402968,0.123265650255906,27.0304062191789,6.82663873159925,27.0304062191789,419.942744429642,4
140043,"BZE3","all","all","sw",315.536125224111,157.768062612055,0.351866694554449,51.7736439092557,"LT",NA,"gfi","0.667252344968644","6","1",37.4303675856307,12.9937130332717,39.6164991402968,0.123265650255906,27.0304062191789,6.82663873159925,27.0304062191789,419.942744429642,4
140043,"BZE3","all","all","total",461.496507449098,230.748253724549,0.912786306354945,51.7736439092557,"LT",NA,"gfi","0.667252344968644","6","1",37.4303675856307,12.9937130332717,39.6164991402968,0.123265650255906,27.0304062191789,6.82663873159925,27.0304062191789,419.942744429642,4
140043,"BZE3","all","ela","ag",19.6719640156581,9.83598200782903,0.0268081838261626,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","bg",2.84753662022491,1.42376831011245,0.00797310253662975,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","fwb",1.7751135824066,0.8875567912033,0.00720341091740598,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","ndl",0.714409613076651,0.357204806538326,0,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","sb",1.62917929253745,0.814589646268725,0.00706900895032,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","stb",0.05260206078775,0.0263010303938751,0.000228240341758048,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","stw",0.535993210486362,0.267996605243181,0.000425578609126172,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","sw",14.9646662563633,7.48233312818163,0.0118819450075524,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","ela","total",22.519500635883,11.2597503179415,0.0347812863627923,2.66970607806285,"LT",5.1564963878959,"gfi","0.667252344968644","6","1",33.3,5.03436466559653,33.6658580760984,0.0890162424413033,30.7666666666667,0.239731650742692,30.7666666666667,NA,NA
140043,"BZE3","all","gfi","ag",176.020053488218,88.010026744109,0.252313523812224,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","bg",26.327710372828,13.163855186414,0.108996720943508,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","fwb",20.076832161433,10.0384160807165,0.0871936820771034,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","ndl",9.49420762154167,4.74710381077083,0,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","sb",10.9742173695986,5.48710868479928,0.053115212068857,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","stb",0.496299662790566,0.248149831395283,0.00240209036790634,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","stw",5.83707790482609,2.91853895241304,0.00473970725871878,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","sw",129.141418768028,64.5707093840141,0.104862832039639,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","gfi","total",202.347763861046,101.173881930523,0.361310244755733,28.3835679302153,"LT",54.8224265998422,"gfi","0.667252344968644","6","1",33.9513970110461,13.6557403068417,36.5853240858325,0.105124439780403,25.0996136096271,7.66563328537956,25.0996136096271,NA,NA
140043,"BZE3","all","rbu","ag",204.676183453,102.3380917265,0.427493839726221,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","bg",15.451144635266,7.72557231763301,0.046816968244856,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","fwb",27.2035639825668,13.6017819912834,0.12516359788379,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","ndl",2.16132821261473,1.08066410630736,0,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","sb",11.3286428493495,5.66432142467472,0.0818721018722484,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","stb",0.261592726557354,0.130796363278677,0.00189053063483,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","stw",4.99449183235825,2.49724591617912,0.00666764659619826,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","sw",158.726563849553,79.3632819247767,0.211899962739154,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","rbu","total",220.127328088266,110.063664044133,0.474310807971076,19.0510016123531,"LT",36.7967177387477,"gfi","0.667252344968644","6","1",46.3079744816587,7.8073144279778,46.9556016941208,0.173166827842716,29.9715903405075,2.35934360747863,29.9715903405075,NA,NA
140043,"BZE3","all","sbi","ag",15.9567095657493,7.97835478287467,0.040366707662176,1.66936828862434,"LT",3.22435927351427,"gfi","0.667252344968644","6","1",46.1,0,46.1,0.166913603083389,35.6,0,35.6,NA,NA
140043,"BZE3","all","sbi","bg",0.545205298153388,0.272602649076694,0.00201725960316754,1.66936828862434,"LT",3.22435927351427,"gfi","0.667252344968644","6","1",46.1,0,46.1,0.166913603083389,35.6,0,35.6,NA,NA
140043,"BZE3","all","sbi","fwb",1.74769164928046,0.873845824640229,0.0105857683196917,1.66936828862434,"LT",3.22435927351427,"gfi","0.667252344968644","6","1",46.1,0,46.1,0.166913603083389,35.6,0,35.6,NA,NA
