"plot_ID","LT_FSI_DBH_RMS_diff","LT_FSI_DBH_SD_diff","LT_FSI_H_SD_diff","LT_FSI_n_SP_diff","LT_FSI_bark_TY_diff","LT_FSI_V40_diff","LT_FSI_fruit_TY_diff","DW_FSI_n_dec_diff","DW_FSI_LY_mean_D_cm_diff","DW_FSI_ST_mean_D_cm_diff","RG_FSI_n_SP_diff","FSI_sum_diff","FSI_total_diff","stand_component","stand","C_layer","SP_code"
140051,-0.018628613811797,0.05315151295059,0.067038086310292,0.111111111111111,0.181818181818182,-0.014418128054986,0.25,0,0,0,0.158730158730158,0.78880230905355,0.07170930082305,"all","all","all","all"
140052,0.111887938399149,0.047196337356067,0.079317289392404,0.055555555555555,0.050505050505051,0.087415545913932,0.25,0,0,0,-0.047619047619047,0.63425866950311,0.0576598790457371,"all","all","all","all"
140053,0.122122493063587,-0.03366563582489,-0.14661377044166,0.111111111111111,0.191919191919192,0.116884424842774,0.25,0,0,0,0.666666666666667,1.27842448133679,0.116220407394253,"all","all","all","all"
140054,0.232165562109912,0.156670356748083,0.061324760196491,0.166666666666666,0.343434343434344,0.0545083454405793,0.75,0,0,0,0.095238095238096,1.86000812983417,0.169091648166742,"all","all","all","all"
140055,-0.066084389843229,0.108545957158438,0.085611679927599,-0.277777777777778,-0.06060606060606,-0.78679870166755,0,0,0,0,0.634920634920635,-0.36218865788795,-0.032926241626176,"all","all","all","all"
140056,0.174271128146441,0.094584731503258,-0.00985410972365297,-0.166666666666666,-0.161616161616162,0.158848538384188,0,0,0,0,0.666666666666667,0.75623412669407,0.068748556972188,"all","all","all","all"
140057,0.137668797872332,0.086649913804095,-0.00625278822582598,0.055555555555555,0.141414141414142,0.138595364820158,0.25,0,0,0,-0.095238095238096,0.70839289000236,0.064399353636578,"all","all","all","all"
140058,0.167844176297014,0.00070300529522499,-0.087993004947167,0.055555555555555,0.050505050505051,-0.0338364773429094,0.25,0,0,0,0.317460317460318,0.72023862282308,0.065476238438462,"all","all","all","all"
140059,-0.00758685517215801,0.184098753868133,0.164490180792152,0.333333333333333,0.171717171717171,0.0539253276405715,0.5,0,0,0,0.158730158730158,1.55870807090936,0.141700733719033,"all","all","all","all"
140060,-0.017036811929829,-0.213123274065706,-0.209114526553742,0.388888888888889,0.464646464646465,-0.258428957008954,0.5,0,0,0,0.079365079365079,0.735196863342201,0.066836078485655,"all","all","all","all"
140061,0.194110185399202,0.021744539997483,0.00977806540071199,0,0.010101010101011,-0.0012140679264377,0,0,0,0,0.158730158730158,0.39324989170213,0.035749990154739,"all","all","all","all"
140062,0.223600989609655,-0.026653809677092,0.030942640089082,0.111111111111111,0.070707070707071,0,0.25,0,0,0,0.26984126984127,0.9295492716811,0.084504479243736,"all","all","all","all"
140063,0.071013485596932,0.296137450477649,-0.00164700071809998,0.166666666666666,0.252525252525253,0.12969276051171,0.5,0,0,0,0.301587301587301,1.71597591664741,0.15599781060431,"all","all","all","all"
140064,0.295559203869315,0.117636897349535,0.0871030415831586,0.111111111111111,0.181818181818182,0,0.25,0,0,0,0.46031746031746,1.50354589604877,0.136685990549887,"all","all","all","all"
140067,0.13097588689368,-0.134770704505497,-0.461442322468956,-0.555555555555556,-0.464646464646465,-0.0376821120193266,-0.75,0,0,0,0.523809523809524,-1.74931174849259,-0.159028340772054,"all","all","all","all"
140068,0.287001094178421,0.653370375886947,0.523610917768215,0.444444444444444,0.454545454545455,0.197458257836201,0.5,0,0,0,0.714285714285714,3.7747162589454,0.343156023540491,"all","all","all","all"
