"";"X.plot_ID.team.date.plot_inv_status.inv_year.inv"
"107";"107;50107;Koch / Koch;2006-01-01;0;2012;HBI"
"108";"108;50108;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"109";"109;50109;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"110";"110;50110;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"111";"111;50111;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"112";"112;50112;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"113";"113;50113;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"114";"114;50114;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"115";"115;50115;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"116";"116;50116;Pahlke / Milbert / Gommer;2006-01-01;0;2012;HBI"
"117";"117;50117;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"118";"118;50118;Pahlke / Milbert / Gommer;2006-01-01;0;2012;HBI"
"119";"119;50119;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"120";"120;50120;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"121";"121;50121;Heilmann / Siegert;2006-01-01;0;2012;HBI"
"122";"122;50122;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"123";"123;50123;Pahlke;2006-01-01;0;2012;HBI"
"124";"124;50124;Pahlke / Milbert / Gommer;2006-01-01;0;2012;HBI"
"125";"125;50125;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"126";"126;50126;Pahlke / Koch;2006-01-01;0;2012;HBI"
"127";"127;50127;Pahlke / Koch;2006-01-01;0;2012;HBI"
"128";"128;50128;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"129";"129;50129;Betzer / Koch;2006-01-01;0;2012;HBI"
"130";"130;50130;Pahlke / Koch;2006-01-01;0;2012;HBI"
"131";"131;50131;Pahlke / Koch;2006-01-01;0;2012;HBI"
"132";"132;50132;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"133";"133;50133;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"134";"134;50134;Betzer / Koch;2006-01-01;0;2012;HBI"
"135";"135;50135;Pahlke / Koch;2006-01-01;0;2012;HBI"
"136";"136;50136;Pahlke / Koch;2006-01-01;0;2012;HBI"
"137";"137;50137;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"138";"138;50138;Pahlke / Koch;2006-01-01;0;2012;HBI"
"139";"139;50139;Pahlke / Koch;2006-01-01;0;2012;HBI"
"140";"140;50140;Pahlke / Milbert;2006-01-01;0;2012;HBI"
"141";"141;50141;Dickhof;2007-04-18;19;2012;HBI"
"142";"142;50142;Richter;2006-05-30;19;2012;HBI"
"143";"143;50143;Koch;2007-05-18;19;2012;HBI"
"144";"144;50144;Richter;2006-08-15;19;2012;HBI"
"145";"145;50145;Siegert;2006-09-27;19;2012;HBI"
"146";"146;50146;Milbert/Busch;2006-09-18;11;2012;HBI"
"147";"147;51025;-9;1970-01-01;40;2012;HBI"
