"plot_ID","LT_RMS_DBH","LT_FSI_DBH_RMS","LT_sd_DBH_cm","LT_FSI_DBH_SD","LT_sd_H_m","LT_FSI_H_SD","LT_n_SP","LT_FSI_n_SP","inv","LT_n_bark_TY","LT_FSI_bark_TY","LT_Vm340_plot","LT_FSI_V40","LT_n_fruit_TY","LT_FSI_fruit_TY","DW_n_dec","DW_FSI_n_dec","DW_LY_mean_D_cm","DW_FSI_LY_mean_D_cm","DW_ST_mean_D_cm","DW_FSI_ST_mean_D_cm","RG_n_SP","RG_FSI_n_SP","FSI_sum","FSI_total"
140019,47.3553148210153,1,16.7815560856249,0.950636047304175,5.29237416054756,0.419091770938986,3,0.4,"HBI",4,0.222222222222222,48.5766089704654,1,3,0.5,3,0.6,19.25,0.490793201133145,10,0.204081632653061,4,0.444444444444444,5.78682487425159,0.526074988568326
140020,11.8586968070393,0.0183385905007677,2.49789361667768,0.030093916542494,1.13814542404653,0.00902233857916677,1,0,"HBI",2,0,0,0,1,0,2,0.4,14,0.356940509915014,0,0,2,0.222222222222222,0.814395355537443,0.0740359414124948
140021,33.0219139360516,0.60360881394078,12.7922378851522,0.693535637340472,7.82940202406639,0.669525158665842,5,0.8,"HBI",6,0.444444444444444,6.80585834971402,0.140105670073677,4,0.75,5,1,20.3157894736842,0.517966303861637,14,0.285714285714286,5,0.555555555555556,5.90490031404114,0.536809119458285
140022,24.5235390386457,0.368585672385274,8.80399964342342,0.436504827699894,6.12008266614136,0.500795976118146,4,0.6,"HBI",7,0.555555555555556,0,0,4,0.75,5,1,13.5,0.344192634560907,12.4285714285714,0.253644314868805,4,0.444444444444444,4.80927898118858,0.437207180108053
140023,32.7124084510246,0.595049418491903,9.8657198086825,0.504929725398578,3.78345081145734,0.270143944402822,5,0.8,"HBI",8,0.666666666666667,9.13619407392323,0.188078053770243,3,0.5,2,0.4,14.6666666666667,0.373937677053824,20.5,0.418367346938776,7,0.777777777777778,4.71717283272281,0.428833893883892
140024,21.7462879974185,0.291780604066065,4.23208715757587,0.141857844089938,1.97677631034494,0.0918047064546184,2,0.2,"HBI",4,0.222222222222222,0,0,1,0,5,1,15.8723404255319,0.40467723464529,0,0,7,0.777777777777778,2.35234261147813,0.213849328316194
140025,20.5493979255364,0.258680526911764,6.00408876995531,0.256058396190574,2.82393972693782,0.175429331720402,2,0.2,"HBI",4,0.222222222222222,0,0,2,0.25,4,0.8,16.7647058823529,0.427428761873021,10,0.204081632653061,3,0.333333333333333,2.79390087157104,0.25399098832464
140026,29.3041563097063,0.500793971405142,12.0173524195575,0.643596434482272,6.28630651798322,0.517204153157253,4,0.6,"HBI",8,0.666666666666667,17.0815996587004,0.351642488447187,3,0.5,4,0.8,12.6086956521739,0.321468161103584,15.375,0.313775510204082,6,0.666666666666667,5.21514738546619,0.474104307769653
140027,29.1603138261409,0.496815997641357,6.85738163143387,0.311050736605847,3.224217383357,0.214941270461739,2,0.2,"HBI",4,0.222222222222222,1.75302525800814,0.0360878475291262,2,0.25,5,1,22.2105263157895,0.566274042045624,13,0.26530612244898,9,1,3.5626982389549,0.323881658086809
140028,26.189251134769,0.414651054824146,8.64296126643554,0.426126354321018,3.72461104174587,0.264335792638389,2,0.2,"HBI",3,0.111111111111111,3.1798148487152,0.0654597946647229,2,0.25,5,1,23.5121951219512,0.599461065432184,11.6,0.236734693877551,4,0.444444444444444,3.56787986686912,0.32435271516992
140029,36.962364838608,0.712582254327215,10.483034055569,0.544713903540133,4.26487861948298,0.317666322317328,5,0.8,"HBI",7,0.555555555555556,22.7652033651477,0.468645379898563,5,1,5,1,14.9545454545455,0.381277362863765,27,0.551020408163265,6,0.666666666666667,6.33146118666583,0.575587380605984
140030,18.8084904242481,0.210535610377754,4.93864702613649,0.18739365315358,2.52935671879458,0.146350651995632,4,0.6,"HBI",6,0.444444444444444,0,0,2,0.25,5,1,18,0.458923512747875,0,0,5,0.555555555555556,3.29764787271929,0.299786170247208
140031,40.4850861144625,0.810003353192652,7.36152028048818,0.343541063733689,3.05697319412699,0.198432374564785,2,0.2,"HBI",3,0.111111111111111,36.5048235860399,0.751489747014554,1,0,3,0.6,19.4090909090909,0.49484934329127,28,0.571428571428571,3,0.333333333333333,4.08085556433663,0.370986869485148
140032,28.1657623180583,0.469311607367908,10.0766198314903,0.51852164251334,5.39283686222153,0.429008577562272,4,0.6,"HBI",9,0.777777777777778,12.9740866802113,0.267085063267787,3,0.5,3,0.6,13.3,0.339093484419263,15,0.306122448979592,5,0.555555555555556,4.80692060188794,0.436992781989813
140033,17.5284551267485,0.175136146297613,6.00020527179747,0.255808115586646,2.59175823926343,0.152510388904728,3,0.4,"HBI",5,0.333333333333333,1.31603373327467,0.0270919226592128,1,0,2,0.4,32.1666666666667,0.820113314447592,24,0.489795918367347,2,0.222222222222222,3.05378913959647,0.27761719450877
140034,28.1074409954933,0.467698727186182,7.7059013224024,0.365735459520262,3.87941791944584,0.279616985006552,1,0,"HBI",3,0.111111111111111,1.33754943414689,0.0275348457312062,1,0,5,1,18.5084745762712,0.471887453785951,15,0.306122448979592,6,0.666666666666667,3.02970703132086,0.27542791193826
140035,31.6633839435178,0.566038573677535,10.8837882985222,0.570541394600072,5.306873815587,0.420523051132874,5,0.8,"HBI",9,0.777777777777778,12.8506636157207,0.264544271164213,2,0.25,5,1,24.6428571428571,0.628288142452448,11,0.224489795918367,4,0.444444444444444,5.50220300672329,0.500200273338481
140036,31.8489590770334,0.57117066674238,6.25184230756776,0.272025419348208,3.09950977273875,0.202631216697042,1,0,"HBI",3,0.111111111111111,3.57497995100957,0.0735946791424482,2,0.25,4,0.8,17.6363636363636,0.449652330672161,0,0,2,0.222222222222222,2.73018542371335,0.248198674883032
140037,35.4379216831126,0.670423674145411,7.52187749283931,0.353875637955225,2.94735136328991,0.187611458145179,1,0,"HBI",3,0.111111111111111,14.2584709406714,0.293525448623648,1,0,5,1,19.2708333333333,0.491324362606232,21,0.428571428571429,3,0.333333333333333,3.53644312115824,0.321494829196203
