"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"192";50063;0;2012;17,84;"0";999,404070938006;"C"
"193";50063;1;2012;12,62;"no intersections";0;"A"
"194";50063;2;2012;12,62;"no intersections";0;"B"
"195";50063;0;2012;12,62;"0";500,115280173719;"C"
"196";50063;1;2012;5,64;"no intersections";0;"A"
"197";50063;2;2012;5,64;"no intersections";0;"B"
"198";50063;0;2012;5,64;"0";99,887150010909;"C"
"199";50064;1;2012;17,84;"partly intersecting";385,314891946502;"warning"
"200";50064;0;2012;17,84;"0";614,089178961411;"A"
"201";50064;1;2012;12,62;"partly intersecting";169,589503424941;"warning"
"202";50064;0;2012;12,62;"0";330,525776719442;"A"
"203";50064;1;2012;5,64;"partly intersecting";15,6741622522386;"warning"
"204";50064;0;2012;5,64;"0";84,2129877631087;"A"
"205";50065;1;2012;17,84;"partly intersecting";36,4729447415011;"B"
"206";50065;0;2012;17,84;"0";962,931126137264;"A"
"207";50065;1;2012;12,62;"no intersections";0;"B"
"208";50065;0;2012;12,62;"0";500,115280215628;"A"
"209";50065;1;2012;5,64;"no intersections";0;"B"
"210";50065;0;2012;5,64;"0";99,8871500153909;"A"
"211";50068;1;2012;17,84;"partly intersecting";273,529796838586;"B"
"212";50068;0;2012;17,84;"0";725,8742740585;"A"
"213";50068;1;2012;12,62;"partly intersecting";130,196385569405;"B"
"214";50068;0;2012;12,62;"0";369,918894581497;"A"
"215";50068;1;2012;5,64;"partly intersecting";2,93238551753893;"B"
"216";50068;0;2012;5,64;"0";96,9547644971171;"A"
"217";50069;1;2012;17,84;"partly intersecting";73,9242151524813;"no forest"
"218";50069;2;2012;17,84;"no intersections";0;"B"
"219";50069;0;2012;17,84;"0";925,479855747893;"A"
"220";50069;1;2012;12,62;"no intersections";0;"no forest"
"221";50069;2;2012;12,62;"no intersections";0;"B"
"222";50069;0;2012;12,62;"0";500,115280167665;"A"
"223";50069;1;2012;5,64;"no intersections";0;"no forest"
"224";50069;2;2012;5,64;"no intersections";0;"B"
"225";50069;0;2012;5,64;"0";99,8871500082314;"A"
"226";50070;1;2012;17,84;"partly intersecting";466,565202568192;"B"
"227";50070;0;2012;17,84;"0";532,838868361549;"A"
"228";50070;1;2012;12,62;"partly intersecting";226,627176390495;"B"
"229";50070;0;2012;12,62;"0";273,488103788579;"A"
"230";50070;1;2012;5,64;"partly intersecting";39,5104599389597;"B"
"231";50070;0;2012;5,64;"0";60,3766900804767;"A"
"232";50072;1;2012;17,84;"partly intersecting";343,446764742708;"warning"
"233";50072;0;2012;17,84;"0";655,957306199241;"A"
"234";50072;1;2012;12,62;"partly intersecting";140,700632062635;"warning"
"235";50072;0;2012;12,62;"0";359,414648090489;"A"
"236";50072;1;2012;5,64;"partly intersecting";5,78129154973431;"warning"
"237";50072;0;2012;5,64;"0";94,105858456518;"A"
"238";50073;1;2012;17,84;"partly intersecting";74,6512457723438;"warning"
"239";50073;0;2012;17,84;"0";924,752825151896;"A"
"240";50073;1;2012;12,62;"no intersections";0;"warning"
"241";50073;0;2012;12,62;"0";500,115280169528;"A"
"242";50073;1;2012;5,64;"no intersections";0;"warning"
"243";50073;0;2012;5,64;"0";99,8871500144596;"A"
"244";50075;2;2012;17,84;"partly intersecting";349,684235394816;"B"
"245";50075;0;2012;17,84;"0";649,71983546135;"A"
"246";50075;2;2012;12,62;"partly intersecting";144,972445271211;"B"
"247";50075;0;2012;12,62;"0";355,142834902275;"A"
