"";"X.plot_ID.CCS_no.t_ID.SP_code.H_cm.D_class_cm.inv_year.inv.stand.area_m2"
"305";"187;50007;1;1;ges;70;0;2012;HBI;A;69"
"306";"957682053768"
"307";"188;50007;1;1;ges;70;0;2012;HBI;A;69"
"308";"957682053768"
"309";"189;50007;1;2;bah;80;0;2012;HBI;A;69"
"310";"957682053768"
"311";"190;50007;1;2;bah;80;0;2012;HBI;A;69"
"312";"957682053768"
"313";"191;50007;1;3;bah;110;0;2012;HBI;A;69"
"314";"957682053768"
"315";"192;50007;1;3;bah;110;0;2012;HBI;A;69"
"316";"957682053768"
"317";"193;50007;1;4;sbi;730;1;2012;HBI;A;69"
"318";"957682053768"
"319";"194;50007;1;4;sbi;730;1;2012;HBI;A;69"
"320";"957682053768"
"321";"195;50007;1;5;bah;110;0;2012;HBI;A;69"
"322";"957682053768"
"323";"196;50007;1;5;bah;110;0;2012;HBI;A;69"
"324";"957682053768"
"325";"197;50007;1;6;bah;30;0;2012;HBI;A;69"
"326";"957682053768"
"327";"198;50007;1;6;bah;30;0;2012;HBI;A;69"
"328";"957682053768"
"329";"199;50007;1;7;bah;100;0;2012;HBI;A;69"
"330";"957682053768"
"331";"200;50007;1;7;bah;100;0;2012;HBI;A;69"
"332";"957682053768"
"333";"201;50007;1;8;bah;220;1;2012;HBI;A;69"
"334";"957682053768"
"335";"202;50007;1;8;bah;220;1;2012;HBI;A;69"
"336";"957682053768"
"337";"203;50007;3;2;ser;300;1;2012;HBI;A;33"
"338";"1679122689657"
"339";"204;50007;3;2;ser;300;1;2012;HBI;A;33"
"340";"1679122689657"
"341";"205;50007;3;4;as;240;1;2012;HBI;A;33"
"342";"1679122689657"
"343";"206;50007;3;4;as;240;1;2012;HBI;A;33"
"344";"1679122689657"
"345";"207;50007;2;10;as;100;0;2012;HBI;A;28"
"346";"2614163711897"
"347";"208;50007;2;10;as;100;0;2012;HBI;A;28"
"348";"2614163711897"
"349";"209;50007;3;1;as;160;1;2012;HBI;A;33"
"350";"1679122689657"
"351";"210;50007;3;1;as;160;1;2012;HBI;A;33"
"352";"1679122689657"
"353";"211;50007;3;3;vbe;250;1;2012;HBI;A;33"
"354";"1679122689657"
"355";"212;50007;3;3;vbe;250;1;2012;HBI;A;33"
"356";"1679122689657"
"357";"213;50007;1;9;bah;140;1;2012;HBI;A;69"
"358";"957682053768"
"359";"214;50007;1;9;bah;140;1;2012;HBI;A;69"
"360";"957682053768"
"361";"215;50007;1;10;bah;110;0;2012;HBI;A;69"
"362";"957682053768"
"363";"216;50007;1;10;bah;110;0;2012;HBI;A;69"
"364";"957682053768"
"365";"217;50007;2;1;bah;110;0;2012;HBI;A;28"
"366";"2614163711897"
"367";"218;50007;2;1;bah;110;0;2012;HBI;A;28"
"368";"2614163711897"
"369";"219;50007;2;2;bah;50;0;2012;HBI;A;28"
"370";"2614163711897"
"371";"220;50007;2;2;bah;50;0;2012;HBI;A;28"
"372";"2614163711897"
"373";"221;50007;2;3;bah;110;0;2012;HBI;A;28"
"374";"2614163711897"
"375";"222;50007;2;3;bah;110;0;2012;HBI;A;28"
"376";"2614163711897"
"377";"223;50007;2;4;bah;70;0;2012;HBI;A;28"
"378";"2614163711897"
"379";"224;50007;2;4;bah;70;0;2012;HBI;A;28"
"380";"2614163711897"
"381";"225;50007;2;5;bah;60;0;2012;HBI;A;28"
"382";"2614163711897"
"383";"226;50007;2;5;bah;60;0;2012;HBI;A;28"
"384";"2614163711897"
"385";"227;50007;2;6;as;160;1;2012;HBI;A;28"
"386";"2614163711897"
"387";"228;50007;2;6;as;160;1;2012;HBI;A;28"
"388";"2614163711897"
"389";"229;50007;2;7;as;200;1;2012;HBI;A;28"
"390";"2614163711897"
"391";"230;50007;2;7;as;200;1;2012;HBI;A;28"
"392";"2614163711897"
"393";"231;50007;2;8;bah;300;1;2012;HBI;A;28"
"394";"2614163711897"
"395";"232;50007;2;8;bah;300;1;2012;HBI;A;28"
"396";"2614163711897"
"397";"233;50007;2;9;sbi;820;1;2012;HBI;A;28"
"398";"2614163711897"
"399";"234;50007;2;9;sbi;820;1;2012;HBI;A;28"
"400";"2614163711897"
"401";"235;50008;2;1;gfi;250;1;2012;HBI;NA;NA"
"402";"236;50008;3;1;vbe;100;0;2012;HBI;NA;NA"
"403";"237;50008;2;2;gfi;160;1;2012;HBI;NA;NA"
"404";"238;50009;2;3;vbe;60;0;2012;HBI;NA;NA"
"405";"239;50009;2;1;vbe;60;0;2012;HBI;NA;NA"
"406";"240;50009;1;10;gfi;30;0;2012;HBI;NA;NA"
"407";"241;50009;1;9;gfi;20;0;2012;HBI;NA;NA"
"408";"242;50009;1;8;gfi;40;0;2012;HBI;NA;NA"
"409";"243;50009;1;7;gfi;30;0;2012;HBI;NA;NA"
"410";"244;50009;1;6;gfi;20;0;2012;HBI;NA;NA"
"411";"245;50009;1;5;gfi;20;0;2012;HBI;NA;NA"
"412";"246;50009;1;4;gfi;20;0;2012;HBI;NA;NA"
"413";"247;50009;1;3;gfi;20;0;2012;HBI;NA;NA"
"414";"248;50009;1;2;gfi;20;0;2012;HBI;NA;NA"
"415";"249;50009;1;1;gfi;40;0;2012;HBI;NA;NA"
"416";"250;50009;4;10;gfi;20;0;2012;HBI;NA;NA"
"417";"251;50009;4;9;gfi;20;0;2012;HBI;NA;NA"
"418";"252;50009;4;8;gfi;40;0;2012;HBI;NA;NA"
"419";"253;50009;4;7;gfi;40;0;2012;HBI;NA;NA"
"420";"254;50009;4;6;gfi;40;0;2012;HBI;NA;NA"
"421";"255;50009;4;5;gfi;20;0;2012;HBI;NA;NA"
"422";"256;50009;4;4;gfi;30;0;2012;HBI;NA;NA"
"423";"257;50009;4;3;gfi;50;0;2012;HBI;NA;NA"
"424";"258;50009;4;2;gfi;30;0;2012;HBI;NA;NA"
"425";"259;50009;4;1;gfi;50;0;2012;HBI;NA;NA"
"426";"260;50009;3;10;rbu;170;1;2012;HBI;NA;NA"
"427";"261;50009;3;9;mbi;20;0;2012;HBI;NA;NA"
"428";"262;50009;3;8;gfi;40;0;2012;HBI;NA;NA"
"429";"263;50009;3;7;wei;70;0;2012;HBI;NA;NA"
"430";"264;50009;3;6;bah;70;0;2012;HBI;NA;NA"
"431";"265;50009;3;5;ger;110;0;2012;HBI;NA;NA"
"432";"266;50009;3;4;vbe;60;0;2012;HBI;NA;NA"
"433";"267;50009;3;3;vbe;100;0;2012;HBI;NA;NA"
"434";"268;50009;3;2;bah;60;0;2012;HBI;NA;NA"
"435";"269;50009;3;1;vbe;40;0;2012;HBI;NA;NA"
"436";"270;50009;2;4;vbe;80;0;2012;HBI;NA;NA"
"437";"271;50009;2;2;vbe;80;0;2012;HBI;NA;NA"
"438";"272;50010;2;5;sbi;320;1;2012;HBI;NA;14"
"439";"5153774639805"
"440";"273;50010;2;5;sbi;320;1;2012;HBI;NA;14"
"441";"5153774639805"
"442";"274;50010;1;1;tei;70;0;2012;HBI;A;42"
"443";"9887544579541"
"444";"275;50010;1;1;tei;70;0;2012;HBI;A;42"
"445";"9887544579541"
"446";"276;50010;1;2;tei;50;0;2012;HBI;A;42"
"447";"9887544579541"
"448";"277;50010;1;2;tei;50;0;2012;HBI;A;42"
"449";"9887544579541"
"450";"278;50010;1;3;dgl;80;0;2012;HBI;A;42"
"451";"9887544579541"
"452";"279;50010;1;3;dgl;80;0;2012;HBI;A;42"
"453";"9887544579541"
"454";"280;50010;1;4;tei;70;0;2012;HBI;A;42"
"455";"9887544579541"
"456";"281;50010;1;4;tei;70;0;2012;HBI;A;42"
"457";"9887544579541"
"458";"282;50010;1;5;sbi;400;1;2012;HBI;A;42"
"459";"9887544579541"
"460";"283;50010;1;5;sbi;400;1;2012;HBI;A;42"
"461";"9887544579541"
"462";"284;50010;1;6;dgl;80;0;2012;HBI;A;42"
"463";"9887544579541"
"464";"285;50010;1;6;dgl;80;0;2012;HBI;A;42"
"465";"9887544579541"
"466";"286;50010;1;7;tei;90;0;2012;HBI;A;42"
"467";"9887544579541"
"468";"287;50010;1;7;tei;90;0;2012;HBI;A;42"
"469";"9887544579541"
"470";"288;50010;1;8;tei;70;0;2012;HBI;A;42"
"471";"9887544579541"
"472";"289;50010;1;8;tei;70;0;2012;HBI;A;42"
"473";"9887544579541"
"474";"290;50010;1;9;sbi;140;1;2012;HBI;A;42"
"475";"9887544579541"
"476";"291;50010;1;9;sbi;140;1;2012;HBI;A;42"
"477";"9887544579541"
"478";"292;50010;1;10;sbi;110;0;2012;HBI;A;42"
"479";"9887544579541"
"480";"293;50010;1;10;sbi;110;0;2012;HBI;A;42"
"481";"9887544579541"
"482";"294;50010;1;11;gfi;80;0;2012;HBI;A;42"
"483";"9887544579541"
"484";"295;50010;1;11;gfi;80;0;2012;HBI;A;42"
"485";"9887544579541"
"486";"296;50010;1;12;sbi;230;1;2012;HBI;A;42"
"487";"9887544579541"
"488";"297;50010;1;12;sbi;230;1;2012;HBI;A;42"
"489";"9887544579541"
"490";"298;50010;2;1;sbi;180;1;2012;HBI;NA;14"
"491";"5153774639805"
"492";"299;50010;2;1;sbi;180;1;2012;HBI;NA;14"
"493";"5153774639805"
"494";"300;50010;2;2;as;220;1;2012;HBI;NA;14"
"495";"5153774639805"
"496";"301;50010;2;2;as;220;1;2012;HBI;NA;14"
"497";"5153774639805"
"498";"302;50010;2;3;sbi;350;1;2012;HBI;NA;14"
"499";"5153774639805"
"500";"303;50010;2;3;sbi;350;1;2012;HBI;NA;14"
"501";"5153774639805"
"502";"304;50010;2;4;sbi;100;0;2012;HBI;NA;14"
"503";"5153774639805"
"504";"305;50010;2;4;sbi;100;0;2012;HBI;NA;14"
"505";"5153774639805"
"506";"306;50010;2;6;sbi;260;1;2012;HBI;NA;14"
"507";"5153774639805"
"508";"307;50010;2;6;sbi;260;1;2012;HBI;NA;14"
"509";"5153774639805"
"510";"308;50010;2;7;as;120;0;2012;HBI;NA;14"
"511";"5153774639805"
"512";"309;50010;2;7;as;120;0;2012;HBI;NA;14"
"513";"5153774639805"
"514";"310;50010;2;8;sbi;360;1;2012;HBI;NA;14"
"515";"5153774639805"
"516";"311;50010;2;8;sbi;360;1;2012;HBI;NA;14"
"517";"5153774639805"
"518";"312;50010;2;9;as;110;0;2012;HBI;NA;14"
"519";"5153774639805"
"520";"313;50010;2;9;as;110;0;2012;HBI;NA;14"
"521";"5153774639805"
"522";"314;50010;2;10;tei;190;1;2012;HBI;NA;14"
"523";"5153774639805"
"524";"315;50010;2;10;tei;190;1;2012;HBI;NA;14"
"525";"5153774639805"
"526";"316;50010;2;11;tei;60;0;2012;HBI;NA;14"
"527";"5153774639805"
