"plot_ID","tree_ID","old_tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group","DBH_cm","CCS_r_m","dist_m","X_tree","Y_tree","e_ID","e_type","e_form","stand","inter_stat","area_m2","stand_plot_A_ha","plot_A_ha","old_tree_ID","tree_inventory_status"
140039,21,-9,0,815,319,99,1,"gfi",2,1,-9,-9,291,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",29.1,12.62,8.15,-7.78971307060639,2.39642865064328,1,2,1,"A",0,500.115280167522,0.0500115280167522,0.0500343869018386,21,-9
140039,22,-9,0,1444,324,99,1,"gfi",2,1,-9,-9,355,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",35.5,17.84,14.44,-13.4259724562264,5.31571854076674,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,22,-9
140039,23,-9,0,1226,339,99,1,"gfi",2,1,-9,-9,335,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",33.5,17.84,12.26,-10.0305155356308,7.04956439005059,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,23,-9
140039,24,-9,0,1336,374,99,1,"gfi",2,1,-9,-9,418,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",41.8,17.84,13.36,-5.30589581888067,12.261201799138,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,24,-9
140039,25,-9,0,921,365,99,1,"gfi",3,1,-9,-9,234,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",23.4,12.62,9.21,-4.81221178103389,7.85281591370119,1,2,1,"A",0,500.115280167522,0.0500115280167522,0.0500343869018386,25,-9
140039,26,-9,0,823,379,99,1,"gfi",3,1,-9,-9,208,140,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",20.837037037037,12.62,8.23,-2.66584035177077,7.7862825031507,1,2,1,"A",0,500.115280167522,0.0500115280167522,0.0500343869018386,26,-9
140039,27,-9,0,1106,399,99,1,"gfi",3,1,-9,-9,205,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",20.5,12.62,11.06,-0.173722929468738,11.0586355552472,1,2,1,"A",0,500.115280167522,0.0500115280167522,0.0500343869018386,27,-9
140039,28,-9,0,1471,5,99,1,"gfi",2,1,-9,-9,384,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",38.4,17.84,14.71,1.1541332981566,14.6646539792143,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,28,-9
140039,29,-9,0,1772,390,99,1,"gfi",2,1,-9,-9,468,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",46.8,17.84,17.72,-2.77201872051289,17.5018373953458,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,29,-9
140039,30,-9,0,1772,148,99,1,"gfi",2,1,-9,-9,479,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",47.9,17.84,17.72,12.9173240779074,-12.1301747170564,1,2,1,"A",0,999.404070914056,0.0999404070914056,0.0999860870850348,30,-9
140040,1,-9,0,342,93,115,1,"gfi",2,1,321,185,526,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",52.6,17.84,3.42,3.39934646765671,0.375291343931375,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348,1,-9
140040,3,-9,0,1660,101,115,1,"gfi",2,1,-9,-9,501,130,2011,"HBI",207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","26.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies",50.1,17.84,16.6,16.5979520991956,-0.260741467376221,NA,NA,NA,"A",NA,999.860870850348,0.0999860870850348,0.0999860870850348,3,-9
