"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP"
140037,"HBI","all","gfi","fwb",22.8026043606978,11.4013021803489,0.0990317107385107,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","ndl",10.8988289432421,5.44941447162107,0,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","sb",9.37017390274676,4.68508695137338,0.0453516416892943,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","stb",0.423903124321068,0.211951562160534,0.00205169112171397,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","stw",5.1119235151313,2.55596175756565,0.00415088189428662,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","sw",105.35091523557,52.6754576177852,0.0855449431712832,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140037,"HBI","all","gfi","total",177.313494904278,88.6567474521391,0.332821172320523,26.1998299066619,"LT",100,36.1194788739525,9.25637322306163,37.2819017422037,0.109165647836083,24.1228664270102,1.79228007725786,24.1228664270102,NA,NA
140038,"HBI","A","all","ag",62.4863816197131,31.2431908098565,0.0953381402734447,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","bg",10.6793107911352,5.33965539556759,0.0442123466752997,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","fwb",9.17312771921243,4.58656385960622,0.0398388936845396,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
