"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"82";"RG";140040;"BZE3";"total";"wta";0,957409772068198;0,478704886034098;0,00334378725084893;"all";NA;NA
"83";"RG";140040;"BZE3";"ag";"all";1,59872864226709;0,799364321133547;0,0057508842549623;"A";NA;NA
"84";"RG";140040;"BZE3";"bg";"all";0,430818096470992;0,215409048235497;0,00178358681234493;"A";NA;NA
"85";"RG";140040;"BZE3";"fwb";"all";1,13872050097552;0,569360250487762;0,00501414061520975;"A";NA;NA
"86";"RG";140040;"BZE3";"ndl";"all";0,292336380164736;0,146168190082368;0;"A";NA;NA
"87";"RG";140040;"BZE3";"total";"all";1,86187497761126;0,930937488805627;0,00679772742755469;"A";NA;NA
"88";"RG";140040;"BZE3";"ag";"all";1,59872864226709;0,799364321133547;0,0057508842549623;"all";6832,99368743278;4
"89";"RG";140040;"BZE3";"bg";"all";0,430818096470992;0,215409048235497;0,00178358681234493;"all";6832,99368743278;4
"90";"RG";140040;"BZE3";"fwb";"all";1,13872050097552;0,569360250487762;0,00501414061520975;"all";6832,99368743278;4
"91";"RG";140040;"BZE3";"ndl";"all";0,292336380164736;0,146168190082368;0;"all";6832,99368743278;4
"92";"RG";140040;"BZE3";"total";"all";1,86187497761126;0,930937488805627;0,00679772742755469;"all";6832,99368743278;4
"93";"RG";140041;"BZE3";"ag";"gfi";12,7717580084303;6,38587900421517;0,0453204555866967;"all";NA;NA
"94";"RG";140041;"BZE3";"ag";"rbu";0,370880050706633;0,185440025353316;0,00170641818353266;"all";NA;NA
"95";"RG";140041;"BZE3";"ag";"vbe";0,00631727633697907;0,00315863816848953;2,90657884264407e-05;"all";NA;NA
"96";"RG";140041;"BZE3";"bg";"gfi";4,0692220631694;2,0346110315847;0,0168465793415213;"all";NA;NA
"97";"RG";140041;"BZE3";"bg";"rbu";1,32729860996768e-07;6,63649304983842e-08;4,02171478820208e-10;"all";NA;NA
"98";"RG";140041;"BZE3";"fwb";"gfi";9,77721733475691;4,88860866737846;0,0424624548848493;"all";NA;NA
"99";"RG";140041;"BZE3";"fwb";"rbu";0,366370066906276;0,183185033453138;0,00168566867783578;"all";NA;NA
"100";"RG";140041;"BZE3";"ndl";"gfi";2,33647005386053;1,16823502693027;0;"all";NA;NA
"101";"RG";140041;"BZE3";"ndl";"rbu";2,02079667490597e-07;1,01039833745299e-07;0;"all";NA;NA
"102";"RG";140041;"BZE3";"total";"gfi";16,1829094517869;8,09145472589343;0,0593090342263706;"all";NA;NA
"103";"RG";140041;"BZE3";"total";"rbu";0,366370401715806;0,183185200857903;0,00168566908000726;"all";NA;NA
"104";"RG";140041;"BZE3";"ag";"all";13,148955335474;6,57447766773698;0,0470559395586558;"A";NA;NA
"105";"RG";140041;"BZE3";"bg";"all";4,06922219589926;2,03461109794963;0,0168465797436928;"A";NA;NA
"106";"RG";140041;"BZE3";"fwb";"all";10,1435874016632;5,07179370083159;0,044148123562685;"A";NA;NA
"107";"RG";140041;"BZE3";"ndl";"all";2,3364702559402;1,1682351279701;0;"A";NA;NA
"108";"RG";140041;"BZE3";"total";"all";16,5492798535027;8,27463992675133;0,0609947033063779;"A";NA;NA
"109";"RG";140041;"BZE3";"ag";"all";13,148955335474;6,57447766773698;0,0470559395586558;"all";9404,51409108152;3
"110";"RG";140041;"BZE3";"bg";"all";4,06922219589926;2,03461109794963;0,0168465797436928;"all";9404,51409108152;3
"111";"RG";140041;"BZE3";"fwb";"all";10,1435874016632;5,07179370083159;0,044148123562685;"all";9404,51409108152;3
"112";"RG";140041;"BZE3";"ndl";"all";2,3364702559402;1,1682351279701;0;"all";9404,51409108152;3
"113";"RG";140041;"BZE3";"total";"all";16,5492798535027;8,27463992675133;0,0609947033063779;"all";9404,51409108152;3
"114";"RG";140042;"BZE3";"ag";"gfi";10,7407883366683;5,37039416833414;0,0353536377710312;"all";NA;NA
"115";"RG";140042;"BZE3";"ag";"vbe";0,0112235630899459;0,00561178154497295;5,16396137768412e-05;"all";NA;NA
"116";"RG";140042;"BZE3";"bg";"gfi";3,8322514347874;1,9161257173937;0,0158655209400198;"all";NA;NA
"117";"RG";140042;"BZE3";"fwb";"gfi";7,76139678269152;3,88069839134576;0,0337077462272293;"all";NA;NA
"118";"RG";140042;"BZE3";"ndl";"gfi";2,6004158358552;1,3002079179276;0;"all";NA;NA
"119";"RG";140042;"BZE3";"total";"gfi";14,1940640533342;7,09703202666707;0,0495732671672492;"all";NA;NA
"120";"RG";140042;"BZE3";"ag";"all";9,44632722918992;4,72316361459496;0,0310897416782795;"A";NA;NA
"121";"RG";140042;"BZE3";"ag";"all";1,30568467056832;0,652842335284158;0,00431553570652848;"B";NA;NA
"122";"RG";140042;"BZE3";"bg";"all";3,37238126261291;1,68619063130646;0,0139616584272174;"A";NA;NA
"123";"RG";140042;"BZE3";"bg";"all";0,459870172174488;0,229935086087245;0,00190386251280238;"B";NA;NA
"124";"RG";140042;"BZE3";"fwb";"all";6,83002916876854;3,41501458438427;0,0296628166799618;"A";NA;NA
"125";"RG";140042;"BZE3";"fwb";"all";0,931367613922983;0,465683806961491;0,00404492954726751;"B";NA;NA
