"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140038","all","4",NA,"3","ag",1.64318579670033,0.821592898350165,0.0079530192560296,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","4",NA,"4","ag",0.916862148728784,0.458431074364389,0.00443761279984729,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","4",NA,"5","ag",-0.204797807921921,-0.102398903960961,-0.000991221390342095,NA,NA,NA,NA,NA,NA,NA
"DW","140038","all","all",NA,"2","ag",-0.307089971142328,-0.153544985571165,-9.96226776540498e-05,NA,NA,NA,-10.1666666666667,-11.0459131122107,2.06666666666667,0.75469139954672
"DW","140038","all","all",NA,"3","ag",2.4547309379874,1.2273654689937,0.011880897739859,NA,NA,NA,2.2321428571429,12.0258762623663,1.48392857142857,1.41883644794886
"DW","140038","all","all",NA,"4","ag",0.802048354811239,0.401024177405621,0.00388191403728642,NA,NA,NA,5.1717171717171,3.7859026773738,0.366666666666667,0.099088161530211
"DW","140038","all","all",NA,"5","ag",0.163862733919193,0.081931366959596,0.0007930956321689,NA,NA,NA,4.1538461538462,-0.731295347025539,0.963461538461538,1.35710190177399
"DW","140038","all","all",NA,"all","ag",0.0595864486978899,0.0297932243489401,0.0103820486102226,-319.780075078966,-1,0,1.6416666666667,4.3580216969254,1.0675,0.878203666172
"DW","140039","1","1",NA,"3","ag",0.557505318200425,0.278752659100213,0.00269832574009006,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","1",NA,"4","ag",0.237868600892604,0.118934300446302,0.0011512840283202,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","1",NA,"5","ag",0.0033058235236499,0.001652911761825,1.6000185854467e-05,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","1",NA,"all","ag",-0.470558706151531,-0.235279353075765,-0.00227750413777341,NA,NA,NA,NA,NA,NA,NA
