"";"X.2";"X.1";"plot_ID";"tree_ID";"old_tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha";"old_tree_ID";"tree_inventory_status"
"17";24;24;140037;24;2;FALSE;1141;278;64;1;"gfi";2;1;-9;-9;327;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,7;17,84;11,41;11,4045356579961;0,353081329860824;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;24;2
"18";29;29;140037;29;2;FALSE;1713;326;64;1;"gfi";2;1;-9;-9;359;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";35,9877192982456;17,84;17,13;-11,3676621548622;12,8145681602196;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;29;2
"19";35;35;140037;35;2;FALSE;1240;2;64;1;"gfi";2;1;-9;-9;325;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,5877192982456;17,84;12,4;11,2752880926385;-5,16022077318457;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;35;2
"20";38;38;140037;38;2;FALSE;576;9;64;1;"gfi";2;1;-9;-9;322;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,2877192982456;17,84;5,76;2,37380247499252;-5,24811030845574;1;1;1;"A";"0";999,404070914055;0,0999404070914055;0,0999860870850348;38;2
"21";46;46;140038;7;2;FALSE;1672;194;101;1;"gfi";2;1;279;156;520;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";52;17,84;16,72;-11,7438994253692;11,9012279318906;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;7;2
"22";47;47;140038;8;3;FALSE;1352;190;101;1;"gfi";3;1;-9;-9;329;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";32,9;17,84;13,52;13,4902462477617;0,896468724915136;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;8;3
"23";49;49;140038;10;2;FALSE;812;198;101;1;"gfi";2;1;-9;-9;443;170;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";44,4754385964912;17,84;8,12;-0,646178164313982;-8,09424819115178;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;10;2
"24";55;55;140038;16;2;FALSE;567;279;101;1;"gfi";4;1;192;168;184;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";18,4877192982456;12,62;5,67;3,20968940629327;-4,6740554035151;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;16;2
"25";60;60;140038;21;2;FALSE;1639;313;101;1;"gfi";2;1;-9;-9;384;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";38,4;17,84;16,39;-15,021590544387;6,55621213177123;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;21;2
"26";67;67;140038;28;2;FALSE;1346;56;101;1;"gfi";2;1;-9;-9;422;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";42,2877192982456;17,84;13,46;-7,02007648808983;11,484342649946;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;28;2
"27";69;69;140039;1;7;FALSE;266;372;110;1;"gfi";3;1;201;138;229;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";22,9;12,62;2,66;2,5573393909293;0,7318573902075;1;2;1;"A";"0";308,247278227314;0,0308247278227314;0,0500343869018386;1;7
"28";70;69;140039;1;7;FALSE;266;372;110;1;"gfi";3;1;201;138;229;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";22,9;12,62;2,66;2,5573393909293;0,7318573902075;2;3;2;"A";"0";308,247278227314;0,0308247278227314;0,0500343869018386;1;7
"29";71;70;140039;2;7;FALSE;735;10;110;1;"gfi";2;1;271;149;434;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";43,4;17,84;7,35;-3,99855516503687;-6,16717573871192;1;2;1;"A";"0";646,459216863286;0,0646459216863286;0,0999860870850348;2;7
