bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50009,37,4,1,-9,13,2,5
50009,38,1,1,-9,10,12,2
50009,39,1,1,-9,11,12,2
50009,40,4,1,-9,25,1,5
50009,41,4,1,-9,23,1,5
50009,42,1,1,-9,11,16,3
50009,43,1,1,-9,8,12,5
50009,44,1,1,-9,45,1,2
50009,45,4,1,-9,42,2,2
50009,46,1,1,-9,10,6,2
50009,47,1,1,-9,14,28,2
50009,48,4,1,-9,34,3,2
50009,49,4,1,-9,20,2,5
50009,50,4,1,-9,27,2,4
50009,51,1,1,-9,21,25,2
50009,52,1,1,-9,33,10,2
50009,53,1,1,-9,10,12,2
50009,54,4,1,-9,33,2,3
50009,55,1,1,-9,14,74,3
50009,56,1,1,-9,8,57,2
50009,57,4,1,-9,16,1,5
50009,58,1,1,-9,10,15,2
50009,59,4,1,-9,15,1,5
50009,60,4,1,-9,51,3,2
50009,61,1,1,-9,13,18,2
50009,62,1,1,-9,26,15,2
50009,63,1,1,-9,12,10,4
50009,64,4,1,-9,13,2,5
50009,65,4,1,-9,15,2,5
50009,66,1,1,-9,11,10,2
50009,67,1,1,-9,28,14,2
50009,68,1,1,-9,12,6,3
50009,69,1,1,-9,10,7,3
50009,70,1,1,-9,13,7,3
50009,71,1,1,-9,18,10,2
50009,72,1,1,-9,20,10,2
50009,73,4,1,-9,23,2,5
50009,74,4,1,-9,17,2,5
50009,75,1,1,-9,17,15,2
50009,76,1,1,-9,10,12,2
50009,77,1,1,-9,17,17,3
50009,78,1,1,-9,24,9,2
50009,79,1,1,-9,32,26,2
50009,80,1,1,-9,8,12,3
50009,81,1,1,-9,44,2,3
50009,82,1,1,-9,16,10,2
50009,83,1,1,-9,19,12,3
50009,84,4,1,-9,43,4,3
50009,85,1,1,-9,28,25,2
50009,86,4,1,-9,37,3,3
50009,87,1,1,-9,18,15,3
50009,88,1,1,-9,12,25,2
50009,89,1,1,-9,27,3,5
50009,90,1,1,-9,9,12,2
50009,91,1,1,-9,11,14,3
50009,92,4,1,-9,29,2,5
50009,93,1,1,-9,46,1,2
50009,94,4,1,-9,23,2,5
50009,95,1,1,-9,21,10,5
50009,96,1,1,-9,11,36,3
50009,97,4,1,-9,25,2,5
50009,98,4,1,-9,22,2,5
50009,99,1,1,-9,17,1,3
50009,100,1,1,-9,10,15,3
50010,24,4,3,-9,25,2,4
50010,1,4,1,-9,37,3,4
50010,2,4,1,-9,37,3,4
50010,3,4,1,-9,33,3,4
50010,4,4,1,-9,36,2,4
50010,5,4,1,-9,32,2,4
50010,6,4,1,-9,25,3,4
50010,7,4,1,-9,15,2,5
50010,8,1,1,-9,10,35,5
50010,9,1,1,-9,12,18,5
50010,10,4,1,-9,12,2,5
50010,11,4,1,-9,50,2,3
50010,12,4,1,-9,19,2,4
50010,13,1,1,-9,19,12,5
50010,14,4,1,-9,39,3,3
50010,15,4,1,-9,17,2,5
50010,16,1,1,-9,25,8,5
50010,17,1,1,-9,10,20,4
50010,18,4,1,-9,20,5,5
50010,19,1,1,-9,12,10,5
50010,20,4,1,-9,24,2,5
50010,21,4,1,-9,18,2,5
50010,22,1,1,-9,16,20,5
50010,23,4,3,-9,25,1,5
50010,25,1,1,-9,16,10,5
50010,26,4,1,-9,14,2,4
50010,27,4,1,-9,22,1,5
50010,28,4,1,-9,48,1,3
50010,29,4,1,-9,24,3,4
50010,30,1,1,-9,10,20,5
50010,31,4,1,-9,46,2,4
50010,32,4,1,-9,34,2,4
50010,33,4,1,-9,43,4,3
50010,34,4,1,-9,32,2,4
50010,35,4,1,-9,18,3,3
50010,36,4,1,-9,32,2,5
50010,37,4,1,-9,31,2,4
50010,38,4,1,-9,22,2,4
50010,39,4,1,-9,24,2,4
50010,40,4,1,-9,24,1,4
50010,41,4,1,-9,40,1,4
50010,42,4,1,-9,15,2,5
50010,43,4,1,-9,45,2,4
50010,44,4,1,-9,22,2,5
50010,45,4,1,-9,11,1,5
50011,1,1,2,-9,13,7,5
50011,2,4,3,-9,14,2,4
50011,3,1,3,-9,15,3,4
50011,4,2,3,-9,13,53,2
50011,5,4,3,-9,27,3,4
50011,6,1,2,-9,18,18,5
