bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
120025,z,80.0,0.0,0.0,62.0,60.0,-9.0,-9.0
120026,z,55.0,70.0,21.0,3.0,0.0,-9.0,-9.0
120027,z,75.0,0.0,8.0,95.0,40.0,-9.0,-9.0
120027,z,45.0,0.0,3.0,75.0,80.0,-9.0,-9.0
120028,z,90.0,0.0,0.0,7.0,60.0,-9.0,-9.0
120029,z,80.0,0.0,1.0,82.0,90.0,-9.0,-9.0
120030,z,80.0,0.0,0.0,55.0,65.0,-9.0,-9.0
120031,z,90.0,0.0,0.0,98.0,10.0,-9.0,-9.0
120031,z,50.0,3.0,0.5,65.0,80.0,-9.0,-9.0
120032,z,45.0,0.0,3.0,90.0,14.0,-9.0,-9.0
120033,z,75.0,0.0,0.0,0.0,70.0,-9.0,-9.0
120034,z,95.0,0.0,0.0,0.5,20.0,-9.0,-9.0
120035,z,80.0,0.0,0.0,6.0,80.0,-9.0,-9.0
120036,z,80.0,0.0,0.0,0.0,25.0,-9.0,-9.0
120036,z,35.0,0.0,0.0,0.5,60.0,-9.0,-9.0
120037,z,70.0,0.0,0.0,2.0,70.0,-9.0,-9.0
120038,z,80.0,0.0,1.0,100.0,30.0,-9.0,-9.0
120038,z,60.0,5.0,0.5,85.0,85.0,-9.0,-9.0
120039,z,95.0,0.0,0.0,10.0,35.0,-9.0,-9.0
120040,z,100.0,0.0,0.0,18.0,45.0,-9.0,-9.0
120041,z,70.0,0.0,0.0,63.0,72.0,-9.0,-9.0
120041,z,60.0,2.0,0.0,40.0,70.0,-9.0,-9.0
120042,z,75.0,0.0,0.0,18.0,40.0,-9.0,-9.0
120043,z,95.0,0.0,0.0,90.0,12.0,-9.0,-9.0
120044,z,95.0,0.0,0.0,2.0,85.0,-9.0,-9.0
120045,z,65.0,0.0,0.0,3.0,70.0,-9.0,-9.0
120045,z,55.0,0.0,0.0,15.0,75.0,-9.0,-9.0
120046,z,90.0,0.0,0.0,40.0,85.0,-9.0,-9.0
120046,z,60.0,2.0,0.0,20.0,85.0,-9.0,-9.0
120047,z,60.0,45.0,10.0,65.0,3.0,-9.0,-9.0
120048,z,70.0,0.0,2.0,100.0,30.0,-9.0,-9.0
120049,z,75.0,10.0,35.0,45.0,0.0,-9.0,-9.0
120050,z,80.0,20.0,4.0,10.0,30.0,-9.0,-9.0
120051,z,100.0,0.0,2.0,13.0,10.0,-9.0,-9.0
120052,z,85.0,25.0,40.0,40.0,1.0,-9.0,-9.0
120053,z,95.0,0.0,0.0,0.0,0.0,-9.0,-9.0
120054,z,95.0,0.0,0.0,95.0,75.0,-9.0,-9.0
120055,z,95.0,0.0,1.0,44.0,15.0,-9.0,-9.0
120056,z,100.0,0.0,0.0,2.0,5.0,-9.0,-9.0
120057,z,90.0,0.0,0.0,100.0,95.0,-9.0,-9.0
120058,z,75.0,0.0,65.0,40.0,6.0,-9.0,-9.0
120059,z,65.0,0.0,90.0,73.0,60.0,-9.0,-9.0
120060,z,90.0,0.0,2.0,5.0,3.0,-9.0,-9.0
120061,z,70.0,0.0,0.0,100.0,15.0,-9.0,-9.0
120062,z,80.0,0.0,23.0,100.0,20.0,-9.0,-9.0
120063,z,60.0,50.0,0.0,2.0,12.0,-9.0,-9.0
120065,z,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
120066,z,70.0,0.0,0.0,100.0,90.0,-9.0,-9.0
120067,z,75.0,0.0,0.0,100.0,8.0,-9.0,-9.0
120068,z,80.0,0.0,0.0,70.0,60.0,-9.0,-9.0
120069,z,95.0,0.0,0.0,55.0,70.0,-9.0,-9.0
120070,z,80.0,0.0,0.0,90.0,58.0,-9.0,-9.0
120071,z,50.0,25.0,7.0,28.0,8.0,-9.0,-9.0
120072,z,80.0,80.0,10.0,80.0,0.0,-9.0,-9.0
120073,z,90.0,0.0,0.0,95.0,85.0,-9.0,-9.0
120074,z,90.0,0.0,11.0,74.0,35.0,-9.0,-9.0
120075,z,90.0,0.0,0.0,7.0,30.0,-9.0,-9.0
120076,z,70.0,0.0,0.0,100.0,90.0,-9.0,-9.0
120077,z,35.0,40.0,5.0,94.0,40.0,-9.0,-9.0
120078,z,65.0,0.0,4.0,85.0,18.0,-9.0,-9.0
120079,z,90.0,0.0,4.0,3.0,40.0,-9.0,-9.0
120080,z,80.0,0.0,4.0,100.0,0.0,-9.0,-9.0
120081,z,80.0,0.0,6.0,90.0,85.0,-9.0,-9.0
120083,z,75.0,30.0,20.0,90.0,7.0,-9.0,-9.0
120084,z,85.0,31.0,0.0,50.0,2.0,-9.0,-9.0
120085,z,80.0,0.0,5.0,100.0,1.0,-9.0,-9.0
120086,z,75.0,40.0,44.0,40.0,35.0,-9.0,-9.0
120087,z,100.0,0.0,0.0,16.0,0.0,-9.0,-9.0
120088,z,75.0,0.0,60.0,60.0,50.0,-9.0,-9.0
120089,z,80.0,0.0,0.0,100.0,15.0,-9.0,-9.0
120090,z,70.0,0.0,20.0,100.0,75.0,-9.0,-9.0
120091,z,75.0,90.0,20.0,35.0,0.0,-9.0,-9.0
120092,z,65.0,0.0,0.0,100.0,7.0,-9.0,-9.0
120093,z,80.0,0.0,5.0,93.0,65.0,-9.0,-9.0
120094,z,90.0,60.0,60.0,85.0,0.0,-9.0,-9.0
120095,z,90.0,0.0,0.0,40.0,80.0,-9.0,-9.0
120096,z,90.0,0.0,0.0,5.0,65.0,-9.0,-9.0
120097,z,95.0,0.0,49.0,48.0,2.0,-9.0,-9.0
120098,z,95.0,0.0,15.0,100.0,1.0,-9.0,-9.0
120099,z,45.0,0.0,10.0,100.0,0.0,-9.0,-9.0
120100,z,70.0,0.0,1.0,95.0,60.0,-9.0,-9.0
120101,z,60.0,10.0,50.0,100.0,55.0,-9.0,-9.0
120102,z,90.0,9.0,0.0,25.0,90.0,-9.0,-9.0
120103,z,70.0,0.0,0.0,85.0,75.0,-9.0,-9.0
120104,z,90.0,0.0,0.0,65.0,1.0,-9.0,-9.0
120105,z,100.0,0.0,0.0,60.0,65.0,-9.0,-9.0
120106,z,60.0,40.0,8.0,45.0,0.0,-9.0,-9.0
120107,z,85.0,0.0,0.0,25.0,85.0,-9.0,-9.0
120108,z,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
120109,z,85.0,0.0,20.0,100.0,19.0,-9.0,-9.0
120110,z,80.0,0.0,3.0,100.0,50.0,-9.0,-9.0
120111,z,75.0,0.0,0.0,100.0,45.0,-9.0,-9.0
120112,z,60.0,0.0,20.0,28.0,32.0,-9.0,-9.0
120113,z,75.0,0.0,0.0,100.0,25.0,-9.0,-9.0
120114,z,60.0,0.0,0.0,100.0,60.0,-9.0,-9.0
120115,z,95.0,0.0,0.0,0.8,45.0,-9.0,-9.0
120116,z,80.0,0.0,0.0,4.0,65.0,-9.0,-9.0
120117,z,95.0,0.0,0.0,0.3,10.0,-9.0,-9.0
120118,z,75.0,0.0,0.0,25.0,70.0,-9.0,-9.0
120119,z,50.0,30.0,15.0,80.0,5.0,-9.0,-9.0
120120,z,70.0,5.0,0.0,85.0,95.0,-9.0,-9.0
120122,z,75.0,0.0,0.5,25.0,35.0,-9.0,-9.0
120123,z,60.0,0.0,5.0,30.0,80.0,-9.0,-9.0
120124,z,70.0,0.0,0.0,80.0,30.0,-9.0,-9.0
120125,z,90.0,0.0,0.0,0.0,17.0,-9.0,-9.0
120127,z,90.0,0.0,0.0,5.0,65.0,-9.0,-9.0
120128,z,85.0,0.0,0.0,55.0,80.0,-9.0,-9.0
120129,z,95.0,0.0,0.0,55.0,25.0,-9.0,-9.0
120130,z,75.0,0.0,0.0,95.0,90.0,-9.0,-9.0
120131,z,95.0,0.0,6.0,2.0,30.0,-9.0,-9.0
120132,z,80.0,0.0,1.0,90.0,0.0,-9.0,-9.0
120133,z,85.0,0.0,0.0,65.0,40.0,-9.0,-9.0
120134,z,85.0,0.0,0.0,90.0,75.0,-9.0,-9.0
120135,z,100.0,0.0,0.0,70.0,50.0,-9.0,-9.0
120136,z,80.0,0.0,0.0,100.0,0.0,-9.0,-9.0
120137,z,85.0,0.0,0.0,8.0,80.0,-9.0,-9.0
120138,z,95.0,0.0,0.0,3.0,30.0,-9.0,-9.0
120139,z,90.0,0.0,0.0,75.0,64.0,-9.0,-9.0
120140,z,70.0,95.0,0.0,45.0,90.0,-9.0,-9.0
120141,z,80.0,0.0,0.0,35.0,50.0,-9.0,-9.0
120142,z,85.0,0.0,0.0,100.0,0.5,-9.0,-9.0
120143,z,90.0,0.0,0.0,0.0,15.0,-9.0,-9.0
120144,z,80.0,18.0,0.0,90.0,30.0,-9.0,-9.0
120144,z,65.0,3.0,10.0,65.0,80.0,-9.0,-9.0
120145,z,89.0,0.0,2.0,80.0,25.0,-9.0,-9.0
120146,z,95.0,0.0,0.0,1.0,20.0,-9.0,-9.0
120147,z,85.0,0.0,0.0,100.0,66.0,-9.0,-9.0
120148,z,95.0,0.0,0.0,100.0,60.0,-9.0,-9.0
120149,z,8.0,90.0,0.0,100.0,40.0,-9.0,-9.0
120150,z,80.0,0.0,90.0,50.0,70.0,-9.0,-9.0
120151,z,80.0,0.0,0.0,85.0,100.0,-9.0,-9.0
120153,z,100.0,0.0,1.0,2.0,85.0,-9.0,-9.0
120154,z,65.0,0.0,12.0,100.0,0.0,-9.0,-9.0
120155,z,95.0,0.0,45.0,90.0,79.0,-9.0,-9.0
120156,z,75.0,0.0,4.0,100.0,65.0,-9.0,-9.0
120157,z,95.0,0.0,0.0,25.0,45.0,-9.0,-9.0
120159,z,80.0,0.0,5.0,50.0,1.0,-9.0,-9.0
120160,z,70.0,0.0,0.0,45.0,80.0,-9.0,-9.0
120161,z,75.0,0.0,0.0,100.0,90.0,-9.0,-9.0
120161,z,25.0,0.0,0.5,75.0,65.0,-9.0,-9.0
120163,z,70.0,0.0,0.0,80.0,95.0,-9.0,-9.0
120164,z,100.0,0.0,0.0,9.0,0.0,-9.0,-9.0
120165,z,100.0,0.0,0.0,55.0,85.0,-9.0,-9.0
120167,z,70.0,90.0,27.0,18.0,5.0,-9.0,-9.0
120168,z,80.0,4.0,2.0,80.0,2.0,-9.0,-9.0
120168,z,70.0,25.0,8.0,95.0,0.5,-9.0,-9.0
120169,z,85.0,0.0,0.0,90.0,23.0,-9.0,-9.0
120170,z,90.0,0.0,0.0,70.0,72.0,-9.0,-9.0
120181,z,70.0,0.0,5.0,85.0,95.0,-9.0,-9.0
120182,z,80.0,0.0,50.0,50.0,90.0,-9.0,-9.0
120183,z,70.0,0.0,0.0,95.0,68.0,-9.0,-9.0
120184,z,85.0,0.0,11.0,85.0,70.0,-9.0,-9.0
120185,z,75.0,0.0,1.0,65.0,1.0,-9.0,-9.0
120186,z,70.0,0.0,22.0,51.0,95.0,-9.0,-9.0
120187,z,95.0,0.0,0.0,8.0,1.0,-9.0,-9.0
120188,z,80.0,0.0,0.0,65.0,2.0,-9.0,-9.0
