bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
120077,Hoelzer;Damman,2006-06-01,vbn,-2,-9,-9,mom,-2
120078,Hoelzer;Damman,2006-05-30,vn,-2,-9,-9,moa,-2
120079,Hoelzer;Damman,2006-05-17,vn,vn,-9,-9,roa,roa
120080,Hoelzer;Hoevelmann;Eglin,2006-08-24,-9,-9,-9,-9,-9,-9
120081,Hoelzer;Hoevelmann;Bielefeldt,2006-06-08,vn,vbn,-9,-9,gmo,-2
120082,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120083,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,vbn,-2,-9,-9,mra,mut
120084,Hoelzer;Hoevelmann;Bielefeldt,2006-06-27,vbn,vb,-9,-9,mom,-2
120085,Hoelzer;Hoevelmann;Bielefeldt,2006-06-13,vb,-2,-9,-9,muo,mom
120086,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,vbn,-2,-9,-9,moa,gmo
120087,Hoelzer;Hoevelmann;Bielefeldt,2006-06-26,vb,-2,-9,-9,muo,mom
120088,Hoelzer;Hoevelmann;Bielefeldt,2006-06-26,vbn,-2,-9,-9,gmo,moa
120089,Hoelzer;Hoevelmann;Bielefeldt,2006-07-12,vn,-2,-9,-9,gmo,-2
120090,Hoelzer;Hoevelmann;Bielefeldt,2006-07-05,vn,vbn,-9,-9,gmo,mra
120091,Hoelzer;Hoevelmann;Bielefeldt,2006-07-03,vbn,-2,-9,-9,moa,mom
120092,Hoelzer;Hoevelmann;Bielefeldt,2006-07-10,vn,-2,-9,-9,gmo,roa
120093,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,vbn,vn,-9,-9,gmo,moa
120094,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,vb,-2,-9,-9,muo,mom
120095,Hoelzer;Hoevelmann;Bielefeldt,2006-10-30,vgn,vn,-9,-9,roa,gmo
120096,Hoelzer;Hoevelmann;Bielefeldt,2006-11-17,vn,vgn,-9,-9,roa,-2
120097,Hoelzer;Hoevelmann;Bielefeldt,2006-07-11,vb,-2,-9,-9,mut,muo
120098,Hoelzer;Hoevelmann;Bielefeldt,2006-07-10,vb,-2,-9,-9,muo,-2
120099,Hoelzer;Hoevelmann;Bielefeldt,2006-06-29,vb,vbn,-9,-9,mut,muo
120100,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,vn,-2,-9,-9,mra,roa
120101,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,vbn,vn,-9,-9,gmo,-2
120102,Hoelzer;Hoevelmann;Bielefeldt,2006-07-25,vn,-2,-9,-9,roa,gmo
120103,Hoelzer;Hoevelmann;Bielefeldt,2006-07-11,vbn,vn,-9,-9,gmo,roa
120104,Hoelzer;Hoevelmann;Bielefeldt,2006-07-19,vb,-2,-9,-9,mom,moa
120105,Hoelzer;Hoevelmann;Bielefeldt,2006-07-13,vn,vbn,-9,-9,gmo,moa
120106,Hoelzer;Hoevelmann;Bielefeldt,2006-07-04,vbn,-2,-9,-9,mra,gmo
120107,Hoelzer;Hoevelmann;Bielefeldt,2006-07-17,vn,-2,-9,-9,mra,moa
120108,Hoelzer;Hoevelmann;Bielefeldt,2006-06-29,-2,-2,-9,-9,-2,-2
120109,Hoelzer;Hoevelmann;Bielefeldt,2006-07-05,vn,-2,-9,-9,gmo,-2
120110,Hoelzer;Hoevelmann;Bielefeldt,2006-07-06,vn,vbn,-9,-9,gmo,moa
120111,Hoelzer;Hoevelmann;Bielefeldt,2006-07-06,vn,-2,-9,-9,gmo,moa
120112,Hoelzer;Hoevelmann;Bielefeldt,2006-09-04,vn,vbn,-9,-9,roa,gmo
120113,Hoelzer;Hoevelmann;Bielefeldt,2006-07-19,vn,-2,-9,-9,gmo,-2
120114,Hoelzer;Hoevelmann;Bielefeldt,2006-07-13,vn,-2,-9,-9,gmo,-2
120115,Hoelzer;Hoevelmann;Bielefeldt,2006-06-28,vn,-2,-9,-9,moa,ror
120116,Hoelzer;Hoevelmann;Bielefeldt,2006-07-24,vn,-2,-9,-9,roa,-2
120117,Hoelzer;Hoevelmann;Bielefeldt,2006-07-26,vn,-2,-9,-9,roa,-2
120118,Hoelzer;Hoevelmann;Eglin,2006-08-31,vn,-2,-9,-9,roa,gmo
120119,Hoelzer;Hoevelmann;Eglin,2006-08-31,vb,-2,-9,-9,muo,-2
120120,Hoelzer;Hoevelmann;Bielefeldt,2006-10-04,vgn,vgbn,-9,-9,gmo,-2
120121,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120122,Hoelzer;Hoevelmann;Eglin,2006-08-29,vbn,vn,-9,-9,moa,gmo
120123,Hoelzer;Hoevelmann;Eglin,2006-08-29,vn,vbn,-9,-9,roa,gmo
120124,Hoelzer;Hoevelmann;Bielefeldt,2006-07-24,vn,vbn,-9,-9,gmo,moa
120125,Hoelzer;Hoevelmann;Bielefeldt,2006-07-26,vn,-2,-9,-9,roa,-2
120126,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120127,Hoelzer;Hoevelmann;Bielefeldt,2006-09-04,vn,-2,-9,-9,moa,roa
120128,Hoelzer;Hoevelmann;Bielefeldt,2006-07-20,vn,-2,-9,-9,gmo,-2
120129,Hoelzer;Hoevelmann;Bielefeldt,2006-07-20,vn,-2,-9,-9,roa,moa
120130,Hoelzer;Hoevelmann;Bielefeldt,2006-10-04,vgn,vn,-9,-9,gmo,roa
120131,Hoelzer;Hoevelmann;Eglin,2006-08-28,vbn,vn,-9,-9,moa,-2
120132,Hoelzer;Hoevelmann;Eglin,2006-08-28,-9,-9,-9,-9,-9,-9
120133,Hoelzer;Hoevelmann;Bielefeldt,2006-09-06,vgn,-2,-9,-9,gmo,-2
120134,Hoelzer;Hoevelmann;Bielefeldt,2006-07-06,vn,-2,-9,-9,gmo,moa
