bund_nr,ld_standort_methode,ld_standort,ld_wh_stufe,ld_n_stufe,vornachnutz,egart,vorbesttyp,histnutz,anzkalk,kulissekalk
50057,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Lyditkieselschieferlehm,mäßig frisch,2,50,4,91,0,0,-9
50058,sto03,Bacherlen-Eschenwald auf feuchtem Niederungslehm,feucht,5,50,4,91,9,99,-9
50059,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,0,0,-9
50060,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,92,9,1,-9
50061,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,4,92,0,0,-9
50062,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,4,92,0,1,-9
50063,sto03,Flattergras-Buchen Wald auf staufrischem Feinlehm,staufrisch,3,50,3,91,0,0,-9
50064,sto03,"Hainsimsen-Buchen Wald auf frischem Sandschluff, Schattenhanghang",frisch,1,50,4,91,5,0,-9
50065,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,3,92,5,1,-9
50066,sto03,Hainsimsen-Buchen Wald auf frischem Feinlehm,frisch,2,50,4,92,0,1,-9
50067,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,5,1,-9
50068,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,5,0,-9
50069,sto03,Eichen-Hainbuchenwald auf feuchtem Niederungssand,feucht,3,50,3,99,7,99,-9
50070,sto03,"Hainsimsen-Buchen Wald auf frischem Hanglehm, Schattenhanghang",frisch,2,50,4,91,0,99,-9
50071,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,5,1,-9
50072,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,3,99,0,2,-9
50073,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,92,0,99,-9
50074,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,0,-9
50075,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,99,9,0,-9
50076,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,99,7,0,-9
50077,sto03,Eichen-Hainbuchenwald auf mäßig wechselfeuchtem Kreideton,mäßig wechselfeucht,5,50,4,91,0,99,-9
50078,sto03,Birken-Eichenwald auf grundfrischem Podsolsand,grundfrisch,1,50,2,99,0,99,-9
50079,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,92,0,2,-9
50080,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,99,0,2,-9
50081,sto03,Hainsimsen-Buchen Wald auf sehr frischem Schiedergebirgslehm,sehr frisch,2,50,4,92,0,99,-9
50082,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,6,1,-9
50083,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,1,-9
50084,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,1,-9
50085,sto03,"Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm, Schattenhang",mäßig frisch,2,50,4,91,0,1,-9
50086,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,4,91,0,2,-9
50087,sto03,Eichen-Hainbuchenwald auf mäßig wechselfeuchtem Kreideton,mäßig wechselfeucht,5,50,4,99,0,99,-9
50088,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,5,99,-9
50089,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,0,99,-9
50090,sto03,Hainsimsen-Buchen Wald auf mäßig  frischem Schiedergebirgslehm,mäßig frisch,2,50,4,99,0,1,-9
50091,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,99,0,1,-9
50092,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,0,0,-9
50093,sto03,"Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm, Schattenhang",mäßig frisch,2,50,4,91,0,1,-9
50094,sto03,Hainsimsen-Buchen Wald auf staufrischem Schiedergebirgslehm,staufrisch,2,50,4,91,0,1,-9
50095,sto03,"Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm, Schattenhang",frisch,2,50,4,91,0,0,-9
50096,sto03,"Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,",mäßig frisch,2,50,4,91,6,99,-9
50097,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,2,91,0,1,-9
50098,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,99,7,1,-9
50099,sto03,Hainsimsen-Buchen Wald auf mäßig frischem Schiedergebirgslehm,mäßig frisch,2,50,4,91,0,0,-9
50100,sto03,Hainsimsen-Buchen Wald auf frischem Schiedergebirgslehm,frisch,2,50,3,92,0,0,-9
