bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,anmerkung
50034,Tilo Schindler; Karin Morgenstern,2011-10-02,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50035,KT,2011-11-08,-9,,,,,,,,,,,,,,,,,1,2,2,5,6,1,1,1,1,
50036,Tilo Schindler; Karin Morgenstern,2011-10-03,-9,3,1,4498,28,3794,343,-2,-2,,,,,,,,,1,2,2,6,6,1,1,1,1,
50037,Tilo Schindler; Karin Morgenstern,2011-10-02,-9,,,,,,,,,,,,,,,,,1,5,2,3,4,1,1,1,1,
50038,Tilo Schindler; Karin Morgenstern,2011-10-01,-9,,,,,,,,,,,,,,,,,1,4,2,2,5,2,1,1,1,
50039,Tilo Schindler; Karin Morgenstern,2011-10-01,-9,1,1,2922,298,3089,355,-2,-2,1,1,2362,82,2088,166,-2,-2,1,8,2,2,6,2,1,1,1,
50040,Tilo Schindler; Karin Morgenstern,2011-08-24,-9,,,,,,,,,,,,,,,,,1,4,2,2,5,2,1,1,1,
50041,Tilo Schindler; Karin Morgenstern,2012-03-14,-9,3,1,2814,350,2696,21,-2,-2,,,,,,,,,1,3,1,6,-2,2,1,1,1,
50042,Tilo Schindler; Karin Morgenstern,2011-10-02,-9,2,1,2664,7,2648,128,-2,-2,3,2,2007,211,2981,329,893,281,1,1,2,6,6,1,1,1,1,
50043,Tilo Schindler; Karin Morgenstern,2011-10-01,-9,,,,,,,,,,,,,,,,,1,6,1,1,-2,2,1,1,1,
50044,Tilo Schindler; Karin Morgenstern,2011-10-04,-9,,,,,,,,,,,,,,,,,1,3,1,6,-2,2,1,1,2,
50045,Tilo Schindler; Karin Morgenstern,2011-08-24,-9,3,1,1958,28,1994,307,-2,-2,,,,,,,,,1,6,2,3,2,3,1,1,1,
50046,Tilo Schindler; Karin Morgenstern,2012-03-04,-9,,,,,,,,,,,,,,,,,1,4,1,3,-2,2,1,1,1,
50047,Tilo Schindler; Karin Morgenstern,2012-02-22,-9,3,1,1828,375,1302,77,-2,-2,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50048,Tilo Schindler; Karin Morgenstern,2012-03-03,-9,3,1,1498,94,1581,330,-2,-2,,,,,,,,,1,6,1,6,-2,2,1,1,1,
50049,Tilo Schindler; Karin Morgenstern,2012-03-02,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50050,Tilo Schindler; Karin Morgenstern,2012-03-01,-9,3,1,1601,312,2106,0,-2,-2,,,,,,,,,1,1,1,6,-2,2,1,1,2,
50051,Tilo Schindler; Karin Morgenstern,2011-08-23,-9,,,,,,,,,,,,,,,,,1,4,2,3,1,1,1,1,1,
50052,Tilo Schindler; Karin Morgenstern,2012-03-04,-9,3,2,2075,241,2095,186,1284,188,,,,,,,,,1,5,2,3,6,2,1,1,1,
50053,Tilo Schindler; Karin Morgenstern,2012-03-02,-9,3,1,1608,31,2136,311,-2,-2,,,,,,,,,1,5,1,5,-2,2,1,2,1,
50054,Tilo Schindler; Karin Morgenstern,2012-03-01,-9,,,,,,,,,,,,,,,,,1,4,2,6,1,2,2,1,1,
50055,Tilo Schindler; Karin Morgenstern,2012-02-29,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50056,Tilo Schindler; Karin Morgenstern,2012-02-28,-9,3,1,1918,52,2012,383,-2,-2,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50057,Tilo Schindler; Karin Morgenstern,2012-02-28,-9,1,2,1432,391,2015,308,1175,327,1,1,2664,235,2538,149,-2,-2,1,5,1,2,-2,2,1,1,1,
50058,Tilo Schindler; Karin Morgenstern,2011-08-24,-9,3,1,2352,120,2277,159,-2,-2,,,,,,,,,1,8,2,5,5,1,2,1,1,
50059,Tilo Schindler; Karin Morgenstern,2012-03-03,-9,1,1,2568,232,2864,298,-2,-2,3,1,2980,335,2550,10,-2,-2,1,5,1,2,-2,2,1,1,1,
50060,Tilo Schindler; Karin Morgenstern,2012-03-02,-9,3,1,1800,64,1889,356,-2,-2,,,,,,,,,1,4,1,1,-2,3,1,1,1,
50061,Tilo Schindler; Karin Morgenstern,2012-02-29,-9,3,1,2419,393,1933,311,-2,-2,,,,,,,,,1,1,1,1,-2,1,1,1,1,
50062,Tilo Schindler; Karin Morgenstern,2012-02-29,-9,3,2,3651,366,2812,35,2384,31,,,,,,,,,1,5,1,1,-2,2,1,1,1,
50063,Tilo Schindler; Karin Morgenstern,2011-09-29,-9,3,1,2481,396,2210,290,-2,-2,3,1,2412,195,2497,101,-2,-2,1,8,1,2,-2,1,1,1,1,
50064,Tilo Schindler; Karin Morgenstern,2011-09-10,-9,1,1,2011,92,1372,372,-2,-2,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50065,Tilo Schindler; Karin Morgenstern,2012-03-02,-9,3,1,1591,4,1954,292,-2,-2,,,,,,,,,1,8,2,6,1,2,1,1,2,
50066,Tilo Schindler; Karin Morgenstern,2012-02-22,-9,,,,,,,,,,,,,,,,,1,1,1,5,-2,2,2,2,2,
50067,Tilo Schindler; Karin Morgenstern,2011-11-22,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50068,Tilo Schindler; Karin Morgenstern,2012-03-01,-9,3,2,2122,112,1828,387,1523,78,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50069,Tilo Schindler; Karin Morgenstern,2011-09-10,-9,2,1,2699,300,3007,235,-2,-2,3,1,3096,71,2845,129,-2,-2,1,8,1,1,-2,2,1,1,1,
50070,Tilo Schindler; Karin Morgenstern,2011-09-11,-9,3,1,1921,317,2319,182,-2,-2,,,,,,,,,1,1,1,6,-2,2,1,1,1,
50071,Tilo Schindler; Karin Morgenstern,2012-03-04,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,2,2,2,2,
50072,Tilo Schindler; Karin Morgenstern,2012-03-03,-9,2,1,557,6,1957,302,-2,-2,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50073,KT,2012-03-08,-9,1,2,2950,352,3085,32,2167,398,,,,,,,,,1,1,1,2,-2,2,1,1,1,
50074,Tilo Schindler; Karin Morgenstern,2011-11-22,-9,,,,,,,,,,,,,,,,,1,1,1,1,-2,2,1,1,1,
50075,Tilo Schindler; Karin Morgenstern,2011-11-24,-9,3,2,3050,358,3370,17,2366,12,3,1,2725,262,3070,218,-2,-2,1,6,1,6,-2,2,2,1,2,
50076,Tilo Schindler; Karin Morgenstern,2011-11-25,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50077,Tilo Schindler; Karin Morgenstern,2011-09-09,-9,,,,,,,,,,,,,,,,,1,5,2,3,5,2,1,1,1,
50078,Tilo Schindler; Karin Morgenstern,2011-09-01,-9,,,,,,,,,,,,,,,,,1,3,1,2,-2,2,1,1,1,
50079,Tilo Schindler; Karin Morgenstern,2012-03-04,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50080,Tilo Schindler; Karin Morgenstern,2012-03-05,-9,1,2,3051,328,2736,382,2321,362,3,2,2107,305,1245,213,271,275,1,1,1,6,-2,2,1,1,1,
50081,Tilo Schindler; Karin Morgenstern,2012-03-20,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50082,Tilo Schindler; Karin Morgenstern,2011-11-23,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50083,Tilo Schindler; Karin Morgenstern,2011-11-24,-9,3,1,2608,217,2269,128,-2,-2,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50084,Tilo Schindler; Karin Morgenstern,2011-11-25,-9,,,,,,,,,,,,,,,,,1,1,1,3,-2,2,2,2,2,
50085,Tilo Schindler; Karin Morgenstern,2011-11-25,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50086,Tilo Schindler; Karin Morgenstern,2011-11-03,-9,3,1,2575,320,2250,22,-2,-2,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50087,Tilo Schindler; Karin Morgenstern,2011-09-09,-9,,,,,,,,,,,,,,,,,1,5,5,3,2,1,1,1,1,
50088,Tilo Schindler; Karin Morgenstern,2012-03-05,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,5,1,1,1,
50089,Tilo Schindler; Karin Morgenstern,2012-03-20,-9,,,,,,,,,,,,,,,,,1,4,3,5,1,2,1,1,1,
50090,Tilo Schindler; Karin Morgenstern,2011-11-23,-9,3,1,3277,169,2684,100,-2,-2,,,,,,,,,1,1,4,6,4,1,1,1,1,
50091,Tilo Schindler; Karin Morgenstern,2011-11-24,-9,,,,,,,,,,,,,,,,,1,1,1,3,-2,1,1,1,1,
50092,Tilo Schindler; Karin Morgenstern,2011-11-04,-9,3,1,2035,258,2123,74,-2,-2,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50093,Tilo Schindler; Karin Morgenstern,2011-11-03,-9,,,,,,,,,,,,,,,,,1,4,3,5,1,1,2,2,1,
50094,Tilo Schindler; Karin Morgenstern,2011-11-03,-9,3,2,2913,175,2759,326,4249,232,,,,,,,,,1,1,1,1,-2,1,1,1,1,
50095,Tilo Schindler; Karin Morgenstern,2012-04-16,-9,,,,,,,,,,,,,,,,,1,4,1,6,-2,2,1,1,1,
50096,Tilo Schindler; Karin Morgenstern,2012-03-20,-9,,,,,,,,,,,,,,,,,1,3,1,1,-2,2,1,1,1,
50097,Tilo Schindler; Karin Morgenstern,2012-04-17,-9,,,,,,,,,,,,,,,,,1,6,2,6,1,5,1,1,1,
50098,Tilo Schindler; Karin Morgenstern,2012-04-17,-9,,,,,,,,,,,,,,,,,1,1,1,1,-2,2,1,1,2,
50099,Tilo Schindler; Karin Morgenstern,2011-11-04,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50100,Tilo Schindler; Karin Morgenstern,2011-11-02,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,2,1,1,1,
50101,Tilo Schindler; Karin Morgenstern,2011-11-02,-9,3,2,2524,221,2651,321,0,0,,,,,,,,,1,1,1,6,-2,2,1,1,1,
50102,Tilo Schindler; Karin Morgenstern,2011-09-11,-9,1,2,2744,225,2149,163,1697,211,1,1,2643,21,2857,395,-2,-2,1,4,1,1,-2,2,1,1,1,
50103,Tilo Schindler; Karin Morgenstern,2012-04-16,-9,,,,,,,,,,,,,,,,,1,3,1,6,-2,2,1,1,1,
50104,Tilo Schindler; Karin Morgenstern,2012-04-16,-9,2,1,2098,2,2152,325,-2,-2,,,,,,,,,1,6,1,2,-2,4,1,1,1,
50105,Tilo Schindler; Karin Morgenstern,2011-11-26,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50106,Tilo Schindler; Karin Morgenstern,2011-11-26,-9,1,1,3594,84,4097,27,-2,-2,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50107,Tilo Schindler; Karin Morgenstern,2011-11-04,-9,1,1,3169,54,2945,118,-2,-2,,,,,,,,,1,1,2,6,6,1,1,1,1,
50108,Tilo Schindler; Karin Morgenstern,2011-11-02,-9,,,,,,,,,,,,,,,,,1,4,2,6,1,2,1,1,1,
50109,Tilo Schindler; Karin Morgenstern,2011-09-11,-9,3,2,2423,187,1829,386,833,245,,,,,,,,,1,1,1,6,-2,2,1,1,1,
50110,Tilo Schindler; Karin Morgenstern,2011-11-21,-9,2,1,2031,145,1534,26,-2,-2,3,1,2838,320,2630,240,-2,-2,1,1,2,6,6,1,1,1,1,
50111,Tilo Schindler; Karin Morgenstern,2011-11-04,-9,2,1,2144,129,2773,30,-2,-2,,,,,,,,,1,4,1,3,-2,2,1,1,1,
50112,Tilo Schindler; Karin Morgenstern,2011-11-01,-9,3,2,3425,110,4411,194,2881,171,,,,,,,,,1,1,1,6,-2,1,1,1,1,
50113,Tilo Schindler; Karin Morgenstern,2011-09-09,-9,,,,,,,,,,,,,,,,,1,8,2,2,1,2,1,1,1,
50114,Tilo Schindler; Karin Morgenstern,2011-11-21,-9,1,1,3083,302,2250,17,-2,-2,,,,,,,,,1,7,1,2,-2,3,1,1,1,
50115,Tilo Schindler; Karin Morgenstern,2011-11-01,-9,,,,,,,,,,,,,,,,,1,4,2,5,1,1,1,1,1,
50116,Tilo Schindler; Karin Morgenstern,2011-09-09,-9,,,,,,,,,,,,,,,,,1,4,2,3,2,2,1,1,1,
50117,Tilo Schindler; Karin Morgenstern,2012-04-19,-9,3,1,2614,394,4146,132,-2,-2,2,1,4146,132,4092,183,-2,-2,1,4,1,2,-2,2,1,1,1,
50118,KT,2011-11-07,-9,,,,,,,,,,,,,,,,,1,4,2,2,6,2,1,1,1,
50119,Tilo Schindler; Karin Morgenstern,2011-11-05,-9,,,,,,,,,,,,,,,,,1,4,2,6,6,1,1,1,1,
50120,Tilo Schindler; Karin Morgenstern,2011-11-01,-9,,,,,,,,,,,,,,,,,1,1,1,6,-2,2,2,2,2,
50121,Tilo Schindler; Karin Morgenstern,2011-09-08,-9,2,1,2111,313,1856,392,-2,-2,,,,,,,,,1,6,2,3,2,3,1,1,1,
50122,Tilo Schindler; Karin Morgenstern,2012-04-18,-9,1,2,1470,325,2383,196,1398,236,1,1,1838,115,1825,20,-2,-2,1,1,1,6,-2,1,1,1,1,
50123,Tilo Schindler; Karin Morgenstern,2012-04-18,-9,2,1,3497,239,2798,154,-2,-2,,,,,,,,,1,2,1,6,-2,1,1,1,1,
50124,Tilo Schindler; Karin Morgenstern,2011-09-14,-9,2,1,3295,59,3523,5,-2,-2,,,,,,,,,1,2,5,5,1,2,1,1,1,
50125,Tilo Schindler; Karin Morgenstern,2011-09-12,-9,,,,,,,,,,,,,,,,,1,2,2,3,6,2,1,1,1,
50126,Tilo Schindler; Karin Morgenstern,2011-09-15,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50127,Tilo Schindler; Karin Morgenstern,2011-09-14,-9,,,,,,,,,,,,,,,,,1,8,1,2,-2,2,1,1,1,
50128,Tilo Schindler; Karin Morgenstern,2011-09-12,-9,1,1,3450,368,3761,46,-2,-2,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50129,Tilo Schindler; Karin Morgenstern,2012-04-19,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,2,1,1,1,
50130,Tilo Schindler; Karin Morgenstern,2011-09-15,-9,,,,,,,,,,,,,,,,,1,4,3,5,5,1,1,1,1,
50131,Tilo Schindler; Karin Morgenstern,2011-09-14,-9,3,2,2370,61,2785,144,1809,110,,,,,,,,,1,4,3,2,1,7,1,1,1,
50132,Tilo Schindler; Karin Morgenstern,2011-09-13,-9,3,1,2561,244,2266,316,-2,-2,,,,,,,,,1,4,6,2,6,2,1,1,1,
50133,Tilo Schindler; Karin Morgenstern,2011-09-12,-9,2,1,3109,143,2471,63,-2,-2,,,,,,,,,1,4,2,2,6,2,2,1,1,
50134,Tilo Schindler; Karin Morgenstern,2011-09-08,-9,3,1,3173,158,2806,115,-2,-2,,,,,,,,,1,1,1,2,-2,2,1,1,1,
50135,Tilo Schindler; Karin Morgenstern,2012-04-19,-9,,,,,,,,,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50136,Tilo Schindler; Karin Morgenstern,2011-09-15,-9,,,,,,,,,,,,,,,,,1,4,2,3,6,1,1,1,1,
50137,Tilo Schindler; Karin Morgenstern,2011-09-13,-9,,,,,,,,,,,,,,,,,1,4,1,1,-2,1,1,1,1,
50138,Tilo Schindler; Karin Morgenstern,2011-09-16,-9,,,,,,,,,,,,,,,,,1,4,2,4,5,2,1,1,1,
50139,Tilo Schindler; Karin Morgenstern,2011-09-16,-9,,,,,,,,,,,,,,,,,1,4,2,3,1,1,1,1,1,
50140,Tilo Schindler; Karin Morgenstern,2011-09-13,-9,,,,,,,,,,,,,,,,,1,4,1,2,-2,2,1,1,1,
50141,Tilo Schindler; Karin Morgenstern,2011-10-03,-9,2,1,2453,202,2666,282,-2,-2,,,,,,,,,1,4,1,2,-2,2,1,1,2,
50142,Tilo Schindler; Karin Morgenstern,2011-10-04,-9,2,2,3051,233,2906,302,2224,301,1,1,1913,388,1820,118,-2,-2,1,8,6,6,2,2,1,1,1,
50143,KT,2011-11-07,-9,,,,,,,,,,,,,,,,,1,8,2,3,6,1,1,1,1,
50144,Tilo Schindler; Karin Morgenstern,2011-11-03,-9,3,1,2018,48,1829,322,-2,-2,,,,,,,,,1,1,1,2,-2,1,1,1,1,
50145,Tilo Schindler; Karin Morgenstern,2011-11-05,-9,3,1,2427,57,1767,376,-2,-2,1,1,2986,252,2403,184,-2,-2,1,1,1,1,-2,1,1,1,2,
50146,Tilo Schindler; Karin Morgenstern,2012-04-18,-9,,,,,,,,,,,,,,,,,1,2,2,3,6,2,1,1,1,
