ld_bze,eu_wze,ld_wze,ld,raster,istre,istho,srid_ist,hoehenn,bund_nr
2458,-9,2458,-9,-9,391255,5845328,25833,50,120081
-9,-9,-9,-9,-9,4577900,5847500,31468,87,120082
2470,-9,2470,-9,-9,343442,5848754,25833,31,120083
2572,-9,2572,-9,-9,430482,5834482,25833,124,120084
2584,-9,2584,-9,-9,366599,5839189,25833,50,120085
2590,-9,2590,-9,-9,334873,5841419,25833,47,120086
2685,-9,2685,-9,-9,437825,5826056,25833,101,120087
2689,-9,2689,-9,-9,422039,5827265,25833,76,120088
2713,-9,2713,-9,-9,326468,5834159,25833,33,120089
2920,-9,2920,-9,-9,428948,5810545,25833,42,120090
2922,-9,2922,-9,-9,420914,5811130,25833,38,120091
2946,-9,2946,-9,-9,325171,5818079,25833,30,120092
3034,-9,3034,-9,-9,460122,5800269,25833,110,120093
3037,-9,3037,-9,-9,444184,5801429,25833,43,120094
3040,-9,3040,-9,-9,428355,5802630,25833,40,120095
3043,-9,3043,-9,-9,412353,5803948,25833,48,120096
3052,-9,3052,-9,-9,364528,5807150,25833,31,120097
3061,-9,3061,-9,-9,316651,5810685,25833,32,120098
3141,-9,3141,-9,-9,467646,5791881,25833,59,120099
3147,-9,3147,-9,-9,443569,5793589,25833,102,120100
3151,-9,3151,-9,-9,427735,5794746,25833,43,120101
3153,-9,3153,-9,-9,419784,5795312,25833,37,120102
3167,-9,3167,-9,-9,364359,5799391,25833,58,120103
3169,-9,3169,-9,-9,356083,5799835,25833,67,120104
3177,-9,3177,-9,-9,324047,5802136,25833,55,120105
3270,-9,3270,-9,-9,443082,5785540,25833,87,120106
3285,-9,3285,-9,-9,363650,5791230,25833,45,120107
3375,-9,3375,-9,-9,474337,5775261,25833,75,120108
3377,-9,3377,-9,-9,466508,5775961,25833,125,120109
3385,-9,3385,-9,-9,434469,5778170,25833,55,120110
3387,-9,3387,-9,-9,426577,5778724,25833,52,120111
3401,-9,3401,-9,-9,370885,5782725,25833,41,120112
3405,-9,3405,-9,-9,354875,5783899,25833,42,120113
3413,-9,3413,-9,-9,322994,5786308,25833,107,120114
3901,-9,3901,-9,-9,473769,5767347,25833,95,120115
3913,-9,3913,-9,-9,410006,5771903,25833,56,120116
3916,-9,3916,-9,-9,394127,5773061,25833,52,120117
3919,-9,3919,-9,-9,378216,5774160,25833,45,120118
3922,-9,3922,-9,-9,362228,5775318,25833,48,120119
4014,-9,4014,-9,-9,473313,5759336,25833,76,120120
-9,-9,-9,-9,-9,465242,5760018,25833,87,120121
4022,-9,4022,-9,-9,441332,5761639,25833,57,120122
4024,-9,4024,-9,-9,433420,5762200,25833,55,120123
4028,-9,4028,-9,-9,417395,5763268,25833,60,120124
4034,-9,4034,-9,-9,389536,5765131,25833,70,120125
-9,-9,-9,-9,-9,-1,-1,31468,-9,120126
4036,-9,4036,-9,-9,385672,5765495,25833,63,120127
4046,-9,4046,-9,-9,345718,5768562,25833,117,120128
4052,-9,4052,-9,-9,321737,5770249,25833,150,120129
4148,-9,4148,-9,-9,472697,5751480,25833,67,120130
4154,-9,4154,-9,-9,441758,5753697,25833,60,120131
4160,-9,4160,-9,-9,408891,5755998,25833,56,120132
4163,-9,4163,-9,-9,393060,5757286,25833,118,120133
4286,-9,4286,-9,-9,408433,5748176,25833,69,120134
4294,-9,4294,-9,-9,376371,5750279,25833,102,120135
4296,-9,4296,-9,-9,368465,5750957,25833,92,120136
4530,-9,4530,-9,-9,478828,5726825,25833,88,120137
4532,-9,4532,-9,-9,470900,5727596,25833,95,120138
4541,-9,4541,-9,-9,431045,5730318,25833,85,120139
4543,-9,4543,-9,-9,423112,5730986,25833,107,120140
4545,-9,4545,-9,-9,415127,5731552,25833,140,120141
4547,-9,4547,-9,-9,407154,5732162,25833,120,120142
4549,-9,4549,-9,-9,399107,5732620,25833,104,120143
4551,-9,4551,-9,-9,391312,5733268,25833,118,120144
4674,-9,4674,-9,-9,470561,5719873,25833,146,120145
4799,-9,4799,-9,-9,462875,5712286,25833,142,120146
4809,-9,4809,-9,-9,422002,5715067,25833,144,120147
4811,-9,4811,-9,-9,413956,5715649,25833,126,120148
4813,-9,4813,-9,-9,406192,5716145,25833,102,120149
4817,-9,4817,-9,-9,389894,5717196,25833,97,120150
4821,-9,4821,-9,-9,374143,5718383,25833,84,120151
-9,-9,-9,-9,-9,-1,-1,31468,-9,120152
4950,-9,4950,-9,-9,421515,5707061,25833,152,120153
4953,-9,4953,-9,-9,405476,5708167,25833,98,120154
4956,-9,4956,-9,-9,389605,5709447,25833,100,120155
5093,-9,5093,-9,-9,412933,5699631,25833,94,120156
163,8163,163,-9,-9,309766,5827440,25833,40,120157
-9,8210,-9,-9,-9,4527865,5776980,31468,-9,120158
162,8162,162,-9,-9,325833,5826043,25833,29,120159
208,8208,208,-9,-9,354334,5776012,25833,52,120160
221,8221,221,-9,-9,385069,5758445,25833,122,120161
-9,8206,-9,-9,-9,386183,5773556,25833,-9,120162
190,8190,190,-9,-9,389896,5788143,25833,45,120163
116,8116,116,-9,-9,393074,5869446,25833,44,120164
274,8274,274,-9,-9,393567,5708580,25833,110,120165
-9,8237,-9,-9,-9,399834,5740569,25833,-9,120166
220,8220,220,-9,-9,400974,5758093,25833,65,120167
102,8102,102,-9,-9,410154,5882462,25833,64,120168
253,8253,253,-9,-9,430492,5721741,25833,127,120169
203,8203,203,-9,-9,434069,5768846,25833,59,120170
1201,-9,-9,-9,-9,4528796,5885567,31468,62,120181
1202,-9,-9,-9,-9,4564705,5889630,31468,70,120182
1203,-9,-9,-9,-9,4610538,5872447,31468,63,120183
1204,-9,-9,-9,-9,4538406,5784429,31468,110,120184
1205,-9,-9,-9,-9,4607998,5741604,31468,135,120185
1206,-9,-9,-9,-9,4637863,5780150,31468,60,120186
1207,-9,-9,-9,-9,4566324,5891656,31468,78,120187
1208,-9,-9,-9,-9,4670922,5784203,31468,188,120188
