bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
120042,40,80,ftg,EU,11
120043,0,5,ftg,,1
120043,5,10,ftg,,2
120043,10,17,phg,,3
120043,17,40,phg,,4
120043,40,68,phg,,5
120043,68,90,phg,,6
120043,90,135,phg,,7
120043,135,165,phg,,8
120043,165,170,phg,,9
120043,10,20,ftg,EU,10
120043,20,40,ftg,EU,11
120043,40,80,ftg,EU,12
120044,0,5,ftg,,1
120044,5,10,ftg,,2
120044,10,20,phg,,3
120044,20,50,phg,,4
120044,50,95,phg,,5
120044,95,140,phg,,6
120044,140,160,phg,,7
120044,160,180,phg,,8
120044,10,20,ftg,EU,9
120044,20,40,ftg,EU,10
120044,40,80,ftg,EU,11
120045,0,5,ftg,,1
120045,5,10,ftg,,2
120045,10,18,phg,,3
120045,18,50,phg,,4
120045,50,73,phg,,5
120045,73,120,phg,,6
120045,120,180,phg,,7
120045,180,200,phg,,8
120045,10,20,ftg,EU,9
120045,20,40,ftg,EU,10
120045,40,80,ftg,EU,11
120046,0,5,ftg,,1
120046,5,10,ftg,,2
120046,10,20,phg,,3
120046,20,50,phg,,4
120046,50,90,phg,,5
120046,90,130,phg,,6
120046,130,170,phg,,7
120046,170,200,phg,,8
120046,10,20,ftg,EU,9
120046,20,40,ftg,EU,10
120046,40,80,ftg,EU,11
120047,0,5,ftg,,1
120047,5,10,ftg,,2
120047,10,15,phg,,3
120047,15,45,phg,,4
120047,45,90,phg,,5
120047,90,145,phg,,6
120047,145,155,phg,,7
120047,155,190,phg,,8
120048,0,5,ftg,,1
120048,5,10,ftg,,2
120048,10,30,phg,,3
120048,30,58,phg,,4
120048,58,83,phg,,5
120048,83,120,phg,,6
120048,120,150,phg,,7
120048,150,190,phg,,8
120049,0,5,ftg,,1
120049,5,10,ftg,,2
120049,10,33,phg,,3
120049,33,60,phg,,4
120049,60,95,phg,,5
120049,95,130,phg,,6
120049,130,170,phg,,7
120049,170,180,phg,,8
120050,0,5,ftg,,1
120050,5,10,ftg,,2
120050,10,30,phg,,3
120050,30,55,phg,,4
120050,55,125,phg,,5
120050,125,175,phg,,6
120051,0,5,ftg,,1
120051,5,10,ftg,,2
120051,10,35,phg,,3
120051,35,70,phg,,4
120051,70,90,phg,,5
120051,90,110,phg,,6
120051,110,135,phg,,7
120051,135,165,phg,,8
120051,165,180,phg,,9
120052,0,5,ftg,,1
120052,5,10,ftg,,2
120052,10,33,phg,,3
120052,33,60,phg,,4
120052,60,90,phg,,5
120052,90,125,phg,,6
120053,0,5,ftg,,1
120053,5,10,ftg,,2
120053,10,18,phg,,3
120053,18,48,phg,,4
120053,48,90,phg,,5
120053,90,130,phg,,6
120053,130,170,phg,,7
120054,0,5,ftg,,1
120054,5,10,ftg,,2
120054,10,30,phg,,3
120054,30,65,phg,,4
120054,65,100,phg,,5
120054,100,140,phg,,6
120054,140,160,phg,,7
120054,160,190,phg,,8
120055,0,5,ftg,,1
120055,5,10,ftg,,2
120055,10,25,phg,,3
120055,25,43,phg,,4
120055,43,75,phg,,5
120055,75,95,phg,,6
120055,95,130,phg,,7
120055,130,170,phg,,8
120056,0,5,ftg,,1
120056,5,10,ftg,,2
120056,10,33,phg,,3
120056,33,58,phg,,4
120056,58,100,phg,,5
120056,100,130,phg,,6
120056,130,170,phg,,7
120056,170,180,phg,,8
120057,0,5,ftg,,1
120057,5,10,ftg,,2
120057,10,22,phg,,3
120057,22,40,phg,,4
120057,40,65,phg,,5
120057,65,90,phg,,6
120057,90,125,phg,,7
120057,125,175,phg,,8
120058,0,5,ftg,,1
120058,5,10,ftg,,2
120058,10,18,phg,,3
120058,18,50,phg,,4
120058,50,90,phg,,5
120058,90,140,phg,,6
120058,140,160,phg,,7
120058,160,195,phg,,8
120059,0,5,ftg,,1
120059,5,10,ftg,,2
120059,10,40,phg,,3
120059,40,67,phg,,4
120059,67,100,phg,,5
120059,100,145,phg,,6
120059,145,155,phg,,7
120059,155,165,phg,,8
120060,0,5,ftg,,1
120060,5,10,ftg,,2
120060,10,30,phg,,3
120060,30,55,phg,,4
120060,55,85,phg,,5
120060,85,135,phg,,6
120061,0,5,ftg,,1
120061,5,10,ftg,,2
120061,10,20,phg,,3
120061,20,38,phg,,4
120061,38,70,phg,,5
120061,70,115,phg,,6
120061,115,130,phg,,7
120061,130,170,phg,,8
