bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
50044,2,o,1000,1,245
50044,4,w,1000,1,234
50044,3,s,1000,1,175
50044,1,n,1000,1,245
50045,4,w,1000,1,500
50045,3,s,1000,2,-9
50045,2,o,1000,2,-9
50045,1,n,1000,1,270
50046,3,s,1000,1,110
50046,2,o,1000,1,240
50046,1,n,1000,1,285
50046,4,w,1000,1,190
50047,1,n,1000,2,-9
50047,4,w,1000,2,-9
50047,3,s,1000,1,390
50047,2,o,1000,1,497
50048,2,o,1000,1,261
50048,3,s,1000,1,500
50048,4,w,1000,1,140
50048,1,n,1000,2,-9
50049,4,w,1000,2,-9
50049,1,n,1000,1,128
50049,3,s,1000,2,-9
50049,2,o,1000,1,330
50050,3,s,1000,1,419
50050,1,n,1000,2,-9
50050,4,w,1000,1,468
50050,2,o,1000,1,442
50051,2,o,1000,1,190
50051,1,n,1000,1,170
50051,3,s,1000,1,160
50051,4,w,1000,1,500
50052,2,o,1000,1,400
50052,1,n,1000,1,500
50052,4,w,1000,1,500
50052,3,s,1000,1,345
50053,2,o,1000,1,130
50053,1,n,500,1,321
50053,3,s,1000,1,395
50053,4,w,1000,1,190
50054,3,s,1000,1,120
50054,1,n,1000,1,80
50054,4,w,1000,1,82
50054,2,o,1000,1,117
50055,1,n,1000,2,-9
50055,3,s,1000,1,420
50055,4,w,1000,1,423
50055,2,o,1000,2,-9
50056,3,s,1000,1,480
50056,2,o,1000,1,330
50056,1,n,1000,1,145
50056,4,w,1000,1,500
50057,1,n,1000,1,470
50057,4,w,1000,1,466
50057,2,o,1000,2,-9
50057,3,s,1000,1,494
50058,1,n,1000,1,320
50058,2,o,1000,1,500
50058,4,w,1000,1,500
50058,3,s,1000,1,480
50059,1,n,1000,1,500
50059,3,s,1000,1,500
50059,2,o,1000,1,500
50059,4,w,1000,1,500
50060,3,s,1000,1,253
50060,4,w,1000,1,214
50060,1,n,1000,1,171
50060,2,o,1000,1,196
50061,1,n,1000,2,-9
50061,2,o,1000,2,-9
50061,4,w,1000,2,-9
50061,3,s,1000,2,-9
50062,3,s,1000,1,320
50062,1,n,1000,1,303
50062,2,o,1000,1,290
50062,4,w,1000,1,370
50063,3,s,1000,2,-9
50063,4,w,1000,1,455
50063,1,n,1000,1,383
50063,2,o,1000,2,-9
50064,1,n,500,1,482
50064,3,s,1000,2,-9
50064,4,w,1000,1,498
50064,2,o,1000,1,333
50065,1,n,500,1,216
50065,4,w,500,1,255
50065,2,o,1000,1,190
50065,3,s,1000,1,300
50066,2,o,1000,1,206
50066,4,w,1000,1,226
50066,3,s,1000,1,450
50066,1,n,1000,1,275
50067,3,s,1000,1,400
50067,2,o,1000,1,494
50067,1,n,1000,2,-9
50067,4,w,1000,2,-9
50068,2,o,1000,2,-9
50068,1,n,1000,1,498
50068,4,w,1000,2,-9
50068,3,s,1000,2,-9
50069,4,w,1000,1,450
50069,1,n,1000,1,262
50069,2,o,1000,1,98
50069,3,s,1000,1,97
50070,2,o,1000,1,125
50070,3,s,1000,1,380
50070,4,w,1000,1,356
50070,1,n,1000,1,38
50071,4,w,1000,1,140
50071,2,o,1000,1,55
50071,1,n,1000,1,170
50071,3,s,1000,1,110
50072,1,n,1000,1,228
50072,3,s,1000,1,500
50072,4,w,1000,1,115
50072,2,o,1000,2,-9
50073,4,w,1000,1,380
50073,1,n,1000,1,407
50073,2,o,1000,1,315
50073,3,s,1000,1,458
50074,1,n,1000,2,-9
50074,4,w,1000,2,-9
50074,3,s,1000,2,-9
50074,2,o,1000,2,-9
50075,4,w,1000,1,344
50075,3,s,1000,1,390
50075,1,n,1000,1,190
50075,2,o,1000,1,500
50076,2,o,1000,2,-9
50076,1,n,1000,2,-9
50076,4,w,1000,2,-9
50076,3,s,1000,2,-9
50077,2,o,1000,1,250
50077,1,n,1000,1,211
50077,3,s,1000,1,145
50077,4,w,1000,1,61
50078,1,n,1000,1,485
50078,3,s,1000,2,-9
50078,2,o,1000,2,-9
50078,4,w,1000,1,483
50079,1,n,1000,2,-9
50079,3,s,1000,2,-9
50079,4,w,1000,2,-9
50079,2,o,1000,2,-9
50080,3,s,1000,1,154
50080,2,o,1000,1,165
50080,1,n,1000,1,108
50080,4,w,1000,1,145
50081,2,o,1000,1,465
50081,4,w,1000,1,25
50081,1,n,1000,1,500
50081,3,s,1000,1,495
50082,3,s,1000,1,380
50082,2,o,1000,2,-9
50082,4,w,1000,1,424
50082,1,n,1000,2,-9
50083,4,w,1000,2,-9
50083,3,s,1000,2,-9
50083,2,o,1000,2,-9
50083,1,n,1000,1,425
50084,3,s,1000,1,224
50084,1,n,1000,1,212
50084,2,o,1000,1,255
50084,4,w,1000,1,240
50085,3,s,1000,1,126
50085,4,w,1000,1,310
50085,2,o,1000,1,320
50085,1,n,1000,1,87
50086,3,s,1000,2,-9
50086,2,o,1000,2,-9
50086,4,w,1000,2,-9
50086,1,n,1000,2,-9
50087,2,o,1000,1,366
50087,3,s,1000,1,200
50087,1,n,1000,1,321
50087,4,w,1000,1,317
50088,4,w,1000,2,-9
50088,1,n,1000,1,140
50088,2,o,1000,1,480
50088,3,s,1000,2,-9
50089,2,o,1000,1,242
50089,1,n,1000,1,165
50089,3,s,1000,1,115
50089,4,w,1000,1,215
50090,4,w,1000,2,-9
50090,1,n,1000,1,290
50090,3,s,1000,1,481
50090,2,o,1000,1,342
50091,1,n,1000,2,-9
50091,3,s,1000,2,-9
50091,4,w,1000,2,-9
50091,2,o,1000,2,-9
50092,1,n,1000,1,427
50092,3,s,1000,1,232
50092,2,o,1000,1,177
50092,4,w,1000,1,455
50093,3,s,1000,1,135
50093,2,o,1000,1,241
50093,4,w,1000,1,80
50093,1,n,1000,1,270
50094,1,n,1000,2,-9
50094,3,s,1000,2,-9
50094,2,o,1000,2,-9
50094,4,w,1000,2,-9
50095,4,w,1000,1,300
50095,1,n,1000,1,280
50095,2,o,1000,1,130
50095,3,s,1000,1,195
50096,3,s,1000,2,-9
50096,2,o,1000,2,-9
50096,1,n,1000,2,-9
50096,4,w,1000,2,-9
50097,2,o,1000,1,29
50097,1,n,1000,1,44
50097,3,s,1000,1,97
50097,4,w,1000,1,37
50098,3,s,1000,1,265
50098,4,w,1000,1,162
50098,2,o,1000,1,200
50098,1,n,1000,1,157
50099,2,o,1000,2,-9
50099,1,n,1000,2,-9
50099,3,s,1000,2,-9
50099,4,w,1000,2,-9
50100,4,w,1000,2,-9
50100,3,s,1000,1,431
50100,1,n,1000,1,448
50100,2,o,1000,1,358
50101,3,s,1000,1,106
50101,1,n,1000,2,-9
50101,2,o,1000,1,490
50101,4,w,1000,1,213
50102,4,w,1000,1,40
50102,1,n,1000,1,60
50102,2,o,1000,1,110
50102,3,s,1000,1,60
50103,1,n,1000,2,-9
50103,4,w,1000,2,-9
50103,2,o,1000,2,-9
50103,3,s,1000,2,-9
50104,4,w,1000,2,-9
50104,3,s,1000,2,-9
50104,1,n,1000,2,-9
50104,2,o,1000,2,-9
50105,4,w,1000,1,353
50105,1,n,1000,1,412
50105,2,o,1000,1,450
50105,3,s,1000,1,415
50106,4,w,1000,2,-9
50106,1,n,1000,2,-9
50106,2,o,1000,2,-9
50106,3,s,1000,1,410
50107,2,o,1000,1,465
50107,1,n,1000,1,270
50107,4,w,1000,1,120
50107,3,s,1000,1,455
50108,1,n,1000,1,110
50108,3,s,1000,1,95
50108,2,o,1000,1,85
50108,4,w,500,1,80
50109,1,n,1000,1,399
50109,3,s,500,1,462
50109,2,o,1000,1,380
50109,4,nw,1000,1,193
50110,3,s,1000,1,300
50110,4,w,1000,1,397
50110,2,o,500,1,98
50110,1,n,1000,1,150
50111,1,n,1000,2,-9
50111,4,w,1000,2,-9
50111,2,o,1000,2,-9
50111,3,s,1000,1,223
50112,4,w,1000,1,440
50112,2,o,1000,2,-9
50112,3,s,1000,2,-9
50112,1,n,1000,2,-9
50113,2,o,1000,1,52
50113,4,w,1000,1,18
50113,1,n,1000,1,25
50113,3,s,1000,1,67
50114,3,s,1000,1,409
50114,4,w,1000,1,301
50114,1,n,1000,1,473
50114,2,o,1000,1,175
50115,3,s,1000,1,124
50115,2,o,1000,1,190
50115,1,n,1000,1,41
50115,4,w,1000,1,105
50116,4,w,1000,1,100
50116,3,s,1000,1,80
50116,2,o,1000,1,82
50116,1,n,1000,1,36
50117,2,o,1000,1,415
50117,4,w,1000,2,-9
50117,3,s,1000,2,-9
50117,1,n,1000,1,450
50118,3,s,1000,1,321
50118,1,n,1000,1,143
50118,4,w,1000,1,286
50118,2,o,1000,1,205
50119,4,w,1000,1,49
50119,1,n,1000,1,205
50119,2,o,1000,1,120
50119,3,s,1000,1,177
50120,2,o,1000,1,125
50120,1,n,1000,1,500
50120,3,s,1000,1,240
50120,4,w,1000,1,145
50121,1,n,1000,1,490
50121,4,w,1000,1,410
50121,2,o,1000,1,460
50121,3,s,1000,1,400
50122,4,w,500,1,437
50122,3,s,1000,2,-9
50122,2,o,1000,2,-9
50122,1,n,1000,2,-9
50123,2,o,1000,2,-9
50123,1,n,1000,2,-9
50123,3,s,1000,2,-9
50123,4,w,1000,2,-9
50124,3,s,1000,1,55
50124,4,w,1000,1,497
50124,2,o,1000,1,495
50124,1,n,1000,1,447
50125,3,s,1000,1,185
50125,4,w,1000,1,347
50125,1,n,1000,1,280
50125,2,o,1000,1,180
50126,3,s,1000,1,153
50126,1,n,1000,1,243
50126,4,w,1000,1,93
50126,2,o,1000,1,212
50127,4,w,1000,1,476
50127,3,s,1000,1,485
50127,2,o,1000,1,220
50127,1,n,1000,1,429
50128,1,n,1000,2,-9
50128,3,s,1000,2,-9
50128,2,o,1000,2,-9
50128,4,w,1000,2,-9
50129,3,s,1000,2,-9
50129,2,o,1000,2,-9
50129,1,n,1000,2,-9
50129,4,w,1000,2,-9
50130,4,w,1000,1,418
50130,3,s,1000,1,400
50130,1,n,1000,1,390
50130,2,o,1000,1,425
50131,4,w,1000,1,285
50131,2,o,1000,1,210
50131,3,s,1000,1,426
50131,1,n,1000,1,500
50132,4,w,1000,1,270
50132,2,o,1000,1,255
50132,3,s,1000,1,500
50132,1,n,1000,1,195
50133,3,s,1000,1,63
50133,4,w,1000,1,110
50133,1,n,1000,1,251
50133,2,o,1000,1,220
50134,1,n,1000,2,-9
50134,3,s,1000,2,-9
50134,4,w,1000,2,-9
50134,2,o,1000,1,289
50135,4,w,1000,1,295
50135,1,n,1000,1,490
50135,3,s,1000,1,480
50135,2,o,1000,1,360
50136,2,o,1000,1,220
50136,3,s,1000,1,85
50136,1,n,1000,1,50
50136,4,w,1000,1,80
50137,1,n,1000,2,-9
50137,3,s,1000,2,-9
50137,2,o,1000,1,495
50137,4,w,1000,2,-9
50138,4,w,1000,1,167
50138,2,o,1000,1,350
50138,3,s,1000,1,365
50138,1,n,1000,1,122
50139,3,s,1000,1,68
50139,1,n,1000,1,130
50139,2,o,1000,1,95
50139,4,w,500,1,168
50140,2,o,1000,2,-9
50140,4,w,1000,1,425
50140,1,n,1000,1,466
50140,3,s,1000,1,422
50141,1,n,1000,1,495
50141,2,o,1000,1,477
50141,4,w,1000,1,498
50141,3,s,1000,1,495
50142,2,o,500,1,300
50142,3,s,1000,1,125
50142,1,n,500,1,225
50142,4,w,1000,1,80
50143,2,o,1000,1,480
50143,1,n,1000,1,490
50143,3,s,1000,1,420
50143,4,w,1000,1,450
50144,2,o,1000,1,285
50144,1,n,1000,2,-9
50144,3,s,1000,2,-9
50144,4,w,1000,2,-9
50145,2,o,1000,2,-9
50145,4,w,1000,2,-9
50145,1,n,1000,2,-9
50145,3,s,1000,2,-9
50146,1,n,1000,1,307
50146,4,w,1000,1,155
50146,3,s,1000,1,195
50146,2,o,1000,1,288
