id,kurz,lang,gueltig_ab,gueltig_bis
031.001.022,031.001.022,,1989-01-01,
031.001.023,031.001.023,,1989-01-01,
031.001.024,031.001.024,,1989-01-01,
031.001.025,031.001.025,,1989-01-01,
031.001.026,031.001.026,,1989-01-01,
031.001.027,031.001.027,,1989-01-01,
031.001.028,031.001.028,,1989-01-01,
031.001.029,031.001.029,,1989-01-01,
031.001.030,031.001.030,,1989-01-01,
031.001.031,031.001.031,,1989-01-01,
031.001.032,031.001.032,,1989-01-01,
031.001.033,031.001.033,,1989-01-01,
031.001.034,031.001.034,,1989-01-01,
031.001.035,031.001.035,,1989-01-01,
031.001.036,031.001.036,,1989-01-01,
031.001.037,031.001.037,,1989-01-01,
031.001.038,031.001.038,,1989-01-01,
031.001.039,031.001.039,,1989-01-01,
031.001.040,031.001.040,,1989-01-01,
031.001.041,031.001.041,,1989-01-01,
031.001.042,031.001.042,,1989-01-01,
031.001.043,031.001.043,,1989-01-01,
031.001.044,031.001.044,,1989-01-01,
031.001.045,031.001.045,,1989-01-01,
031.001.046,031.001.046,,1989-01-01,
031.001.047,031.001.047,,1989-01-01,
031.001.048,031.001.048,,1989-01-01,
031.001.049,031.001.049,,1989-01-01,
031.001.050,031.001.050,,1989-01-01,
031.001.051,031.001.051,,1989-01-01,
031.001.052,031.001.052,,1989-01-01,
031.001.053,031.001.053,,1989-01-01,
031.001.054,031.001.054,,1989-01-01,
031.001.055,031.001.055,,1989-01-01,
031.001.056,031.001.056,,1989-01-01,
031.001.057,031.001.057,,1989-01-01,
031.001.058,031.001.058,,1989-01-01,
031.001.059,031.001.059,,1989-01-01,
031.001.060,031.001.060,,1989-01-01,
031.001.061,031.001.061,,1989-01-01,
031.001.062,031.001.062,,1989-01-01,
031.001.063,031.001.063,,1989-01-01,
031.001.064,031.001.064,,1989-01-01,
031.001.065,031.001.065,,1989-01-01,
031.001.998,031.001.998, Vielnervige Weide,1989-01-01,
031.001.999,031.001.999,Weide,1989-01-01,
031.001.999.dl,031.001.999.DL,Weide,1989-01-01,2021-01-01
031.002.001,031.002.001,,1989-01-01,
031.002.002,031.002.002,,1989-01-01,
031.002.003,031.002.003,,1989-01-01,
031.002.004,031.002.004,,1989-01-01,
031.002.005,031.002.005,,1989-01-01,
031.002.006,031.002.006,,1989-01-01,
031.002.007,031.002.007,,1989-01-01,
031.002.008,031.002.008,,1989-01-01,
031.002.009,031.002.009,,1989-01-01,
031.002.010,031.002.010,,1989-01-01,
031.002.011,031.002.011,,1989-01-01,
031.002.998,031.002.998,Westliche Balsampappel,1989-01-01,
031.002.999,031.002.999,Pappel,1989-01-01,
031.002.999.dl,031.002.999.DL,Pappel,1989-01-01,2021-01-01
031.010.998,031.010.998,,1989-01-01,
032.001.001,032.001.001,,1989-01-01,
032.001.002,032.001.002,,1989-01-01,
032.001.003,032.001.003,,1989-01-01,
032.001.999,032.001.999,,1989-01-01,
033.001.001,033.001.001,,1989-01-01,
033.001.002,033.001.002,,1989-01-01,
033.001.003,033.001.003,,1989-01-01,
033.001.999,033.001.999,,1989-01-01,
033.002.001,033.002.001,,1989-01-01,
033.002.002,033.002.002,,1989-01-01,
033.002.003,033.002.003,,1989-01-01,
033.002.999,033.002.999,,1989-01-01,
033.003.001,033.003.001,,1989-01-01,
034.001.001,034.001.001,Sand-Birke,1989-01-01,
034.001.002,034.001.002,Moor-Birke,1989-01-01,
034.001.003,034.001.003,,1989-01-01,
034.001.004,034.001.004,,1989-01-01,
034.001.998,034.001.998,,1989-01-01,
034.001.999,034.001.999,Birke,1989-01-01,
034.001.999.dl,034.001.999.DL,Birke,1989-01-01,2021-01-01
034.002.001,034.002.001,,1989-01-01,
034.002.002,034.002.002,Schwarz-Erle,1989-01-01,
034.002.003,034.002.003,,1989-01-01,
034.002.004,034.002.004,Grau-Erle,1989-01-01,
034.002.005,034.002.005,,1989-01-01,
034.002.999,034.002.999,Erle,1989-01-01,
034.002.999.dl,034.002.999.DL,Erle,1989-01-01,2021-01-01
035.001.001,035.001.001,Hainbuche,1989-01-01,
035.001.002,035.001.002,,1989-01-01,
035.001.999,035.001.999,,1989-01-01,
035.002.001,035.002.001,,1989-01-01,
035.003.001,035.003.001,,1989-01-01,
035.003.002,035.003.002,,1989-01-01,
035.003.003,035.003.003,,1989-01-01,
035.003.999,035.003.999,,1989-01-01,
036.001.001,036.001.001,Rot-Buche,1989-01-01,
036.002.001,036.002.001,,1989-01-01,
036.002.002,036.002.002,,1989-01-01,
036.002.999,036.002.999,,1989-01-01,
036.003.001,036.003.001,Edel-Kastanie,1989-01-01,
036.003.002,036.003.002,,1989-01-01,
036.003.999,036.003.999,,1989-01-01,
036.004.001,036.004.001,Rot-Eiche,1989-01-01,
036.004.002,036.004.002,,1989-01-01,
036.004.003,036.004.003,,1989-01-01,
036.004.004,036.004.004,,1989-01-01,
036.004.005,036.004.005,,1989-01-01,
036.004.006,036.004.006,,1989-01-01,
036.004.007,036.004.007,,1989-01-01,
036.004.008,036.004.008,,1989-01-01,
036.004.009,036.004.009,,1989-01-01,
036.004.010,036.004.010,,1989-01-01,
036.004.011,036.004.011,Trauben-Eiche,1989-01-01,
036.004.012,036.004.012,,1989-01-01,
036.004.013,036.004.013,,1989-01-01,
036.004.014,036.004.014,Stiel-Eiche,1989-01-01,
036.004.015,036.004.015,,1989-01-01,
036.004.016,036.004.016,,1989-01-01,
036.004.017,036.004.017,,1989-01-01,
036.004.018,036.004.018,,1989-01-01,
036.004.019,036.004.019,,1989-01-01,
036.004.020,036.004.020,,1989-01-01,
036.004.021,036.004.021,,1989-01-01,
036.004.022,036.004.022,,1989-01-01,
036.004.023,036.004.023,,1989-01-01,
036.004.024,036.004.024,,1989-01-01,
036.004.025,036.004.025,,1989-01-01,
036.004.026,036.004.026,,1989-01-01,
036.004.027,036.004.027,,1989-01-01,
