icode;kurzd;langd;genus;species;zu_bart_flora;laub_nadel;zu_icp_code;zu_bartgr_wze;zu_ba_bwi;anmerkung;bze_al;beginn;ende
113;Kir;Vogel-Kirsche;Prunus;avium;80.035.014;LB;36;30011;KIR;;WAHR;31. Dez 86;
114;Pa;Pappel;Populus;spp.;031.002.999.DL;LB;211;30011;PA;;WAHR;31. Dez 86;
115;Eis;Eiche;Quercus;spp.;036.004.999.DL;LB;99;30013;EI;;FALSCH;;01. Jan 00
116;TEi;Trauben-Eiche;Quercus;petraea;36.004.011;LB;48;30013;EI;;WAHR;31. Dez 86;
117;SEi;Stiel-Eiche;Quercus;robur ;36.004.014;LB;51;30013;EI;(Q. peduculata);WAHR;31. Dez 86;
118;REi;Rot-Eiche;Quercus;rubra;36.004.001;LB;53;30011;REI;;WAHR;31. Dez 86;
119;Rob;Robinie;Robinia;pseudoacacia;81.030.001;LB;56;30011;ROB;;WAHR;31. Dez 89;
120;Wei;Weide;Salix;spp.;031.001.999.DL;LB;62;30011;SLB;;WAHR;31. Dez 91;
121;Vbe;Vogelbeere;Sorbus;aucuparia;80.028.002;LB;64;30011;VB;;WAHR;31. Dez 86;
122;Li;Linde;Tilia;spp.;105.001.999.DL;LB;210;30011;LI;;WAHR;31. Dez 86;
123;WLi;Winter-Linde;Tilia;cordata;105.001.005;LB;68;30011;LI;;WAHR;31. Dez 86;
124;SLi;Sommer-Linde;Tilia;platyphyllos;105.001.003;LB;69;30011;LI;;WAHR;31. Dez 86;
125;Ul;Ulme;Ulmus;spp.;037.001.999.DL;LB;213;30011;UL;;WAHR;31. Dez 86;
126;As;Aspe/Zitterpappel;Populus;tremula;31.002.004;LB;35;30011;PA;;WAHR;31. Dez 86;
127;BPa;Balsampappel;Populus;balsamifera;;LB;230;30011;PA;;FALSCH;;
128;BUl;Bergulme;Ulmus;glabra;37.001.001;LB;70;30011;UL;;WAHR;31. Dez 88;
129;BWe;Bruchweide;Salix;fragilis;31.001.002;LB;61;30011;SLB;;FALSCH;31. Dez 08;
130;Els;Elsbeere;Sorbus;torminalis;80.028.003;LB;66;30011;VB;;WAHR;31. Dez 86;
131;Es;Esche;Fraxinus;excelsior;139.004.003;LB;22;30011;ES;;FALSCH;;31. Dez 14
132;FAh;Feldahorn;Acer;campestre;95.001.003;LB;1;30011;FAH;;WAHR;31. Dez 89;
133;FUl;Feldulme;Ulmus;campestris;;LB;72;30011;UL;;FALSCH;;
134;FLu;Flatterulme;Ulmus;laevis (vorher effusa);;LB;71;30011;UL;;FALSCH;31. Dez 14;
135;GPa;Graupappel;Populus;x canescens;31.002.002;LB;32;30011;PA;;FALSCH;;
136;GEr;Gruenerle;Alnus;viridis;34.002.001;LB;9;30011;ERL;;FALSCH;31. Dez 05;
137;Hi;Hickory;Carya;spp.;;LB;99;30011;SLB;;FALSCH;;
138;HBi;Hybridbirke;Betula;x hybrida;;LB;214;30011;BI;;FALSCH;;
139;JBi;Japanbirke;Betula;platyphylla var. Japonica;;LB;99;30011;BI;;WAHR;;
140;Me;Mehlbeere;Sorbus;aria;80.028.005;LB;63;30011;VB;;WAHR;31. Dez 86;
141;Mi;Mispel;Mespilus;germanica;80.033.001;LB;248;30011;SLB;;FALSCH;;
142;Nu;Walnussbaum;Juglans;regia;33.001.001;LB;26;30011;SLB;;WAHR;31. Dez 04;
143;Pl;Platane;Platanus;x hybrida;;LB;99;30011;SLB;;FALSCH;;
144;RKa;Rosskastanie;Aesculus;hippocastanum;97.001.001;LB;221;30011;KA;;WAHR;31. Dez 15;
145;SWe;Salweide;Salix;caprea;31.001.041;LB;58;30011;SLB;;WAHR;31. Dez 86;
146;SNu;Schwarznuss;Juglans;nigra;33.001.002;LB;25;30011;SLB;;FALSCH;;
147;SPa;Schwarzpappel;Populus;nigra;31.022.008;LB;34;30011;PA;;WAHR;31. Dez 89;
148;Sp;Speierling;Sorbus;domestica;80.028.001;LB;65;30011;VB;;WAHR;31. Dez 05;
150;SPi;Spirke;Pinus;uncinata;26.007.009;NB;135;30012;KI;;FALSCH;31. Dez 05;
151;SuE;Sumpfeiche;Quercus;palustris;36.004.002;LB;237;30011;EI;;WAHR;;
152;FTk;Fruehbl. Traubenkirsche;Prunus;padus;80.035.017;LB;38;30011;KIR;;WAHR;31. Dez 09;
153;STk;Spaetbl. Traubenkirsche;Prunus;serotina;80.035.018;LB;39;30011;KIR;;WAHR;31. Dez 91;
