MoMoK_Nr;Name;Bundeland;Datum_Aufnahme;Nr_PK;BNr;ZW;St;Baumart (Code);Baumart;Schi;Kraft;Alt;Alt-Meth;BHD [mm];BHD Hoehe [cm];Permanent-Maßband;BHD Stufen;Hoehe [dm];Kronenansatz [dm];Azimut [Gon];Azimut [°];Distanz [cm];Bemerkung
33300;Buchenhorst;MV;;;23;;0;511;RER;1;4;;1;109;130;;;103;85;176;158,4;63;
33300;Buchenhorst;MV;;;24;;0;511;RER;1;4;;1;100;130;;;71;62;178;160,2;111;
33300;Buchenhorst;MV;;;25;;0;511;RER;1;3;;1;164;130;;;137;106;185;166,5;59;
33300;Buchenhorst;MV;;;26;;0;511;RER;1;2;;1;232;130;;;166;128;190;171;96;
33300;Buchenhorst;MV;;;27;;0;511;RER;1;4;;1;130;130;;;112;88;191;171,9;75;
33300;Buchenhorst;MV;;;28;;0;511;RER;1;2;;1;198;130;;;161;126;209;188,1;89;
33300;Buchenhorst;MV;;;29;;0;511;RER;1;3;;1;155;130;;;135;101;213;191,7;124;
33300;Buchenhorst;MV;;;30;;0;511;RER;1;1;;1;272;130;;;177;111;215;193,5;113;
33300;Buchenhorst;MV;;;31;;0;511;RER;1;4;;1;115;130;;;110;98;217;195,3;85;
33300;Buchenhorst;MV;;;32;;0;511;RER;1;2;;1;230;130;;;169;101;227;204,3;87;
33300;Buchenhorst;MV;;;33;;0;511;RER;1;2;;1;193;130;;;173;125;233;209,7;119;
33300;Buchenhorst;MV;;;34;;0;511;RER;1;1;;1;278;130;;;188;121;236;212,4;51;
33300;Buchenhorst;MV;;;35;;0;511;RER;1;2;;1;196;130;;;161;115;236;212,4;82;
33300;Buchenhorst;MV;;;36;;0;511;RER;1;4;;1;130;130;;;123;103;236;212,4;109;
33300;Buchenhorst;MV;;;37;;0;511;RER;1;3;;1;151;130;;;150;128;240;216;120;
33300;Buchenhorst;MV;;;38;;0;511;RER;1;3;;1;161;130;;;160;126;249;224,1;111;
33300;Buchenhorst;MV;;;39;;0;511;RER;1;3;;1;170;130;;;177;136;254;228,6;98;
33300;Buchenhorst;MV;;;40;;0;511;RER;1;4;;1;132;130;;;139;102;262;235,8;48;
33300;Buchenhorst;MV;;;41;;0;511;RER;1;2;;1;244;130;;;173;119;276;248,4;28;
33300;Buchenhorst;MV;;;42;;0;511;RER;1;3;;1;164;130;;;129;93;279;251,1;67;
33300;Buchenhorst;MV;;;43;;0;511;RER;1;2;;1;253;130;;;173;109;282;253,8;46;
33300;Buchenhorst;MV;;;44;;0;511;RER;1;4;;1;127;130;;;102;82;282;253,8;104;
33300;Buchenhorst;MV;;;45;;0;511;RER;1;2;;1;225;130;;;167;102;298;268,2;81;
33300;Buchenhorst;MV;;;46;;0;511;RER;1;2;;1;262;130;;;169;77;308;277,2;118;
33300;Buchenhorst;MV;;;47;;0;511;RER;1;3;;1;155;130;;;144;120;311;279,45;65;
33300;Buchenhorst;MV;;;48;;0;511;RER;1;4;;1;135;130;;;116;104;315;283,5;118;
33300;Buchenhorst;MV;;;49;;0;511;RER;1;4;;1;98;130;;;90;83;318;286,2;112;
33300;Buchenhorst;MV;;;50;;0;511;RER;1;2;;1;207;130;;;164;128;331;297,9;118;
33300;Buchenhorst;MV;;;51;;0;511;RER;1;2;;1;227;130;;;175;126;333;299,7;87;
33300;Buchenhorst;MV;;;52;;0;511;RER;1;3;;1;170;130;;;146;109;334;300,6;73;
33300;Buchenhorst;MV;;;53;;0;511;RER;1;3;;1;177;130;;;146;100;335;301,5;107;
33300;Buchenhorst;MV;;;54;;0;511;RER;1;2;;1;226;130;;;172;114;338;303,75;39;
33300;Buchenhorst;MV;;;55;;0;511;RER;1;4;;1;110;130;;;85;72;342;307,8;116;
33300;Buchenhorst;MV;;;56;;0;511;RER;1;4;;1;129;130;;;103;83;346;311,4;52;
33300;Buchenhorst;MV;;;57;;0;511;RER;1;4;;1;104;130;;;100;74;349;314,1;114;
33300;Buchenhorst;MV;;;58;;0;511;RER;1;3;;1;167;130;;;110;105;351;315,9;103;
33300;Buchenhorst;MV;;;59;;0;511;RER;1;3;;1;156;130;;;93;84;365;328,05;86;
33300;Buchenhorst;MV;;;60;;0;511;RER;1;3;;1;159;130;;;113;88;381;342,45;57;
32020;Postluch/Britz;BB;09.02.2022;MB;1;;0;511;RER;1;1;;;375;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;2;;0;511;RER;1;3;;;340;130;;6;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;3;;0;511;RER;1;1;;;404;130;;8;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;4;;0;511;RER;1;1;;;402;130;;8;279;193;131;117,9;1250;
32020;Postluch/Britz;BB;09.02.2022;MB;5;;0;511;RER;1;2;;;374;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;6;;0;511;RER;1;1;;;399;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;7;;0;511;RER;1;2;;;352;130;;7;304;203;237;213,3;206;
32020;Postluch/Britz;BB;09.02.2022;MB;8;1;0;511;RER;1;3;;;322;130;;6;250;212;240;216;977;
32020;Postluch/Britz;BB;09.02.2022;MB;9;1;0;511;RER;1;3;;;325;130;;6;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;10;1;0;511;RER;1;4;;;263;130;;5;181;156;245;220,5;1041;
32020;Postluch/Britz;BB;09.02.2022;MB;11;;0;511;RER;1;1;;;450;130;;9;247;154;312;280,8;378;
32020;Postluch/Britz;BB;09.02.2022;MB;12;;0;511;RER;1;2;;;307;130;;6;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;13;;0;511;RER;1;1;;;369;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;14;;0;511;RER;2;;;;101;130;;2;113;12;342;307,8;831;
32020;Postluch/Britz;BB;09.02.2022;MB;15;;0;511;RER;2;;;;79;130;;1;81;22;340;306;864;
32020;Postluch/Britz;BB;09.02.2022;MB;16;;0;511;RER;1;2;;;357;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;17;;0;511;RER;1;2;;;374;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;18;;0;511;RER;1;3;;;394;130;;7;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;19;;0;;STK;2;;;;119;130;;2;91;23;34;30,6;633;
32020;Postluch/Britz;BB;09.02.2022;MB;20;;0;511;RER;1;1;;;444;130;;8;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;21;;0;511;RER;2;;;;79;130;;1;73;17;43;38,7;693;
32020;Postluch/Britz;BB;09.02.2022;MB;22;;0;511;RER;1;2;;;348;130;;6;;;;;;
32020;Postluch/Britz;BB;09.02.2022;MB;23;;0;511;RER;2;;;;95;130;;1;91;22;52;46,8;1035;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;1;;0;511;GFI;1;4;41;1;114;130;0;2;98;63;2;1,8;1010;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;2;;0;511;GFI;1;2;50;2;233;130;0;4;175;117;5;4,5;520;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;3;;0;511;GFI;1;2;41;1;206;130;0;4;160;119;15;13,5;310;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;4;;0;511;GFI;1;2;41;1;228;130;0;4;179;115;20;18;530;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;5;;0;511;GFI;1;3;41;1;142;130;0;2;132;91;22;19,8;680;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;6;;0;511;GFI;1;4;41;1;121;130;0;2;107;77;27;24,3;1210;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;7;;0;511;GFI;1;1;41;1;259;130;0;5;174;101;28;25,2;920;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;8;;0;511;GFI;1;2;41;1;175;130;0;3;142;103;34;30,6;720;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;9;;0;511;GFI;1;3;41;1;121;130;0;2;129;94;43;38,7;990;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;10;;0;511;GFI;1;4;41;1;78;130;0;1;81;70;44;39,6;440;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;11;;0;511;GFI;1;4;41;1;83;130;0;1;86;77;45;40,05;1140;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;12;;0;511;GFI;1;2;41;1;278;130;0;5;177;112;66;59,4;260;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;13;;0;511;GFI;1;2;41;1;195;130;0;3;157;80;66;59,4;990;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;14;;0;511;GFI;1;2;41;1;205;130;0;4;143;94;69;62,1;1240;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;15;;0;511;GFI;1;1;41;1;314;130;0;6;198;109;79;71,1;750;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;16;;0;511;GFI;1;3;41;1;161;130;0;3;141;105;82;73,8;940;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;17;;0;511;GFI;1;4;41;1;122;130;0;2;93;81;92;82,8;1050;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;18;;0;511;GFI;1;4;41;1;99;130;0;1;92;63;93;83,7;1250;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;19;;0;511;GFI;1;4;41;1;135;130;0;2;114;96;97;87,3;670;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;20;;0;511;GFI;1;2;41;1;214;130;0;4;171;112;98;88,2;590;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;21;;0;511;GFI;1;1;41;1;266;130;0;5;175;111;101;90,9;850;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;22;;0;511;GFI;1;3;41;1;190;130;0;3;112;91;119;107,1;980;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;23;;0;511;GFI;1;4;41;1;89;130;0;1;70;48;119;107,1;1080;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;24;;0;511;GFI;1;4;41;1;114;130;0;2;108;62;131;117,9;1040;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;25;;0;511;GFI;1;2;41;1;224;130;0;4;160;94;139;124,65;820;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;26;;0;511;GFI;1;2;41;1;217;130;0;4;175;89;141;126,45;650;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;27;;0;511;GFI;1;2;41;1;238;130;0;4;171;86;160;144;430;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;28;;0;511;GFI;1;3;41;1;201;130;0;4;136;105;228;205,2;650;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;29;;0;511;GFI;1;2;41;1;211;130;0;4;184;100;258;232,2;230;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;30;;0;511;GFI;1;3;41;1;183;130;0;3;124;81;267;240,3;1040;KBA
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;31;;0;511;GFI;1;3;41;1;194;130;0;3;120;108;283;254,7;1120;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;32;;0;511;GFI;1;2;48;2;263;130;0;5;193;96;295;265,5;350;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;33;;0;511;GFI;1;1;41;1;335;130;0;6;207;101;295;265,5;820;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;34;;0;511;GFI;1;4;41;1;136;130;0;2;116;95;305;274,5;1200;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;35;;0;511;GFI;1;1;41;1;282;130;0;5;191;120;330;297;1000;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;36;;0;511;GFI;1;3;41;1;219;130;0;4;123;99;349;314,1;1150;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;37;;0;511;GFI;1;4;41;1;100;130;0;2;108;84;360;324;1200;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;38;;0;511;GFI;1;2;47;2;217;130;0;4;158;114;365;328,5;1190;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;39;;0;511;GFI;1;3;41;1;141;130;0;2;133;92;366;329,4;1030;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;40;;0;511;GFI;1;3;41;1;169;130;0;3;123;110;367;330,3;270;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;41;;0;511;GFI;1;4;41;1;113;130;0;2;92;78;367;330,3;880;KBA
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;42;;0;511;GFI;1;4;41;1;76;130;0;1;74;65;370;333;900;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;43;;0;511;GFI;1;2;41;1;194;130;0;3;174;122;378;340,2;140;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;1;44;;0;511;GFI;1;2;50;2;235;130;0;4;180;119;378;340,2;740;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;1;;0;511;GFI;1;3;41;1;160;130;0;3;128;87;2;1,35;490;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;2;;0;511;GFI;1;2;41;1;254;130;0;5;169;73;60;54;460;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;3;;0;511;GFI;1;4;41;1;129;130;0;2;105;92;92;82,8;770;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;4;;0;511;GFI;1;4;41;1;106;130;0;2;74;59;97;87,3;1240;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;5;;0;511;GFI;1;4;41;1;102;130;0;2;89;81;99;89,1;1090;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;6;;0;511;GFI;1;4;41;1;82;130;0;1;60;44;100;90;1170;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;7;;0;511;GFI;1;3;41;1;173;130;0;3;142;98;101;90,9;1060;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;8;;0;511;GFI;1;3;41;1;160,8;130;1;3;124;100;103;92,7;670;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;9;;0;511;GFI;1;3;41;1;143;130;0;2;116;103;116;104,4;960;KBA
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;10;;0;511;GFI;1;4;41;1;86;130;0;1;85;72;116;104,4;1140;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;11;;0;511;GFI;1;4;41;1;115;130;0;2;107;96;117;105,3;1190;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;12;;0;511;GFI;1;4;41;1;81;130;0;1;83;73;124;111,6;1260;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;13;;0;511;GFI;1;2;41;2;201;130;0;4;155;91;131;117,9;1060;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;14;;0;511;GFI;1;4;41;1;128;130;0;2;113;103;131;117,9;1200;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;15;1;0;511;GFI;1;4;41;1;146;130;0;2;133;100;135;121,5;190;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;16;1;0;511;GFI;1;2;41;1;181;130;0;3;143;89;135;121,5;210;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;17;;0;511;GFI;1;1;41;1;257;130;0;5;177;97;135;121,5;880;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;18;;0;511;GFI;1;4;41;1;96;130;0;1;96;77;149;134,1;1000;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;19;;0;511;GFI;1;4;41;1;104;130;0;2;115;98;151;135,9;930;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;20;;0;511;GFI;1;4;41;1;101;130;0;2;102;88;156;140,4;1220;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;21;;0;511;GFI;1;1;39;2;268;130;1;5;170;95;162;145,8;970;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;22;;0;511;GFI;1;2;41;1;197;130;0;3;157;121;166;149,4;630;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;23;;0;511;GFI;1;4;41;1;109;130;0;2;103;85;176;158,4;630;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;24;;0;511;GFI;1;4;41;1;100;130;0;2;71;62;178;160,2;1110;KBA
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;25;;0;511;GFI;1;3;41;1;164;130;0;3;137;106;185;166,5;590;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;26;;0;511;GFI;1;2;41;1;232;130;0;4;166;128;190;171;960;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;27;;0;511;GFI;1;4;41;1;130;130;0;2;112;88;191;171,9;750;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;28;;0;511;GFI;1;2;41;1;198;130;0;3;161;126;209;188,1;890;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;29;;0;511;GFI;1;3;41;1;155;130;0;3;135;101;213;191,7;1240;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;30;;0;511;GFI;1;1;41;1;272;130;0;5;177;111;215;193,5;1130;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;31;;0;511;GFI;1;4;41;1;115;130;0;2;110;98;217;195,3;850;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;32;;0;511;GFI;1;2;38;2;230;130;0;4;169;101;227;204,3;870;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;33;;0;511;GFI;1;2;41;1;193;130;0;3;173;125;233;209,7;1190;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;34;;0;511;GFI;1;1;41;1;276,9;140;1;5;188;121;236;212,4;510;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;35;;0;511;GFI;1;2;41;1;196;130;0;3;161;115;236;212,4;820;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;36;;0;511;GFI;1;4;41;1;130;130;0;2;123;103;236;212,4;1090;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;37;;0;511;GFI;1;3;41;1;151;130;0;3;150;128;240;216;1200;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;38;;0;511;GFI;1;3;41;1;161;130;0;3;160;126;249;224,1;1110;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;39;;0;511;GFI;1;3;41;1;170;130;0;3;177;136;254;228,6;980;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;40;;0;511;GFI;1;4;41;1;132,5;130;1;2;139;102;262;235,8;480;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;41;;0;511;GFI;1;2;41;1;243,5;130;1;4;173;119;276;248,4;280;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;42;;0;511;GFI;1;3;41;1;164;130;0;3;129;93;279;251,1;670;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;43;;0;511;GFI;1;2;41;1;253;130;0;5;173;109;282;253,8;460;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;44;;0;511;GFI;1;4;41;1;127;130;0;2;102;82;282;253,8;1040;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;45;;0;511;GFI;1;2;41;2;225;130;0;4;167;102;298;268,2;810;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;46;;0;511;GFI;1;2;41;1;262;130;0;5;169;77;308;277,2;1180;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;47;;0;511;GFI;1;3;41;1;155;130;0;3;144;120;311;279,45;650;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;48;;0;511;GFI;1;4;41;1;135;130;0;2;116;104;315;283,5;1180;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;49;;0;511;GFI;1;4;41;1;98;130;0;1;90;83;318;286,2;1120;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;50;;0;511;GFI;1;2;41;1;207;130;0;4;164;128;331;297,9;1180;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;51;;0;511;GFI;1;2;40;2;227;130;0;4;175;126;333;299,7;870;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;52;;0;511;GFI;1;3;41;1;170;130;0;3;146;109;334;300,6;730;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;53;;0;511;GFI;1;3;41;1;177;130;0;3;146;100;335;301,5;1070;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;54;;0;511;GFI;1;2;38;2;226;130;0;4;172;114;338;303,75;390;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;55;;0;511;GFI;1;4;41;1;110;130;0;2;85;72;342;307,8;1160;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;56;;0;511;GFI;1;4;41;1;129;130;0;2;103;83;346;311,4;520;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;57;;0;511;GFI;1;4;41;1;104;130;0;2;100;74;349;314,1;1140;
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;58;;0;511;GFI;1;3;41;1;167;130;0;3;110;105;351;315,9;1030;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;59;;0;511;GFI;1;3;41;1;156;130;0;3;93;84;365;328,05;860;KB
34010;Gr. Eisenstraßenmoor/Johanngeorgenstadt;SN;12.10.2021;2;60;;0;511;GFI;1;3;41;1;159;130;0;3;113;88;381;342,45;570;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;1;;0;;RER;1;2;;;226;130;0;4;;;84;76;349;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;2;;0;;RER;1;2;;;210;130;0;4;;;78;70;415;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;3;;0;;RER;1;4;;;122;130;0;2;;;84;76;418;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;4;;0;;RER;1;4;;;99;130;0;1;;;100;90;387;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;5;;0;;RER;1;3;;;218;130;0;4;170;98;71;64;562;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;6;;0;;RER;1;2;;;240;130;0;4;;;83;75;945;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;7;;0;;RER;1;2;;;246;130;0;4;;;73;66;1041;
32010;Buxpfuhl/Melchow;BB;20.04.2022;MB;8;;0;;RER;1;2;;;210;130;0;4;;;110;99;1003;
