MoMoK_Nr;Name;Bundeland;Datum;Nr_VJ_PK;Lage;Distanz MB [cm];pk_maxdist [cm];LfdNr;Baumart (Code);Baumart ;Hoehe [cm];grklasse
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;8;;MBI;255;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;9;;MBI;225;1
32050;Stromtrasse/Spechti;BB;05.05.2022;W;West;1000;344;10;;MBI;315;1
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;1;;RER;173;1
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;2;;RER;110;0
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;3;;RER;150;1
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;4;;RER;260;1
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;5;;RER;255;1
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;6;;RER;700;3
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;7;;MBI;960;3
32070;Hellsee/Biesenthal;BB;04.07.2022;N;Nord;1000;479;8;;MBI;1030;3
32070;Hellsee/Biesenthal;BB;04.07.2022;E;Ost;1000;478;1;;RER;205;1
32070;Hellsee/Biesenthal;BB;04.07.2022;E;Ost;1000;478;2;;RER;70;0
32070;Hellsee/Biesenthal;BB;04.07.2022;E;Ost;1000;478;3;;RER;120;0
32070;Hellsee/Biesenthal;BB;04.07.2022;E;Ost;1000;478;4;;EB;295;1
32070;Hellsee/Biesenthal;BB;04.07.2022;S;Süd;1000;416;1;;MBI;403;1
32070;Hellsee/Biesenthal;BB;04.07.2022;S;Süd;1000;416;2;;RER;107;0
32070;Hellsee/Biesenthal;BB;04.07.2022;S;Süd;1000;416;3;;RER;157;1
32070;Hellsee/Biesenthal;BB;04.07.2022;S;Süd;1000;416;4;;MBI;154;1
32070;Hellsee/Biesenthal;BB;04.07.2022;S;Süd;1000;416;5;;SHA;160;1
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;1;;GES;125;0
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;2;;GES;146;1
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;3;;RER;145;1
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;4;;RBU;290;1
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;5;;RER;310;1
32070;Hellsee/Biesenthal;BB;04.07.2022;W;West;1000;494;6;;GES;640;2
32090;Pfauenfließ/Biesenthal;BB;27.06.2022;N;Nord;1000;490;1;;RER;170;1
32090;Pfauenfließ/Biesenthal;BB;28.06.2022;S;Süd;1000;500;1;;RER;630;3
32090;Pfauenfließ/Biesenthal;BB;29.06.2022;W;West;1000;500;1;;RER;140;1
32090;Pfauenfließ/Biesenthal;BB;30.06.2022;W;West;1000;500;2;;RER;480;3
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;1;;STK;196;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;2;;FLB;340;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;3;;STK;168;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;4;;STK;265;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;5;;FLB;297;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;6;;STK;320;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;7;;STK;97;0
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;8;;STK;340;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;9;;STK;520;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;N;Nord;1000;233;10;;STK;460;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;1;;STK;70;0
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;2;;STK;75;0
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;3;;EB;167;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;4;;STK;160;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;5;;STK;216;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;6;;STK;370;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;7;;STK;115;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;8;;STK;540;3
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;9;;STK;640;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;E;Ost;1000;336;10;;STK;800;3
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;1;;STK;210;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;2;;STK;225;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;3;;STK;147;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;4;;FLB;320;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;5;;FLB;400;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;6;;STK;490;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;7;;STK;540;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;8;;STK;500;3
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;9;;STK;510;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;S;Süd;1000;393;10;;STK;680;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;1;;STK;60;0
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;2;;STK;135;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;3;;STK;385;2
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;4;;EB;285;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;5;;FLB;355;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;6;;FLB;245;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;7;;STK;170;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;8;;STK;140;1
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;9;;MBI;115;0
32080;Plötzensee/Biesenthal;BB;03.08.2022;W;West;1000;470;10;;STK;740;3
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;1;;FLB;140;1
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;2;;FLB;103;0
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;3;;RER;75;0
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;4;;FLB;235;1
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;5;;RER;140;1
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;6;;RER;110;0
