bund_nr,team,datum,geraet,randtyp_1,randform_1,anfang_dist_1,anfang_azi_1,end_dist_1,end_azi_1,knick_dist_1,knick_azi_1,randtyp_2,randform_2,anfang_dist_2,anfang_azi_2,end_dist_2,end_azi_2,knick_dist_2,knick_azi_2,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,beschreibungbestockung,anmerkung
140051,"Matthias Stade,  Alexander Griesbach",2011-09-21,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,1,1,1,1,,
140052,"Matthias Stade,  Alexander Griesbach",2011-09-21,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,2,1,1,1,,
140053,"Matthias Stade,  Alexander Griesbach",2012-05-29,-9,1,1,2998,22,2631,381,-2,-2,,,,,,,,,-9,1,6,1,4,-9,3,1,1,1,,
140054,"Matthias Stade,  Alexander Griesbach",2011-08-16,-9,3,1,2800,106,2806,150,-2,-2,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140055,"Matthias Stade,  Alexander Griesbach",2011-08-16,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140056,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,1,2,747,324,2141,208,1323,256,,,,,,,,,-9,1,1,1,1,-9,7,1,1,1,,
140057,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,,,,,,,,,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140058,"Matthias Stade,  Alexander Griesbach",2011-11-14,-9,,,,,,,,,,,,,,,,,-9,1,1,1,1,-9,2,1,1,1,,
140059,"Matthias Stade,  Alexander Griesbach",2012-04-23,-9,,,,,,,,,,,,,,,,,-9,1,7,4,2,6,4,1,1,1,,
140060,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,,,,,,,,,,,,,,,,,-9,1,8,2,2,5,2,1,1,1,,
140061,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,,,,,,,,,,,,,,,,,-9,1,2,1,3,-9,2,1,1,1,,
140062,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140063,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,4,-9,1,1,1,1,,
140064,"Matthias Stade,  Alexander Griesbach",2012-05-16,-9,,,,,,,,,,,,,,,,,-9,1,2,1,1,-9,1,1,1,2,,
140065,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,,,,,,,,,,,,,,,,,-9,1,8,1,2,-9,2,1,1,2,,
140066,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,,,,,,,,,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140067,"Matthias Stade,  Alexander Griesbach",2012-05-07,-9,1,1,1942,396,2581,40,-2,-2,,,,,,,,,-9,1,2,1,3,-9,2,1,1,1,,
140068,"Matthias Stade,  Alexander Griesbach",2012-04-23,-9,1,1,2355,30,2679,383,-2,-2,,,,,,,,,-9,1,1,1,1,-9,1,1,1,1,,
140089,"Matthias Stade,  Alexander Griesbach",2012-04-25,-9,,,,,,,,,,,,,,,,,-9,1,2,1,2,-9,1,1,1,1,,
140102,"Matthias Stade,  Alexander Griesbach",2012-05-09,-9,,,,,,,,,,,,,,,,,-9,1,2,2,2,3,4,1,1,1,,
140175,"Matthias Stade,  Alexander Griesbach",2011-08-15,-9,,,,,,,,,,,,,,,,,-9,1,1,1,6,-9,2,1,1,1,,
140187,"Matthias Stade,  Alexander Griesbach",2011-08-29,-9,1,2,2430,171,2730,80,2980,121,,,,,,,,,-9,1,1,1,2,-9,3,1,1,1,,
140234,"Matthias Stade,  Alexander Griesbach",2011-09-20,-9,2,1,2285,155,2128,190,-2,-2,,,,,,,,,-9,1,1,1,1,-9,3,1,1,1,,
140252,"Matthias Stade,  Alexander Griesbach",2012-05-30,-9,,,,,,,,,,,,,,,,,-9,1,1,1,3,-9,1,1,1,1,,
140254,"Matthias Stade,  Alexander Griesbach",2012-04-27,-9,1,2,970,186,2522,313,2478,274,,,,,,,,,-9,1,8,3,5,1,3,1,1,1,,
140315,"Matthias Stade,  Alexander Griesbach",2012-05-29,-9,,,,,,,,,,,,,,,,,-9,1,6,1,2,-9,3,1,1,1,,
140316,"Matthias Stade,  Alexander Griesbach",2012-05-31,-9,1,1,2680,175,2503,134,-2,-2,,,,,,,,,-9,1,5,1,1,-9,2,1,1,1,,
140317,-9,1970-01-01,-9,,,,,,,,,,,,,,,,,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,,
