bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
140056,30,60,ftg,200600178,4
140056,60,90,ftg,200600179,5
140057,0,5,ftg,200600220,1
140057,5,10,ftg,200600221,2
140057,10,30,ftg,200600222,3
140057,30,60,ftg,200600223,4
140057,60,90,ftg,200600224,5
140058,0,5,ftg,200600167,1
140058,5,10,ftg,200600168,2
140058,10,30,ftg,200600169,3
140058,30,60,ftg,200600170,4
140058,60,90,ftg,200600171,5
140059,0,5,ftg,200600473,1
140059,5,10,ftg,200600474,2
140059,10,30,ftg,200600475,3
140059,30,60,ftg,200600476,4
140059,60,90,ftg,200600477,5
140060,0,5,ftg,200600461,1
140060,5,10,ftg,200600462,2
140060,10,30,ftg,200600463,3
140060,30,60,ftg,200600464,4
140060,60,90,ftg,200600465,5
140061,0,5,ftg,200600434,1
140061,5,10,ftg,200600435,2
140061,10,30,ftg,200600436,3
140061,30,60,ftg,200600437,4
140062,0,5,ftg,200600386,1
140062,5,10,ftg,200600387,2
140062,10,30,ftg,200600388,3
140062,30,60,ftg,200600389,4
140062,60,90,ftg,200600390,5
140063,0,5,ftg,200600378,1
140063,5,10,ftg,200600379,2
140063,10,30,ftg,200600380,3
140063,30,60,ftg,200600381,4
140063,60,90,ftg,200600382,5
140064,0,5,ftg,200600369,1
140064,5,10,ftg,200600370,2
140064,10,30,ftg,200600371,3
140064,30,60,ftg,200600372,4
140064,60,90,ftg,200600373,5
140064,90,110,pts,200600374,6
140065,0,5,ftg,200600398,1
140065,5,10,ftg,200600399,2
140065,10,30,ftg,200600400,3
140065,30,60,ftg,200600401,4
140065,60,90,ftg,200600402,5
140066,0,5,ftg,200600426,1
140066,5,10,ftg,200600427,2
140066,10,30,ftg,200600428,3
140066,30,60,ftg,200600429,4
140066,60,90,ftg,200600430,5
140067,0,5,ftg,200600419,1
140067,5,10,ftg,200600420,2
140067,10,30,ftg,200600421,3
140067,30,60,ftg,200600422,4
140067,60,90,ftg,200600423,5
140068,0,5,ftg,200600439,1
140068,5,10,ftg,200600440,2
140068,10,30,ftg,200600441,3
140068,30,60,ftg,200600442,4
140068,60,90,ftg,200600443,5
140089,0,5,ftg,200600661,1
140089,5,10,ftg,200600662,2
140089,10,30,ftg,200600663,3
140089,30,60,ftg,200600664,4
140089,60,90,ftg,200600665,5
140089,90,140,pts,200600666,6
140089,140,200,pts,200600667,7
140102,0,5,ftg,200600688,1
140102,5,10,ftg,200600689,2
140102,10,30,ftg,200600690,3
140102,30,60,ftg,200600691,4
140102,60,90,ftg,200600692,5
140175,0,5,ftg,200600287,1
140175,5,10,ftg,200600288,2
140175,10,30,ftg,200600289,3
140175,30,60,ftg,200600290,4
140175,60,90,ftg,200600291,5
140187,0,5,ftg,200600201,1
140187,5,10,ftg,200600202,2
140187,10,30,ftg,200600203,3
140187,30,60,pts,200600204,4
140187,60,90,pts,200600205,5
140234,0,5,ftg,200600093,1
140234,5,10,ftg,200600094,2
140234,10,30,ftg,200600095,3
140234,30,60,pts,200600096,4
140234,60,70,pts,200600097,5
140252,0,5,ftg,200600061,1
140252,5,10,ftg,200600062,2
140252,10,30,ftg,200600063,3
140252,30,60,ftg,200600064,4
140252,60,90,ftg,200600065,5
140252,90,125,pts,200600066,6
140254,0,5,ftg,200600453,1
140254,5,10,ftg,200600454,2
140254,10,30,ftg,200600455,3
140254,30,60,ftg,200600456,4
140254,60,90,ftg,200600457,5
140315,0,5,ftg,200600119,1
140315,5,10,ftg,200600120,2
140315,10,30,ftg,200600121,3
140315,30,60,pts,200600122,4
140315,60,80,pts,200600123,5
140316,0,5,ftg,200600480,1
140316,5,10,ftg,200600481,2
140316,10,30,ftg,200600482,3
140316,30,60,ftg,200600483,4
140316,60,90,ftg,200600484,5
