bund_nr,labor,labornr,methode,parameter,messnr,datum,wert,nwg,laboreinheit,methcode1,methcode2,methcode3,atyp,lab_quelle
140001,220,200630187,19,4,1,2006-10-03,329.141716566866,0.01330672,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630188,19,4,1,2006-10-03,101.047904191617,0.01330672,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630187,19,12,1,2006-10-03,1.0689920676133,0.01432485,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630188,19,12,1,2006-10-03,14.3964760864505,0.01432485,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630187,19,13,1,2006-10-03,7.46993014489125,0.01347339,mmolc/kg,1200220000,19000000,,31,2
140001,220,200630188,19,13,1,2006-10-03,49.7738011601351,0.01347339,mmolc/kg,1200220000,19000000,,31,2
140001,220,200630187,19,16,1,2006-10-03,19.1806045726561,0.08183725,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630188,19,16,1,2006-10-03,7.16075904045829,0.08183725,mmolc/kg,1200220000,19000000,0421200,31,2
140001,220,200630187,19,17,1,2006-10-03,101.872042789549,0.00877734,mmolc/kg,1200220000,19000000,0421202,31,2
140001,220,200630188,19,17,1,2006-10-03,35.0627442912981,0.00877734,mmolc/kg,1200220000,19000000,0421202,31,2
140001,220,200630187,19,18,1,2006-10-03,39.2806436346427,0.0009708,mmolc/kg,1200220000,19000000,0421205,31,2
140001,220,200630188,19,18,1,2006-10-03,5.62452218864902,0.0009708,mmolc/kg,1200220000,19000000,0421205,31,2
140001,220,200630187,19,20,1,2006-10-03,1.65725669644799,0.0579967,mmolc/kg,1200220000,19000000,0421201,31,2
140001,220,200630188,19,20,1,2006-10-03,1.37452261437681,0.0579967,mmolc/kg,1200220000,19000000,0421201,31,2
140001,220,200630187,19,65,1,2006-10-03,4.84,-2.0,-,1200220000,19000000,1100220,31,2
140001,220,200630188,19,65,1,2006-10-03,4.84,-2.0,-,1200220000,19000000,1100220,31,2
140001,220,200630187,19,66,1,2006-10-03,4.09,-2.0,-,1200220000,19000000,1100220,31,2
140001,220,200630188,19,66,1,2006-10-03,3.34,-2.0,-,1200220000,19000000,1100220,31,2
140001,220,200630187,19,67,1,2006-10-03,88.4190002532479,-2.0,%,1200220000,19000000,,31,2
140001,220,200630188,19,67,1,2006-10-03,42.5604457270627,-2.0,%,1200220000,19000000,,31,2
140001,220,200630187,19,68,1,2006-10-03,511.034528021506,-2.0,mmolc/kg,1200220000,19000000,,31,2
140001,220,200630188,19,68,1,2006-10-03,339.859998331208,-2.0,mmolc/kg,1200220000,19000000,,31,2
140001,220,200600505,30,140,1,2009-05-12,0.128022543338163,0.11,mg/l,1100220000,30000000,0821440,10,2
