bund_nr,labor,labornr,horikombi,anzteile
140016,300,6501,L+Of,
140016,900,200630140,L+Of,
140016,900,200630141,Oh,
140017,220,200630206,L+Of,
140017,220,200630207,Oh,
140017,300,4920,Oh,
140017,300,9092,L+Of,
140017,900,200630206,L+Of,
140017,900,200630207,Oh,
140018,220,200630201,L+Of,
140018,220,200630202,Oh,
140018,300,500,L+Of,
140018,300,6401,Oh,
140018,900,200630201,L+Of,
140018,900,200630202,Oh,
140019,220,200630199,L+Of,
140019,220,200630200,Oh,
140019,300,5693,L+Of,
140019,300,9944,Oh,
140019,900,200630199,L+Of,
140019,900,200630200,Oh,
140020,220,200630194,L+Of,
140020,220,200630195,Oh,
140020,300,6673,L+Of,
140020,300,8887,Oh,
140020,900,200630194,L+Of,
140020,900,200630195,Oh,
140021,220,200630252,L+Of,
140021,220,200630253,Oh,
140021,300,2281,L+Of,
140021,300,7999,Oh,
140021,900,200630252,L+Of,
140021,900,200630253,Oh,
140022,220,200630247,L+Of,
140022,220,200630248,Oh,
140022,300,1444,Oh,
140022,300,8757,L+Of,
140022,900,200630247,L+Of,
140022,900,200630248,Oh,
140023,220,200630107,L+Of,
140023,220,200630108,Oh,
140023,300,1231,L+Of,
140023,300,9495,Oh,
140023,900,200630107,L+Of,
140023,900,200630108,Oh,
140024,220,200630105,L+Of,
140024,220,200630106,Oh,
140024,300,7917,L+Of,
140024,300,902,Oh,
140024,900,200630105,L+Of,
140024,900,200630106,Oh,
140025,220,200630158,L+Of,
140025,220,200630159,Oh,
140025,300,1118,Oh,
140025,300,4528,L+Of,
140025,900,200630158,L+Of,
140025,900,200630159,Oh,
140026,220,200630129,L+Of,
140026,220,200630130,Oh,
140026,300,388,L+Of,
140026,300,4355,Oh,
140026,900,200630129,L+Of,
140026,900,200630130,Oh,
140027,220,200630125,L+Of,
140027,220,200630126,Oh,
140027,300,2099,Oh,
140027,300,7196,L+Of,
140027,900,200630125,L+Of,
140027,900,200630126,Oh,
140028,220,200630127,L+Of,
140028,220,200630128,Oh,
140028,300,4833,Oh,
140028,300,9236,L+Of,
140028,900,200630127,L+Of,
140028,900,200630128,Oh,
140029,220,200630131,L+Of,
140029,220,200630132,Oh,
140029,300,1700,Oh,
140029,300,3806,L+Of,
140029,900,200630131,L+Of,
140029,900,200630132,Oh,
140030,220,200630138,L+Of,
140030,220,200630139,Oh,
140030,300,5242,Oh,
140030,300,8976,L+Of,
140030,900,200630138,L+Of,
140030,900,200630139,Oh,
140031,220,200630133,L+Of,
140031,220,200630134,Oh,
140031,300,4872,L+Of,
140031,300,541,Oh,
140031,900,200630133,L+Of,
140031,900,200630134,Oh,
140032,220,200630145,L+Of,
140032,220,200630146,Oh,
140032,300,2840,L+Of,
140032,300,5708,Oh,
140032,900,200630145,L+Of,
140032,900,200630146,Oh,
140033,220,200630109,L+Of,
140033,220,200630110,Oh,
140033,300,3323,L+Of,
140033,300,5817,Oh,
140033,900,200630109,L+Of,
140033,900,200630110,Oh,
140034,220,200630113,L+Of,
140034,220,200630114,Oh,
140034,300,5281,L+Of,
140034,300,7448,Oh,
140034,900,200630113,L+Of,
140034,900,200630114,Oh,
140035,220,200630117,L+Of,
140035,220,200630118,Oh,
140035,300,3849,Oh,
140035,300,4034,L+Of,
140035,900,200630117,L+Of,
140035,900,200630118,Oh,
140036,220,200630119,L+Of,
140036,220,200630120,Oh,
140036,300,8038,L+Of,
140036,300,9518,Oh,
140036,900,200630119,L+Of,
140036,900,200630120,Oh,
140037,220,200630115,L+Of,
140037,220,200630116,Oh,
140037,300,3885,Oh,
140037,300,8906,L+Of,
140037,900,200630115,L+Of,
140037,900,200630116,Oh,
140038,220,200630099,L+Of,
140038,220,200630100,Oh,
140038,300,4392,Oh,
140038,300,6981,L+Of,
140038,900,200630100,Oh,
140039,220,200630090,L+Of,
140039,220,200630091,Oh,
140039,300,4154,Oh,
140039,300,418,L+Of,
140039,900,200630090,L+Of,
140039,900,200630091,Oh,
140040,220,200630078,L+Of,
140040,220,200630079,Oh,
140040,300,2903,L+Of,
140040,300,8484,Oh,
140040,900,200630078,L+Of,
140040,900,200630079,Oh,
140041,220,200630080,L+Of,
140041,220,200630081,Oh,
140041,300,2424,Oh,
140041,300,6983,L+Of,
140041,900,200630080,L+Of,
140041,900,200630081,Oh,
140042,220,200630055,L+Of,
140042,220,200630056,Oh,
140042,300,5599,L+Of,
140042,300,9966,Oh,
140042,900,200630055,L+Of,
140042,900,200630056,Oh,
140043,220,200630084,L+Of,
140043,220,200630085,Oh,
140043,300,4952,Oh,
140043,300,7449,L+Of,
140043,900,200630084,L+Of,
140043,900,200630085,Oh,
140044,220,200630051,L+Of,
140044,220,200630052,Oh,
140044,300,1052,L+Of,
140044,300,4068,Oh,
140044,900,200630051,L+Of,
140044,900,200630052,Oh,
140045,220,200630049,L+Of,
140045,220,200630050,Oh,
140045,300,5846,Oh,
140045,300,6056,L+Of,
140045,900,200630049,L+Of,
140045,900,200630050,Oh,
140046,220,200630082,L+Of,
140046,220,200630083,Oh,
140046,300,1130,L+Of,
140046,300,9960,Oh,
140046,900,200630082,L+Of,
140046,900,200630083,Oh,
140047,220,200630053,L+Of,
140047,220,200630054,Oh,
140047,300,4756,L+Of,
140047,300,5643,Oh,
140047,900,200630053,L+Of,
140047,900,200630054,Oh,
140048,220,200630076,L+Of,
140048,220,200630077,Oh,
140048,300,2980,Oh,
140048,300,8772,L+Of,
140048,900,200630076,L+Of,
140048,900,200630077,Oh,
140049,220,200630059,L+Of,
140049,220,200630060,Oh,
140049,300,4515,Oh,
140049,300,707600,L+Of,
140049,900,200630059,L+Of,
140049,900,200630060,Oh,
140050,220,200630070,L+Of,
140050,220,200630071,Oh,
140050,300,1106,L+Of,
140050,300,3515,Oh,
140050,900,200630070,L+Of,
140050,900,200630071,Oh,
140051,220,200630061,L+Of,
140051,220,200630062,Oh,
140051,300,519,Oh,
140051,300,9969,L+Of,
140051,900,200630061,L+Of,
140051,900,200630062,Oh,
140052,220,200630063,L+Of,
140052,220,200630064,Oh,
140052,300,1354,Oh,
140052,300,9841,L+Of,
140052,900,200630063,L+Of,
140052,900,200630064,Oh,
140053,220,200630072,L+Of,
140053,220,200630073,Oh,
140053,300,5273,L+Of,
140053,300,82,Oh,
140053,900,200630072,L+Of,
140053,900,200630073,Oh,
140054,220,200630183,L+Of,
140054,220,200630184,Oh,
140054,300,1551,Oh,
140054,300,5968,L+Of,
140054,900,200630183,L+Of,
140054,900,200630184,Oh,
140055,220,200630092,L+Of,
140055,220,200630093,Oh,
140055,300,1883,L+Of,
140055,300,5660,Oh,
140055,900,200630093,Oh,
140056,220,200630088,L+Of,
140056,220,200630089,Oh,
140056,300,2417,L+Of,
140056,300,2983,Oh,
140056,900,200630089,Oh,
140056,900,200630156,L+Of,
140057,220,200630101,L+Of,
140057,220,200630102,Oh,
140057,300,1461,Oh,
140057,300,9069,L+Of,
140057,900,200630101,L+Of,
140057,900,200630102,Oh,
140058,220,200630086,L+Of,
140058,220,200630087,Oh,
140058,300,6312,L+Of,
140058,300,6499,Oh,
140058,900,200630086,L+Of,
140058,900,200630087,Oh,
140059,220,200630180,L+Of,
140059,220,200630181,Oh,
140059,300,6497,L+Of,
140059,300,8679,Oh,
140059,900,200630180,L+Of,
140059,900,200630181,Oh,
140060,220,200630175,L+Of,
140060,220,200630176,Oh,
140060,300,2324,L+Of,
140060,300,7120,Oh,
140060,900,200630175,L+Of,
140060,900,200630176,Oh,
140061,220,200630167,L+Of,
140061,220,200630168,Oh,
140061,300,1430,L+Of,
140061,300,7234,Oh,
140061,900,200630167,L+Of,
140061,900,200630168,Oh,
140062,220,200630151,L+Of,
140062,220,200630152,Oh,
140062,300,520,Oh,
140062,300,8729,L+Of,
140062,900,200630151,L+Of,
140062,900,200630152,Oh,
140063,220,200630149,L+Of,
140063,220,200630150,Oh,
140063,300,4893,L+Of,
140063,300,6969,Oh,
140063,900,200630149,L+Of,
140063,900,200630150,Oh,
140064,220,200630147,L+Of,
140064,220,200630148,Oh,
140064,300,2391,Oh,
140064,300,3924,L+Of,
140064,900,200630147,L+Of,
140064,900,200630148,Oh,
140065,220,200630156,L+Of,
140065,220,200630157,Oh,
140065,300,2520,L+Of,
140065,300,9464,Oh,
140065,900,200630157,Oh,
140066,220,200630165,L+Of,
140066,220,200630166,Oh,
140066,300,1328,Oh,
140066,300,808700,L+Of,
140066,900,200630165,L+Of,
140066,900,200630166,Oh,
140067,220,200630163,L+Of,
140067,220,200630164,Oh,
140067,300,2794,L+Of,
140067,300,8194,Oh,
140067,900,200630163,L+Of,
140067,900,200630164,Oh,
140068,220,200630169,L+Of,
140068,220,200630170,Oh,
140068,300,6225,L+Of,
140068,300,7039,Oh,
140068,900,200630169,L+Of,
140068,900,200630170,Oh,
140089,220,200630231,L+Of,
140089,220,200630232,Oh,
140089,300,2564,Oh,
140089,300,8020,L+Of,
140089,900,200630231,L+Of,
140089,900,200630232,Oh,
140102,220,200630238,L+Of,
140102,220,200630239,Of,
140102,300,1694,Oh,
140102,300,2884,L+Of,
140102,900,200630238,L+Of,
140102,900,200630239,Of,
140175,220,200630123,L+Of,
140175,220,200630124,Oh,
140175,300,7307,L+Of,
140175,300,8929,Oh,
140175,900,200630123,L+Of,
140175,900,200630124,Oh,
140187,220,200630094,L+Of,
140187,220,200630095,Oh,
140187,300,114,L+Of,
140187,300,8731,Oh,
140187,900,200630094,L+Of,
140187,900,200630095,Oh,
140234,220,200630065,L+Of,
140234,220,200630066,Oh,
140234,300,2461,L+Of,
140234,300,6164,Oh,
140234,900,200630065,L+Of,
140234,900,200630066,Oh,
140252,220,200630057,L+Of,
140252,220,200630058,Oh,
140252,300,5164,Oh,
140252,300,7787,L+Of,
140252,900,200630057,L+Of,
140252,900,200630058,Oh,
140254,220,200630174,L,
140254,300,3320,L+Of,
140254,300,5916,Oh,
140254,900,200630174,L,
140315,220,200630074,L+Of,
140315,220,200630075,Oh,
140315,300,8623,Oh,
140315,300,9024,L+Of,
140315,900,200630074,L+Of,
140315,900,200630075,Oh,
140316,220,200630182,L+Of,
140316,300,295,L+Of,
140316,300,9273,Oh,
140316,900,200630182,L+Of,
