bund_nr,datum,ort,b1,b2,ss,ks,ms,bos,ls
140020,2006-06-22,z,50.0,0.0,3.0,2.0,5.0,-9.0,-9.0
140021,2006-07-07,z,15.0,10.0,15.0,80.0,40.0,-9.0,-9.0
140022,2006-07-07,z,35.0,35.0,10.0,50.0,0.1,-9.0,-9.0
140023,2006-06-02,z,60.0,5.0,2.0,20.0,5.0,-9.0,-9.0
140024,2006-07-07,z,40.0,1.0,30.0,35.0,0.01,-9.0,-9.0
140025,2006-07-03,z,40.0,2.0,0.0,50.0,10.0,-9.0,-9.0
140026,2006-06-02,z,80.0,15.0,5.0,30.0,3.0,-9.0,-9.0
140027,2006-07-22,z,35.0,5.0,0.0,0.5,0.5,-9.0,-9.0
140028,2006-07-22,z,15.0,5.0,1.0,40.0,10.0,-9.0,-9.0
140029,2006-06-29,z,65.0,5.0,5.0,30.0,3.0,-9.0,-9.0
140030,2006-06-13,z,10.0,0.0,5.0,5.0,10.0,-9.0,-9.0
140031,2006-06-13,z,30.0,0.0,60.0,25.0,35.0,-9.0,-9.0
140032,2006-06-13,z,45.0,50.0,2.0,15.0,0.2,-9.0,-9.0
140033,2006-06-02,z,10.0,0.0,40.0,70.0,3.0,-9.0,-9.0
140033,2008-07-17,z,35.0,0.0,15.0,95.0,5.0,-9.0,-9.0
140034,2006-07-22,z,40.0,1.0,10.0,25.0,3.0,-9.0,-9.0
140035,2006-07-05,z,40.0,30.0,0.5,40.0,2.0,-9.0,-9.0
140036,2006-07-05,z,50.0,2.0,1.0,25.0,35.0,-9.0,-9.0
140037,2006-07-05,z,50.0,5.0,3.0,35.0,5.0,-9.0,-9.0
140038,2006-07-13,z,35.0,0.0,1.0,70.0,15.0,-9.0,-9.0
140039,2006-07-13,z,40.0,2.0,5.0,35.0,2.0,-9.0,-9.0
140040,2006-07-17,z,60.0,0.0,3.0,90.0,15.0,-9.0,-9.0
140041,2006-07-13,z,15.0,0.0,70.0,45.0,8.0,-9.0,-9.0
140042,2006-07-17,z,25.0,0.0,1.0,85.0,1.0,-9.0,-9.0
140043,2006-06-19,z,80.0,2.0,2.0,10.0,1.0,-9.0,-9.0
140044,2006-07-17,z,35.0,10.0,1.0,35.0,15.0,-9.0,-9.0
140045,2006-07-17,z,65.0,5.0,0.0,15.0,5.0,-9.0,-9.0
140046,2006-07-26,z,40.0,0.5,0.5,5.0,5.0,-9.0,-9.0
140047,2006-07-26,z,10.0,25.0,40.0,20.0,25.0,-9.0,-9.0
140048,2006-07-26,z,40.0,2.0,0.5,30.0,10.0,-9.0,-9.0
140049,2006-07-19,z,60.0,0.0,1.0,10.0,15.0,-9.0,-9.0
140050,2006-07-19,z,40.0,0.0,2.0,5.0,20.0,-9.0,-9.0
140051,2006-07-19,z,45.0,0.0,20.0,70.0,15.0,-9.0,-9.0
140052,2006-07-19,z,40.0,5.0,0.5,30.0,50.0,-9.0,-9.0
140053,2006-07-11,z,40.0,10.0,1.0,60.0,15.0,-9.0,-9.0
140054,2006-07-26,z,55.0,0.0,10.0,2.0,10.0,-9.0,-9.0
140055,2006-06-02,z,60.0,2.0,2.0,40.0,1.0,-9.0,-9.0
140056,2006-06-19,z,65.0,15.0,10.0,50.0,0.5,-9.0,-9.0
140057,2006-07-11,z,40.0,2.0,0.2,10.0,2.0,-9.0,-9.0
140058,2006-06-19,z,65.0,20.0,5.0,3.0,25.0,-9.0,-9.0
140059,2006-06-16,z,50.0,10.0,15.0,40.0,17.0,-9.0,-9.0
140060,2006-05-29,z,35.0,25.0,25.0,90.0,1.0,-9.0,-9.0
140060,2008-07-19,z,70.0,50.0,80.0,80.0,0.5,-9.0,-9.0
140061,2006-05-29,z,25.0,0.1,10.0,80.0,0.01,-9.0,-9.0
140062,2006-06-07,z,35.0,0.0,35.0,40.0,20.0,-9.0,-9.0
140063,2006-06-07,z,15.0,2.0,2.0,60.0,40.0,-9.0,-9.0
140064,2006-06-07,z,40.0,0.0,0.01,5.0,5.0,-9.0,-9.0
140065,2006-06-07,z,15.0,2.0,5.0,50.0,40.0,-9.0,-9.0
140066,2006-05-29,z,65.0,15.0,0.01,1.0,3.0,-9.0,-9.0
140067,2006-05-29,z,35.0,30.0,10.0,35.0,1.0,-9.0,-9.0
140068,2006-06-16,z,70.0,1.0,0.0,0.01,0.0,-9.0,-9.0
140089,2006-06-20,z,25.0,0.0,0.2,70.0,30.0,-9.0,-9.0
140102,2006-06-20,z,40.0,5.0,15.0,60.0,2.0,-9.0,-9.0
140175,2006-07-05,z,65.0,15.0,1.0,50.0,0.5,-9.0,-9.0
140187,2006-07-13,z,35.0,3.0,5.0,50.0,0.2,-9.0,-9.0
140187,2008-07-18,z,65.0,5.0,15.0,55.0,0.5,-9.0,-9.0
140234,2006-07-11,z,50.0,2.0,0.1,25.0,35.0,-9.0,-9.0
140234,2008-07-18,z,70.0,5.0,0.5,30.0,60.0,-9.0,-9.0
140252,2006-07-11,z,50.0,0.0,1.0,20.0,1.0,-9.0,-9.0
140254,2006-06-16,z,5.0,10.0,60.0,45.0,10.0,-9.0,-9.0
140315,2006-07-11,z,40.0,25.0,2.0,30.0,2.0,-9.0,-9.0
140316,2006-06-16,z,50.0,10.0,20.0,95.0,0.2,-9.0,-9.0
