bund_nr,pk_nr,pk_richtung,pk_dist,pk_aufnahme,pk_maxdist
140252,1,n,1000,1,-9
140252,2,o,1000,1,-9
140252,3,s,1000,1,-9
140252,4,w,1000,1,-9
140254,1,n,1000,1,-9
140254,2,o,1000,1,-9
140254,3,sw,500,1,-9
140254,4,w,1000,1,-9
140315,1,n,1000,1,-9
140315,2,o,1000,1,-9
140315,3,s,1000,1,-9
140315,4,w,1000,1,-9
140316,1,n,1000,2,-9
140316,2,o,1000,1,-9
140316,3,s,1000,1,-9
140316,4,w,1000,2,-9
