bund_nr,ort,b1,b2,ss,ks,ms,bos,ls
50052,z,95.0,0.0,5.0,35.0,1.0,-9.0,-9.0
50053,z,80.0,0.0,0.1,4.0,0.1,-9.0,-9.0
50054,z,75.0,0.0,15.0,40.0,1.0,-9.0,-9.0
50054,z,60.0,0.0,35.0,30.0,1.0,-9.0,-9.0
50055,z,90.0,5.0,0.1,1.0,0.1,-9.0,-9.0
50056,z,85.0,2.0,0.1,20.0,2.0,-9.0,-9.0
50056,z,90.0,3.0,0.1,15.0,1.0,-9.0,-9.0
50057,z,80.0,0.0,15.0,25.0,1.0,-9.0,-9.0
50058,z,95.0,20.0,0.0,100.0,0.0,-9.0,-9.0
50059,z,70.0,0.1,10.0,10.0,1.0,-9.0,-9.0
50060,z,0.0,0.0,10.0,90.0,0.0,-9.0,-9.0
50061,z,95.0,0.1,0.0,0.0,0.1,-9.0,-9.0
50062,z,0.0,0.0,90.0,25.0,4.0,-9.0,-9.0
50063,z,100.0,0.0,15.0,95.0,0.0,-9.0,-9.0
50064,z,100.0,0.0,0.5,5.0,1.0,-9.0,-9.0
50065,z,35.0,0.0,10.0,20.0,1.0,-9.0,-9.0
50066,z,75.0,0.7,0.0,3.0,4.0,-9.0,-9.0
50067,z,90.0,3.0,0.0,0.1,0.0,-9.0,-9.0
50068,z,85.0,5.0,0.0,0.1,0.1,-9.0,-9.0
50069,z,90.0,50.0,0.0,95.0,0.0,-9.0,-9.0
50070,z,50.0,0.0,0.5,50.0,20.0,-9.0,-9.0
50071,z,60.0,0.0,0.0,3.0,2.0,-9.0,-9.0
50072,z,75.0,0.0,0.0,8.0,25.0,-9.0,-9.0
50073,z,85.0,0.0,0.0,1.0,0.1,-9.0,-9.0
50074,z,90.0,0.0,0.0,0.0,0.1,-9.0,-9.0
50075,z,90.0,0.0,0.0,0.1,0.1,-9.0,-9.0
50076,z,80.0,0.0,0.0,0.1,1.0,-9.0,-9.0
50077,z,90.0,60.0,0.0,95.0,0.0,-9.0,-9.0
50078,z,1000.0,0.0,0.0,15.0,60.0,-9.0,-9.0
50079,z,75.0,0.0,0.0,0.1,5.0,-9.0,-9.0
50080,z,80.0,0.0,5.0,35.0,55.0,-9.0,-9.0
50080,z,30.0,0.0,20.0,30.0,70.0,-9.0,-9.0
50081,z,80.0,0.0,0.1,5.0,35.0,-9.0,-9.0
50082,z,70.0,0.0,0.0,15.0,4.0,-9.0,-9.0
50083,z,80.0,0.0,0.0,0.1,5.0,-9.0,-9.0
50084,z,30.0,0.0,0.1,5.0,2.0,-9.0,-9.0
50085,z,80.0,0.0,0.0,2.0,1.0,-9.0,-9.0
50086,z,90.0,15.0,0.0,0.0,0.1,-9.0,-9.0
50086,z,80.0,30.0,0.0,0.5,0.5,-9.0,-9.0
50087,z,90.0,100.0,5.0,80.0,0.0,-9.0,-9.0
50087,z,35.0,80.0,10.0,35.0,0.1,-9.0,-9.0
50088,z,40.0,55.0,0.0,1.0,1.0,-9.0,-9.0
50089,z,75.0,0.0,35.0,55.0,0.0,-9.0,-9.0
50090,z,65.0,0.0,0.0,0.0,1.0,-9.0,-9.0
50091,z,70.0,0.0,0.0,0.1,15.0,-9.0,-9.0
50092,z,80.0,0.0,0.0,2.5,0.1,-9.0,-9.0
50093,z,50.0,0.0,85.0,0.1,0.1,-9.0,-9.0
50094,z,90.0,0.0,0.0,0.1,0.1,-9.0,-9.0
50095,z,60.0,0.0,0.0,15.0,2.0,-9.0,-9.0
50096,z,70.0,2.0,0.0,2.0,2.0,-9.0,-9.0
50097,z,80.0,2.0,2.0,60.0,0.1,-9.0,-9.0
50098,z,0.0,0.0,90.0,3.0,2.0,-9.0,-9.0
50099,z,95.0,4.0,0.0,0.1,0.1,-9.0,-9.0
50100,z,55.0,2.0,0.0,0.1,0.1,-9.0,-9.0
50101,z,80.0,0.0,0.0,2.0,14.0,-9.0,-9.0
50102,z,90.0,0.0,0.0,95.0,0.0,-9.0,-9.0
50103,z,80.0,0.0,0.0,0.1,0.1,-9.0,-9.0
50104,z,95.0,2.0,0.0,0.1,0.1,-9.0,-9.0
50105,z,90.0,12.0,0.0,1.0,0.1,-9.0,-9.0
50106,z,90.0,0.0,0.0,1.0,0.1,-9.0,-9.0
50107,z,70.0,0.0,3.0,90.0,3.0,-9.0,-9.0
50108,z,65.0,20.0,5.0,10.0,0.1,-9.0,-9.0
50109,z,70.0,20.0,0.0,0.0,0.0,-9.0,-9.0
50110,z,40.0,0.0,15.0,55.0,30.0,-9.0,-9.0
50110,z,40.0,0.0,25.0,50.0,40.0,-9.0,-9.0
50111,z,90.0,3.0,0.0,0.1,0.1,-9.0,-9.0
50112,z,70.0,0.0,0.0,0.1,10.0,-9.0,-9.0
50113,z,80.0,1.0,0.1,95.0,1.0,-9.0,-9.0
50114,z,20.0,80.0,0.1,0.1,0.1,-9.0,-9.0
50115,z,35.0,0.0,30.0,70.0,0.1,-9.0,-9.0
50116,z,85.0,10.0,1.0,20.0,0.1,-9.0,-9.0
50117,z,70.0,4.0,0.0,2.0,2.0,-9.0,-9.0
50118,z,100.0,10.0,10.0,80.0,0.0,-9.0,-9.0
50119,z,90.0,0.0,1.0,55.0,0.1,-9.0,-9.0
50120,z,25.0,0.0,3.0,80.0,20.0,-9.0,-9.0
50121,z,65.0,60.0,0.1,20.0,1.0,-9.0,-9.0
50122,z,40.0,0.0,80.0,10.0,5.0,-9.0,-9.0
50123,z,85.0,0.0,0.0,2.0,0.1,-9.0,-9.0
50124,z,15.0,90.0,0.1,0.1,0.1,-9.0,-9.0
50125,z,50.0,5.0,40.0,60.0,30.0,-9.0,-9.0
50126,z,20.0,90.0,0.0,45.0,0.1,-9.0,-9.0
50127,z,90.0,2.0,2.0,2.0,0.1,-9.0,-9.0
50128,z,90.0,0.0,0.0,0.1,0.1,-9.0,-9.0
50129,z,85.0,0.0,0.0,3.0,3.0,-9.0,-9.0
50130,z,15.0,95.0,0.1,0.1,0.1,-9.0,-9.0
50131,z,7.0,75.0,15.0,3.0,2.0,-9.0,-9.0
50132,z,30.0,60.0,1.0,6.0,2.0,-9.0,-9.0
50132,z,70.0,10.0,3.0,15.0,1.0,-9.0,-9.0
50133,z,80.0,5.0,1.0,35.0,0.1,-9.0,-9.0
50134,z,2.0,55.0,0.0,0.1,0.1,-9.0,-9.0
50135,z,85.0,0.0,0.0,6.0,25.0,-9.0,-9.0
