bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
50019,2,15,,5YR4/4,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50019,15,30,,5YR4/4,h0,c0,ed,f3,r0,-2,sub,gre3,-1,wf3,wg0,g
50019,30,50,,5YR4/3,h0,c0,eh,f3,rb,f3,pol,gre3,-1,wf2,wg0,g
50019,50,90,True,5YR4/2,h0,c0,eh,f3,rb,f2,pol,gre3,-1,wf1,wg0,g
50020,0,30,,7.5YR3/2,h5,c2,e0,-2,r0,-2,kru,gre4,-1,wf5,wg0,g
50020,30,60,,10YR4/4,h3,c3,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50020,60,100,True,10YR4/4,h2,c5,e0,-2,r0,-2,sub,gre3,-1,wf2,wg0,g
50021,0,3,,10YR2/2,h5,c3,e0,-2,r0,-2,kru,gre2,-1,wf5,wg0,g
50021,3,30,,10YR3/2,h5,c4,e0,-2,r0,-2,kru,gre2,-1,wf5,wg0,g
50021,30,60,,10YR3/4,h3,c4,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50021,60,70,True,2.5Y6/2,h0,c6,e0,-2,r0,-2,-1,-1,-1,wf1,wg0,k
50022,0,5,,10YR3/1,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50022,5,18,,10YR6/6,h1,c0,ed,f2,r0,-2,sub,gre2,-1,wf3,wg0,g
50022,18,35,,7.5YR6/4,h0,c0,e,f3,r,f4,sub,gre2,-1,wf2,wg0,g
50022,35,50,,5YR5/6,h0,c0,e,f3,r,f4,sub,gre3,-1,wf2,wg0,g
50022,50,90,,2.5YR3/3,h0,c0,e,f4,rb,f2,pol,gre3,-1,wf2,wg0,u
50022,90,140,True,2.5YR3/3,h0,c0,e0,-2,rb,f2,pol,gre3,-1,wf1,wg0,u
50023,0,3,,10YR2/1,h3,c0,e0,-2,r0,-2,sub,gre3,-1,wf5,wg0,g
50023,3,30,,10YR5/4,h2,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50023,30,60,,10YR6/4,h0,c0,ed,f1,r,f4,sub,gre2,t;-9,wf2,wg0,g
50023,60,80,,10YR6/2,h0,c0,e0,-2,r0,-2,sub,gre2,t;-9,wf0,wg0,z
50023,80,85,True,-1,h0,c0,-1,-1,-1,-1,-1,-1,-1,wf0,wg0,z
50024,0,20,,7.5YR3/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50024,20,36,,5YR5/2,h3,c0,e0,-2,rb,f3,sub,gre2,-1,wf2,wg0,g
50024,36,60,,10YR6/4,h1,c0,eh,f4,r0,-2,sub,gre2,-1,wf1,wg0,g
50024,60,73,,2.5Y7/2,h0,c0,eh,f4,r0,-2,sub,gre2,-1,wf1,wg0,g
50024,73,130,,10YR7/3,h0,c0,eh,f4,rb,f7,sub,gre2,-1,wf1,wg0,g
50024,130,132,,10YR3/4,h3,c0,eh,f2,r,f2,sub,gre2,-1,wf1,wg0,g
50024,132,170,,2.5Y6/2,h0,c0,eh,f1,rb,f7,koh,-1,-1,wf1,wg0,g
50025,0,15,,10YR4/1,h3,c0,e0,-2,rb,f2,ein,-1,-1,wf4,wg0,g
50025,15,30,,10YR7/2,h1,c0,eh,f1,rb,f3,ein,-1,-1,wf3,wg0,g
50025,30,60,,10YR7/1,h1,c0,eh,f1,rb,f4,ein,-1,-1,wf1,wg0,g
50025,60,75,,7.5YR6/8,h0,c0,eh,f4,rb,f5,sub,gre3,-1,wf1,wg0,g
50025,75,140,,5GY6/1,h0,c0,eh,f5,rg,f4,pol,gre3,-1,wf1,wg0,k
50025,140,200,True,5GY6/1,h0,c0,e0,-2,r,f8,sub,gre3,-1,wf1,wg0,g
50026,0,20,,10YR3/1,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50026,20,25,,7.5YR4/2,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50026,25,70,,10YR5/6,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50026,70,90,,10YR5/6,h0,c0,eh,f2,rb,f2,sub,gre2,-1,wf2,wg0,g
50026,90,110,,2.5Y7/2,h0,c0,eh,f4,rb,f5,sub,gre2,-1,wf2,wg0,g
50026,110,200,,5Y7/2,h0,c0,eh,f5,rb,f5,sub,gre2,-1,wf1,wg0,g
50027,0,7,,2.5Y8/2,h5,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,g
50027,7,12,,2.5Y8/2,h1,c0,e0,-2,rb,f4,sub,gre2,-1,wf1,wg0,g
50027,12,30,,7.5YR3/2,h2,c0,eh,f1,rb,f7,sub,gre2,-1,wf1,wg0,g
50027,30,50,,2.5Y8/2,h0,c0,eh,f6,rb,f6,koh,gre2,-1,wf1,wg0,g
50027,50,140,,7.5YR5/8,h0,c0,eh,f6,rb,f6,sub,gre2,-1,wf1,wg0,u
50027,140,280,True,5Y7/1,h0,c0,eh,f5,rb,f7,sub,gre2,-1,wf1,wg0,u
50028,0,10,,10YR3/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50028,10,20,,10YR5/4,h2,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50028,20,50,,10YR5/6,h0,c0,e,f5,r,f2,sub,gre3,-1,wf3,wg0,g
50028,50,65,,10YR5/4,h0,c0,e,f5,r,f2,sub,gre3,-1,wf2,wg0,g
50028,65,90,True,10YR6/4,h0,c0,e,f5,r,f5,pol,gre2,-1,wf1,wg0,u
50029,0,1,,10YR4/2,h3,c1,e0,-2,r0,-2,bro,gre5,-1,wf4,wg0,u
50029,1,25,,10YR4/4,h2,c1,e0,-2,r0,-2,klu,gra3,-1,wf2,wg0,u
50029,25,90,,7.5YR4/4,h0,c1,e0,-2,r0,-2,klu,gra3,-1,wf1,wg0,u
50029,90,120,True,5YR4/6,h0,c1,e0,-2,r0,-2,ein,-1,-1,wf1,wg0,u
50030,0,8,,7.5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre4,-1,wf4,wg0,g
50030,8,35,,10YR7/6,h1,c0,e0,-2,r0,-2,sub,gre4,-1,wf1,wg0,g
50030,35,60,,10YR6/3,h0,c0,e0,-2,r0,-2,sub,gre4,-1,wf0,wg0,g
50030,60,100,True,-1,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50031,0,10,,7.5YR3/2,h3,c0,e0,-2,rb,f2,sub,gre2,-1,wf2,wg0,g
50031,10,30,,10YR7/2,h0,c0,eh,f2,r,f2,sub,gre2,-1,wf1,wg0,g
50031,30,65,,7.5YR5/8,h0,c0,e0,-2,rb,f5,pol,gre3,-1,wf1,wg0,g
50031,65,90,,2.5Y6/2,h0,c0,eh,f4,rb,f4,pol,gre3,-1,wf1,wg0,g
50031,90,120,,5Y5/2,h0,c0,eh,f2,rg,f5,pol,gre3,-1,wf1,wg0,g
50031,120,160,,5Y5/2,h0,c3,e0,-2,r,f8,pol,gre3,-1,wf0,wg0,z
50032,0,10,,10YR3/2,h3,c0,es,f2,rs,f2,sub,gre2,-1,wf4,wg0,g
50032,10,20,,10YR4/2,h2,c0,e,f2,rs,f2,sub,gre2,-1,wf3,wg0,g
50032,20,32,,10YR7/2,h0,c0,e,f4,r,f7,sub,gre2,-1,wf2,wg0,g
50032,32,50,,7.5YR5/6,h0,c0,e,f7,r,f4,sub,gre2,-1,wf2,wg0,g
50032,50,65,,7.5YR5/6,h0,c0,e,f7,r,f2,pol,gre3,-1,wf1,wg0,g
50032,65,85,,7.5YR5/6,h0,c0,e,f7,r,f2,pol,gre3,-1,wf0,wg0,z
50032,85,105,True,5YR5/6,h0,c0,e,f7,r,f2,pol,gre3,-1,wf0,wg0,z
50033,0,35,,7.5YR4/3,h4,c3,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50033,35,55,,10YR4/6,h3,c3,e0,-2,r0,-2,sub,gre3,-1,wf2,wg0,g
50033,55,150,,7.5YR4/4,h3,c3,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50033,150,180,True,7.5YR4/4,h3,c3,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,g
50034,0,4,,7.5YR3/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50034,4,30,,10YR6/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50034,30,47,,10YR5/6,h1,c0,e,f2,r,f1,sub,gre2,-1,wf4,wg0,g
50034,47,70,,10YR5/6,h0,c0,e,f1,rb,f5,pol,gre3,-1,wf3,wg0,g
50034,70,115,,7.5YR4/6,h0,c0,ed,f6,rb,f5,pol,gre3,-1,wf2,wg0,g
50034,115,140,,7.5YR5/6,h0,c0,ed,f6,rb,f4,pol,gre4,-1,wf1,wg0,g
50034,140,170,True,7.5YR5/6,h0,c0,ed,f6,rb,f4,pol,gre3,-1,wf1,wg0,g
50035,0,10,,10YR2/1,h4,c0,e0,-2,r0,-2,ein,-1,oh,wf4,wg0,g
50035,10,30,,7.5YR3/1,h3,c0,e0,-2,r0,-2,ein,-1,-1,wf1,wg0,g
50035,30,45,,5YR3/2,h3,c0,e0,-2,r0,-2,kit,gre2,-1,wf2,wg0,u
50035,45,60,,5YR3/1,h2,c0,eh,f5,rb,f6,ein,-1,-1,wf1,wg0,g
50035,60,75,,10YR8/1,h0,c0,eh,f5,rb,f6,ein,-1,-1,wf1,wg0,g
