bund_nr,ld_bze,bwi_tnr,bwi_eck,datum,srid_ist,istre,istho,beart,besttyp,struktur,mischung,beschreibungbestockung
140040,184,,,1970-01-01,31468,4570300,5591700,1,1,1,1,Frisch durchforstet
140041,186,,,1970-01-01,31468,4578500,5599550,1,1,1,1,
140042,191,,,1970-01-01,31468,4562800,5608000,1,1,1,1,
140043,194,,,1970-01-01,31468,4554800,5608250,1,6,1,3,"keine Bodebgrube mehr  vorhanden. 
Messung bei Pinnoccio 2 (Zentralbaum Nr. 194 bzw. WZE Nr. 19 Rbu  Entfernung 324cm Azimut 135gon)"
140044,198,,,1970-01-01,31468,4562200,5592000,1,1,1,1,
140045,200,,,1970-01-01,31468,4554200,5592300,1,1,1,2,
140046,205,,,1970-01-01,31468,4546500,5600550,1,1,1,3,
140047,209,,,1970-01-01,31468,4546200,5592500,1,1,2,1,
140048,212,,,1970-01-01,31468,4538250,5592800,1,1,1,3,
140049,218,,,1970-01-01,31468,4530000,5585000,1,1,1,1,
140050,228,,,1970-01-01,31468,4529800,5577000,1,1,1,2,noch nicht aufgearbeiteter Schnebruch/-wurf aus Winter 2010/2011
140051,231,,,1970-01-01,31468,4521400,5561300,1,1,1,1,
140052,233,,,1970-01-01,31468,4521800,5577200,1,1,1,2,
140053,242,,,1970-01-01,31468,4514350,5593450,1,6,1,3,
140054,243,,,1970-01-01,31468,4588000,5655150,1,1,1,2,
140055,248,,,1970-01-01,31468,4587700,5639200,1,1,1,3,
140056,250,,,1970-01-01,31468,4555200,5624200,1,1,1,7,
140057,252,,,1970-01-01,31468,4555500,5632200,1,1,1,2,
140058,255,,,1970-01-01,31468,4547500,5632500,1,1,1,2,
140059,263,,,1970-01-01,31468,4556700,5672100,1,7,4,4,
140060,269,,,1970-01-01,31468,4540900,5680700,1,8,2,2,
140061,272,,,1970-01-01,31468,4549200,5688450,1,2,1,2,
140062,280,,,1970-01-01,31468,4557900,5712100,1,2,1,1,
140063,283,,,1970-01-01,31468,4550100,5720300,1,2,1,1,
140064,284,,,1970-01-01,31468,4542100,5720500,1,2,1,1,
140065,290,,,1970-01-01,31468,4573600,5703600,1,8,1,2,
140066,302,,,1970-01-01,31468,4565000,5687950,1,1,1,3,
140067,303,,,1970-01-01,31468,4573000,5687650,1,2,1,2,
140068,305,,,1970-01-01,31468,4572400,5663600,1,1,1,1,
140089,30,,,1970-01-01,31468,4677211,5692424,1,2,1,1,
140102,45,,,1970-01-01,31468,4693247,5692028,1,2,2,4,
140175,157,,,1970-01-01,31468,4627348,5630027,1,1,1,2,
140187,170,,,1970-01-01,31468,4587000,5615200,1,1,1,3,
140234,237,,,1970-01-01,31468,4522100,5585250,1,1,1,3,
140252,262,,,1970-01-01,31468,4530850,5609050,1,1,1,1,
140254,265,,,1970-01-01,31468,4548450,5664350,1,8,3,3,
140315,315,,,1970-01-01,31468,4522310,5593240,1,6,1,3,
140316,316,,,1970-01-01,31468,4556200,5656215,1,5,1,2,
140317,-9,,,1970-01-01,-9,-9,-9,-9,-9,-9,-9,
