"","ID_pt","SP_P_ID","plot_ID","loc_name","state","date","CCS_nr","t_ID","st_ID","pieces","SP_nr","SP_code","C_layer","Kraft","age","age_m","DBH_mm","DBH_h_cm","DBH_p_mm","DBH_class","H_dm","CH_dm","azimut_g","azimut_d","dist_m","H_m","DBH_cm","BA_m2","plot_A_ha","Chr_code_ger","bot_name","H_SP_group","BWI_SP_group","LH_NH","BWI","Bio_SP_group","N_SP_group","N_bg_SP_group","tpS_SP_com_name","tpS_ID","R2.x","R2.y","H_g","mean_DBH_mm","D_g","R2_comb","H_method","HD_value","H_g_top","D_03_cm","DBH_h_m","aB_kg_GHG","bg","ag","f","fw","sw","swb","stw","stwb","total"
"33","3330033","33300SER",33300,"Buchenhorst","MV","","",33,NA,0,511,"SER",1,"2",NA,1,193,130,NA,3,173,125,119,"233",210,17.3,19.3,0.0292552961883916,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",89.6373056994819,17.62,16.2224522429076,1.3,102.303276908945,0.119870817431308,115.447163297668,3.71457831382419,28.6251100407672,78.1133536051036,6.02951182350393,2.51731932380265,0.161868504490718,115.567034115099
"34","3330034","33300SER",33300,"Buchenhorst","MV","","",34,NA,0,511,"SER",1,"1",NA,1,278,130,NA,5,188,121,51,"236",212,18.8,27.8,0.0606987116600084,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",67.6258992805755,17.62,23.3987389604702,1.3,228.954250671548,0.280244883613834,273.428378359037,8.35726335482287,61.6341739276442,191.368629691659,13.9694427157958,6.09521382055274,0.360918203385508,273.708623242651
"35","3330035","33300SER",33300,"Buchenhorst","MV","","",35,NA,0,511,"SER",1,"2",NA,1,196,130,NA,3,161,115,82,"236",212,16.1,19.6,0.0301718558450764,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",82.1428571428572,17.62,16.5633462446228,1.3,99.9820129500517,0.124249276348784,112.882518200135,4.11804965305801,30.1275215780206,74.4873526956576,5.69088840509221,2.42169420157972,0.155061319784372,113.006767476483
"36","3330036","33300SER",33300,"Buchenhorst","MV","","",36,NA,0,511,"SER",1,"4",NA,1,130,130,NA,2,123,103,109,"236",212,12.3,13,0.0132732289614169,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",94.6153846153846,17.62,10.9979428075118,1.3,37.2878161759922,0.0478422732144194,38.5497209552373,1.94151311946328,13.8270183462277,22.0333256292408,1.85016213093316,0.784220898364364,0.0549939504712928,38.5975632284518
"37","3330037","33300SER",33300,"Buchenhorst","MV","","",37,NA,0,511,"SER",1,"3",NA,1,151,130,NA,3,150,128,120,"240",216,15,15.1,0.0179078635236252,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",99.3377483443709,17.62,12.705775802961,1.3,57.1860373748468,0.0677518545450146,61.3671264409416,2.33068731568431,17.8639866424864,38.9635566210788,3.14704684358318,1.30398686979589,0.0885494639973386,61.4348782954867
"38","3330038","33300SER",33300,"Buchenhorst","MV","","",38,NA,0,511,"SER",1,"3",NA,1,161,130,NA,3,160,126,111,"249",224,16,16.1,0.0203583057934253,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",99.3788819875776,17.62,13.52650292629,1.3,67.8105889348134,0.0786412342163968,73.8421624031655,2.56783246189312,20.0360020773047,48.259554001045,3.85168771021062,1.58854312839397,0.106375486211184,73.9208036373819
"39","3330039","33300SER",33300,"Buchenhorst","MV","","",39,NA,0,511,"SER",1,"3",NA,1,170,130,NA,3,177,136,98,"254",229,17.7,17,0.0226980069221863,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",104.117647058824,17.62,14.2165367621607,1.3,81.2295107055739,0.0892415373362732,89.6554188356897,2.67259183315427,21.8261480605908,60.8920601342408,4.83962587878948,1.96733649015119,0.130248271917478,89.744660373026
"40","3330040","33300SER",33300,"Buchenhorst","MV","","",40,NA,0,511,"SER",1,"4",NA,1,132,130,NA,2,139,102,48,"262",236,13.9,13.2,0.0136847775990371,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",105.30303030303,17.62,11.0911938883494,1.3,42.0930438453401,0.0495695881870788,43.828728516408,1.80203611451468,13.9509854222387,26.6560027526835,2.2345646327597,0.922622146245431,0.0645535624807724,43.8782981045951
"41","3330041","33300SER",33300,"Buchenhorst","MV","","",41,NA,0,511,"SER",1,"2",NA,1,244,130,NA,4,173,119,28,"276",248,17.3,24.4,0.0467594650560305,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",70.9016393442623,17.62,20.6235895060133,1.3,164.425036953911,0.206844278807067,192.546395866026,6.56693225436992,47.4422324888492,130.966587182139,9.67658375999291,4.20470622337295,0.256286211671858,192.753240144833
"42","3330042","33300SER",33300,"Buchenhorst","MV","","",42,NA,0,511,"SER",1,"3",NA,1,164,130,NA,3,129,93,67,"279",251,12.9,16.4,0.0211240690027378,0.0500343869018386,"SEr","Alnus glutinosa","bu","aLn","LB","ERL","shw","ERL","BI","Alnus spp.",28,0.853179602971395,0.716254958485491,13.2083333333333,164.616666666667,17.3337099318063,0.853179602971395,"sampled",78.6585365853658,17.62,13.9788516763278,1.3,59.6913656888331,0.0820897184067102,64.7985827015226,3.26921509448904,21.7062138787479,38.6689940376822,3.0216909210579,1.31423528759711,0.0874485764374347,64.8806724199293
