"","plot_ID","SP_group","DW_type","D_mean","L_mean","B_tot_t","C_tot_t","N_tot_t","plot_A_ha","B_tot_t_ha","C_tot_t_ha","N_tot_t_ha","C_share","N_share","B_share"
"26",32010,1,5,11,10.7,0.0335836823129676,0.0167918411564838,0.000323817707727631,0.0500343869018386,0.671212028216807,0.335606014108404,0.00647190318056503,12.1743005245799,35.0662834790609,12.1743005245799
"27",32020,1,1,16.3333333333333,6.125,0.460197142338897,0.230098571169448,0.00113898792728877,0.0500343869018386,9.19761729551614,4.59880864775807,0.0227641028064024,94.8315963329182,87.647333342028,94.8315963329182
"28",32020,1,4,23.3333333333333,0.366666666666667,0.0250811405693831,0.0125405702846916,0.000160524429629236,0.0500343869018386,0.501278063396465,0.250639031698233,0.00320828213492783,5.1684036670818,12.3526666579719,5.1684036670818
"29",32050,1,1,11.4285714285714,5.01428571428571,0.0980442372499244,0.0490221186249622,0.000179224865692862,0.0500343869018386,1.95953709680255,0.979768548401275,0.00358203381295506,100,100,100
"30",32070,1,1,11.85,4.015,0.465502899631728,0.232751449815864,0.00115211967658853,0.0500343869018386,9.30365951210691,4.65182975605346,0.0230265572924646,81.8270174914694,64.9224568215087,81.8270174914694
"31",32070,1,3,15,3.425,0.0493084405306801,0.02465422026534,0.000145771883023952,0.0500343869018386,0.985491050932976,0.492745525466488,0.00291343398111259,8.66753489392449,8.21431052148628,8.66753489392449
"32",32070,1,4,16.6,0.74,0.0540752133286287,0.0270376066643143,0.000476717309173941,0.0500343869018386,1.08076098613375,0.540380493066875,0.00952779355744285,9.50544761460611,26.863232657005,9.50544761460611
"33",32080,1,1,9.97142857142857,2.73142857142857,0.245453026724052,0.122726513362026,0.000448688132851568,0.0500343869018386,4.90568670713606,2.45284335356803,0.00896759530064472,83.7104520844678,76.8070116606958,83.7104520844678
"34",32080,1,4,17.4615384615385,0.484615384615385,0.0477636751477505,0.0238818375738752,0.000135487872893456,0.0500343869018386,0.954616976549687,0.477308488274844,0.00270789513538493,16.2895479155322,23.1929883393042,16.2895479155322
"35",32080,4,1,23,0.2,NA,NA,NA,0.0500343869018386,NA,NA,NA,NA,NA,NA
"36",32080,4,4,16,0.8,NA,NA,NA,0.0500343869018386,NA,NA,NA,NA,NA,NA
"37",32090,1,1,11,5.95,0.556690689455009,0.278345344727505,0.00137780945640115,0.0500343869018386,11.1261619043553,5.56308095217764,0.0275372507132793,19.3950440345164,11.7658101196886,19.3950440345164
"38",32090,1,2,13.2857142857143,15.6892857142857,1.80021812153546,0.90010906076773,0.00839947396072332,0.0500343869018386,35.9796178789453,17.9898089394727,0.167874025861495,62.7194066656587,71.7273460912916,62.7194066656587
"39",32090,1,3,13,6.75333333333333,0.484706620317276,0.242353310158638,0.00154603627096512,0.0500343869018386,9.68746996477066,4.84373498238533,0.0308994746752519,16.8871267706642,13.202383767811,16.8871267706642
"40",32090,1,4,11.2857142857143,0.685714285714286,0.0286574511064134,0.0143287255532067,0.0003869615622899,0.0500343869018386,0.572755116648793,0.286377558324396,0.00773391234010865,0.998422529160709,3.3044600212088,0.998422529160709
