"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"76",76,76,166,"WDe","Eingriffeliger Weißdorn","Crataegus monogyna","Crataegus","monogyna","080.034.014","LB",90,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"77",77,77,167,"WDs","Weißdorn","Crataegus spp.","Crataegus","spp.","080.034.999.DL","LB",217,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"78",78,78,168,"HPa","Hybrid Pappel","Populus hybrides","Populus","hybrides","","LB",33,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI"
"79",79,79,199,"sLb","sonstige Laubbaeume","alii frons","alii","frons","999.999.001.DL","LB",99,30011,"SLB","WAHR","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"80",80,80,200,"Ta","Tanne","Abies spp.","Abies","spp.","026.001.999.DL","NB",198,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI"
"81",81,81,205,"JLa","Japanische Laerche","Larix kaempferi ","Larix","kaempferi ","026.005.001","NB",117,30012,"JLA","WAHR","Larix spp.",9,"lae","ki","ki","KI","LA"
"82",82,82,206,"Fi","Fichte","Picea spp.","Picea","spp.","026.004.999.DL","NB",199,30012,"FI","FALSCH","Picea abies",1,"fi","fi","fi","FI","FI"
"83",83,83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI"
"84",84,84,208,"SFi","Sitka-Fichte","Picea sitchensis","Picea","sitchensis","026.004.006","NB",120,30012,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI"
"85",85,85,209,"Ki","Kiefer","Pinus spp.","Pinus","spp.","026.007.999.DL","NB",199,30015,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"86",86,86,212,"Dgl","Douglasie","Pseudotsuga menziestii","Pseudotsuga","menziestii","026.002.001","NB",136,30012,"DGL","WAHR","Pseudotsuga menziesii",8,"dgl","fi","fi","FI","FI"
"87",87,87,213,"KiB","Bankskiefer","Pinus banksiana","Pinus","banksiana","026.007.004","NB",153,30012,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"88",88,88,214,"BKi","Bergkiefer","Pinus mugo","Pinus","mugo","026.007.008","NB",128,30012,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"89",89,89,215,"SZy","Scheinzypresse","Chamaecyparis lawsoniana","Chamaecyparis","lawsoniana","028.002.001","NB",140,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"90",90,90,216,"STa","Silbertanne","Abies concolor","Abies","concolor","","NB",199,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"91",91,91,217,"DKi","Drehkiefer","Pinus contorta","Pinus","contorta","026.007.001","NB",124,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
