bund_nr,ld_bze,bwi_tnr,bwi_eck,team,datum,srid_ist,istre,istho,hbi_status,beart,besttyp,struktur,schlussgrad_schi1,schlussgrad_schi2,mischung,pk1_aufnahme,pk2_aufnahme,pk3_aufnahme,geraet,beschreibungbestockung,anmerkung
140059,263,,,,1970-01-01,31468,4556700,5672100,-9,1,7,4,2,6,4,-9,-9,-9,-9,,
140060,269,,,,1970-01-01,31468,4540900,5680700,-9,1,8,2,2,5,2,-9,-9,-9,-9,,
140061,272,,,,1970-01-01,31468,4549200,5688450,-9,1,2,1,3,-9,2,-9,-9,-9,-9,,
140062,280,,,,1970-01-01,31468,4557900,5712100,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140063,283,,,,1970-01-01,31468,4550100,5720300,-9,1,2,1,4,-9,1,-9,-9,-9,-9,,
140064,284,,,,1970-01-01,31468,4542100,5720500,-9,1,2,1,1,-9,1,-9,-9,-9,-9,,
140065,290,,,,1970-01-01,31468,4573600,5703600,-9,1,8,1,2,-9,2,-9,-9,-9,-9,,
140066,302,,,,1970-01-01,31468,4565000,5687950,-9,1,1,1,2,-9,3,-9,-9,-9,-9,,
140067,303,,,,1970-01-01,31468,4573000,5687650,-9,1,2,1,3,-9,2,-9,-9,-9,-9,,
140068,305,,,,1970-01-01,31468,4572400,5663600,-9,1,1,1,1,-9,1,-9,-9,-9,-9,,
140089,30,,,,1970-01-01,31468,4677211,5692424,-9,1,2,1,2,-9,1,-9,-9,-9,-9,,
140102,45,,,,1970-01-01,31468,4693247,5692028,-9,1,2,2,2,3,4,-9,-9,-9,-9,,
140175,157,,,,1970-01-01,31468,4627348,5630027,-9,1,1,1,6,-9,2,-9,-9,-9,-9,,
140187,170,,,,1970-01-01,31468,4587000,5615200,-9,1,1,1,2,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite: 2,60m; 100 GON
WZEZ: Baum 7"
140234,237,,,,1970-01-01,31468,4522100,5585250,-9,1,1,1,1,-9,3,-9,-9,-9,-9,,"Bodengrube Stirnseite:2,60m; 80 GON
WZEZ: Baum 43"
140252,262,,,,1970-01-01,31468,4530850,5609050,-9,1,1,1,3,-9,1,-9,-9,-9,-9,,
140254,265,,,,1970-01-01,31468,4548450,5664350,-9,1,8,3,5,1,3,-9,-9,-9,-9,,
140315,315,,,,1970-01-01,31468,4522310,5593240,-9,1,6,1,2,-9,3,-9,-9,-9,-9,,
140316,316,,,,1970-01-01,31468,4556200,5656215,-9,1,5,1,1,-9,2,-9,-9,-9,-9,,
140317,-9,,,,1970-01-01,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,
