"";"bfhnr";"lfdnr";"ort";"bart";"schi";"bhd";"hori";"azi";"hoehe";"alter";"roid";"fadd"
"85";10003;19;9;"RBu";1;604;2310;333;NA;142;85;2013-06-19 10:11:40
"86";10003;20;9;"GFi";1;618;2335;352;NA;142;86;2013-06-19 10:11:40
"87";10003;21;9;"GFi";1;726;1278;353;383;142;87;2013-06-19 10:11:40
"88";10003;22;9;"RBu";1;577;1904;379;NA;142;88;2013-06-19 10:11:40
"89";10003;23;9;"GFi";1;700;1910;41;NA;142;89;2013-06-19 10:11:40
"90";10003;24;9;"RBu";1;527;1149;46;291;142;90;2013-06-19 10:11:40
"91";10003;25;9;"RBu";1;529;1819;51;NA;142;91;2013-06-19 10:11:40
"92";10003;26;9;"GFi";1;720;2092;52;NA;142;92;2013-06-19 10:11:40
"93";10003;27;9;"GKi";1;527;1176;81;360;142;93;2013-06-19 10:11:40
"94";10003;28;9;"GFi";1;758;2236;151;NA;142;94;2013-06-19 10:11:40
"95";10003;29;9;"GFi";1;647;1617;149;NA;142;95;2013-06-19 10:11:40
"96";10004;1;9;"RBu";2;234;313;151;208;60;96;2013-06-19 10:11:40
"97";10004;2;9;"RBu";2;254;668;151;NA;60;97;2013-06-19 10:11:40
"98";10004;3;9;"RBu";2;203;1021;157;NA;60;98;2013-06-19 10:11:40
"99";10004;4;9;"RBu";3;76;1052;200;NA;30;99;2013-06-19 10:11:40
"100";10004;5;9;"RBu";3;75;654;236;NA;25;100;2013-06-19 10:11:40
"101";10004;6;9;"RBu";2;87;510;255;NA;30;101;2013-06-19 10:11:40
"102";10004;7;9;"RBu";2;120;779;261;NA;30;102;2013-06-19 10:11:40
"103";10004;8;9;"RBu";2;99;798;263;NA;30;103;2013-06-19 10:11:40
"104";10004;9;9;"RBu";2;92;1126;264;NA;30;104;2013-06-19 10:11:40
"105";10004;10;9;"RBu";2;138;857;267;NA;30;105;2013-06-19 10:11:40
"106";10004;11;9;"RBu";3;73;997;281;NA;25;106;2013-06-19 10:11:40
"107";10004;12;9;"RBu";2;140;919;86;NA;35;107;2013-06-19 10:11:40
"108";10004;13;9;"RBu";2;152;1121;287;NA;35;108;2013-06-19 10:11:40
"109";10004;14;9;"RBu";2;122;717;288;NA;30;109;2013-06-19 10:11:40
"110";10004;15;9;"RBu";3;80;935;298;NA;25;110;2013-06-19 10:11:40
"111";10004;16;9;"SEi";1;755;1025;316;326;189;111;2013-06-19 10:11:40
"112";10004;17;9;"RBu";2;151;628;316;NA;50;112;2013-06-19 10:11:40
"113";10004;18;9;"RBu";2;212;661;317;NA;50;113;2013-06-19 10:11:40
"114";10004;19;9;"RBu";2;180;937;327;NA;45;114;2013-06-19 10:11:40
"115";10004;20;9;"RBu";3;75;1076;330;NA;25;115;2013-06-19 10:11:40
"116";10004;21;9;"RBu";2;173;553;363;NA;40;116;2013-06-19 10:11:40
"117";10004;22;9;"RBu";3;98;614;9;114;30;117;2013-06-19 10:11:40
"118";10004;23;9;"RBu";3;70;1067;84;98;25;118;2013-06-19 10:11:40
"119";10004;24;9;"RBu";3;74;520;92;NA;25;119;2013-06-19 10:11:40
"120";10004;25;9;"RBu";2;231;513;96;NA;50;120;2013-06-19 10:11:40
"121";10004;26;9;"RBu";2;291;700;103;205;60;121;2013-06-19 10:11:40
"122";10004;27;9;"RBu";2;128;1100;103;NA;40;122;2013-06-19 10:11:40
"123";10004;28;9;"RBu";3;70;1021;111;NA;30;123;2013-06-19 10:11:40
"124";10004;29;9;"BAh";2;197;1128;122;202;40;124;2013-06-19 10:11:40
"125";10004;30;9;"RBu";2;121;1060;128;NA;35;125;2013-06-19 10:11:40
"126";10004;31;9;"RBu";2;131;699;129;NA;40;126;2013-06-19 10:11:40
"127";10004;32;9;"RBu";2;172;846;132;NA;40;127;2013-06-19 10:11:40
"128";10004;33;9;"SEi";1;951;1163;248;NA;189;128;2013-06-19 10:11:40
"129";10004;34;9;"SEi";1;740;1138;3;269;189;129;2013-06-19 10:11:40
"130";10004;35;9;"SEi";1;799;1892;13;NA;189;130;2013-06-19 10:11:40
"131";10004;36;9;"SEi";1;836;1897;107;NA;189;131;2013-06-19 10:11:40
"132";10004;37;9;"SEi";1;903;2370;143;NA;189;132;2013-06-19 10:11:40
"133";10004;38;9;"RBu";1;547;1539;224;263;110;133;2013-06-19 10:11:40
"134";10004;39;9;"RBu";1;502;2493;24;257;110;134;2013-06-19 10:11:40
"135";10005;1;9;"SBi";1;80;93;376;NA;19;135;2013-06-19 10:11:40
"136";10005;2;9;"SFi";1;134;314;380;117;19;136;2013-06-19 10:11:40
"137";10005;3;9;"SBi";1;71;620;393;NA;19;137;2013-06-19 10:11:40
"138";10005;4;9;"SBi";1;99;473;6;NA;19;138;2013-06-19 10:11:40
"139";10005;5;9;"SFi";1;77;263;25;NA;19;139;2013-06-19 10:11:40
"140";10005;6;9;"SFi";1;80;672;26;NA;19;140;2013-06-19 10:11:40
"141";10005;7;9;"SBi";1;103;626;33;NA;19;141;2013-06-19 10:11:40
"142";10005;8;9;"SBi";1;98;813;37;NA;19;142;2013-06-19 10:11:40
"143";10005;9;9;"GKi";1;136;139;42;NA;19;143;2013-06-19 10:11:40
"144";10005;10;9;"SBi";1;92;1066;52;NA;19;144;2013-06-19 10:11:40
"145";10005;11;9;"SBi";1;87;615;52;NA;19;145;2013-06-19 10:11:40
"146";10005;12;9;"GKi";1;85;329;54;NA;19;146;2013-06-19 10:11:40
"147";10005;13;9;"SFi";1;143;214;75;109;19;147;2013-06-19 10:11:40
"148";10005;14;9;"GKi";1;75;836;78;NA;19;148;2013-06-19 10:11:40
"149";10005;15;9;"SFi";1;107;1112;85;NA;19;149;2013-06-19 10:11:40
"150";10005;16;9;"SFi";1;114;963;86;NA;19;150;2013-06-19 10:11:40
"151";10005;17;9;"SBi";1;95;495;92;NA;19;151;2013-06-19 10:11:40
"152";10005;18;9;"SBi";1;142;262;103;NA;19;152;2013-06-19 10:11:40
"153";10005;19;9;"SFi";1;137;1019;107;NA;19;153;2013-06-19 10:11:40
"154";10005;20;9;"SFi";1;74;1086;108;NA;19;154;2013-06-19 10:11:40
"155";10005;21;9;"SBi";1;115;1091;111;NA;19;155;2013-06-19 10:11:40
"156";10005;22;9;"SFi";1;113;666;121;NA;19;156;2013-06-19 10:11:40
"157";10005;23;9;"SBi";1;128;690;121;NA;19;157;2013-06-19 10:11:40
"158";10005;24;9;"SBi";1;92;840;121;NA;19;158;2013-06-19 10:11:40
"159";10005;25;9;"SBi";1;73;1120;121;NA;19;159;2013-06-19 10:11:40
"160";10005;26;9;"SFi";1;82;944;123;NA;19;160;2013-06-19 10:11:40
"161";10005;27;9;"SBi";1;97;115;129;NA;19;161;2013-06-19 10:11:40
"162";10005;28;9;"SBi";1;74;930;142;NA;19;162;2013-06-19 10:11:40
"163";10005;29;9;"SBi";1;77;704;147;NA;19;163;2013-06-19 10:11:40
"164";10005;30;9;"SBi";1;77;889;159;NA;19;164;2013-06-19 10:11:40
"165";10005;31;9;"SBi";1;99;314;159;NA;19;165;2013-06-19 10:11:40
"166";10005;32;9;"SFi";1;139;370;160;NA;19;166;2013-06-19 10:11:40
"167";10005;33;9;"SBi";1;91;847;166;NA;19;167;2013-06-19 10:11:40
"168";10005;34;9;"SBi";1;122;546;166;NA;19;168;2013-06-19 10:11:40
"169";10005;35;9;"SFi";1;85;1036;173;NA;19;169;2013-06-19 10:11:40
"170";10005;36;9;"GKi";1;144;1070;174;NA;19;170;2013-06-19 10:11:40
"171";10005;37;9;"SBi";1;86;959;179;NA;19;171;2013-06-19 10:11:40
"172";10005;38;9;"SBi";1;75;995;184;NA;19;172;2013-06-19 10:11:40
"173";10005;39;9;"SBi";1;86;1118;198;NA;19;173;2013-06-19 10:11:40
"174";10005;40;9;"SBi";1;74;845;200;NA;19;174;2013-06-19 10:11:40
"175";10005;41;9;"SBi";1;73;597;205;NA;19;175;2013-06-19 10:11:40
"176";10005;42;9;"SBi";1;82;777;210;NA;19;176;2013-06-19 10:11:40
"177";10005;43;9;"SBi";1;98;866;210;NA;19;177;2013-06-19 10:11:40
"178";10005;44;9;"SFi";1;75;913;220;NA;19;178;2013-06-19 10:11:40
"179";10005;45;9;"SFi";1;99;543;223;NA;19;179;2013-06-19 10:11:40
"180";10005;46;9;"SBi";1;99;284;223;NA;19;180;2013-06-19 10:11:40
"181";10005;47;9;"SBi";1;132;1003;231;111;19;181;2013-06-19 10:11:40
"182";10005;48;9;"SBi";1;93;675;237;NA;19;182;2013-06-19 10:11:40
"183";10005;49;9;"SBi";1;110;489;237;104;19;183;2013-06-19 10:11:40
"184";10005;50;9;"SBi";1;105;969;246;NA;19;184;2013-06-19 10:11:40
"185";10005;51;9;"SFi";1;107;1010;246;NA;19;185;2013-06-19 10:11:40
"186";10005;52;9;"SFi";1;89;644;265;NA;19;186;2013-06-19 10:11:40
"187";10005;53;9;"SFi";1;92;1089;274;NA;19;187;2013-06-19 10:11:40
"188";10005;54;9;"SFi";1;79;1068;283;NA;19;188;2013-06-19 10:11:40
"189";10005;55;9;"GKi";1;92;771;283;NA;19;189;2013-06-19 10:11:40
"190";10005;56;9;"SFi";1;82;682;283;NA;19;190;2013-06-19 10:11:40
"191";10005;57;9;"SFi";1;138;476;283;NA;19;191;2013-06-19 10:11:40
"192";10005;58;9;"SBi";1;71;247;301;NA;19;192;2013-06-19 10:11:40
"193";10005;59;9;"GKi";1;174;457;301;127;19;193;2013-06-19 10:11:40
"194";10005;60;9;"GKi";1;126;548;301;NA;19;194;2013-06-19 10:11:40
"195";10005;61;9;"SBi";1;112;886;301;NA;19;195;2013-06-19 10:11:40
"196";10005;62;9;"SFi";1;84;925;301;NA;19;196;2013-06-19 10:11:40
"197";10005;63;9;"SFi";1;82;924;302;NA;19;197;2013-06-19 10:11:40
"198";10005;64;9;"SFi";1;79;1014;308;NA;19;198;2013-06-19 10:11:40
"199";10005;65;9;"SFi";1;91;579;308;NA;19;199;2013-06-19 10:11:40
"200";10005;66;9;"SFi";1;115;595;308;NA;19;200;2013-06-19 10:11:40
"201";10005;67;9;"SFi";1;99;881;312;NA;19;201;2013-06-19 10:11:40
"202";10005;68;9;"SFi";1;83;992;317;NA;19;202;2013-06-19 10:11:40
"203";10005;69;9;"SFi";1;77;976;317;NA;19;203;2013-06-19 10:11:40
"204";10005;70;9;"SBi";1;79;910;319;NA;19;204;2013-06-19 10:11:40
"205";10005;71;9;"SFi";1;75;597;319;NA;19;205;2013-06-19 10:11:40
"206";10005;72;9;"SBi";1;70;868;325;NA;19;206;2013-06-19 10:11:40
"207";10005;73;9;"SFi";1;76;677;339;NA;19;207;2013-06-19 10:11:40
"208";10005;74;9;"SFi";1;100;454;339;NA;19;208;2013-06-19 10:11:40
"209";10005;75;9;"SBi";1;90;523;345;NA;19;209;2013-06-19 10:11:40
"210";10005;76;9;"SBi";1;94;419;345;NA;19;210;2013-06-19 10:11:40
"211";10005;77;9;"GKi";1;222;569;363;NA;19;211;2013-06-19 10:11:40
"212";10005;78;9;"GKi";1;136;261;366;110;19;212;2013-06-19 10:11:40
"213";10005;79;9;"GKi";0;508;1306;146;240;120;213;2013-06-19 10:11:40
"214";10005;80;9;"SEi";0;921;1730;70;243;120;214;2013-06-19 10:11:40
"215";10005;81;9;"SEi";0;791;1699;324;184;120;215;2013-06-19 10:11:40
"216";10006;1;9;"RBu";1;527;480;199;NA;118;216;2013-06-19 10:11:40
"217";10006;2;9;"RBu";1;609;965;224;NA;118;217;2013-06-19 10:11:40
"218";10006;3;9;"RBu";2;158;754;226;170;45;218;2013-06-19 10:11:40
"219";10006;4;9;"RBu";2;184;531;288;177;45;219;2013-06-19 10:11:40
"220";10006;5;9;"RBu";1;519;722;318;NA;118;220;2013-06-19 10:11:40
"221";10006;6;9;"RBu";3;126;792;354;NA;30;221;2013-06-19 10:11:40
"222";10006;7;9;"RBu";3;104;520;17;81;30;222;2013-06-19 10:11:40
"223";10006;8;9;"BAh";1;429;929;42;307;90;223;2013-06-19 10:11:40
"224";10006;9;9;"RBu";3;131;1054;42;NA;30;224;2013-06-19 10:11:40
"225";10006;10;9;"RBu";3;101;684;101;83;30;225;2013-06-19 10:11:40
"226";10006;11;9;"RBu";1;588;1708;184;NA;118;226;2013-06-19 10:11:40
"227";10006;12;9;"RBu";1;701;2210;202;NA;118;227;2013-06-19 10:11:40
"228";10006;13;9;"RBu";1;504;1802;233;NA;118;228;2013-06-19 10:11:40
"229";10006;14;9;"RBu";1;661;2473;255;NA;118;229;2013-06-19 10:11:40
"230";10006;15;9;"RBu";1;515;1737;273;311;118;230;2013-06-19 10:11:40
"231";10006;16;9;"RBu";1;535;2262;281;NA;118;231;2013-06-19 10:11:40
"232";10006;17;9;"RBu";1;768;1967;347;NA;118;232;2013-06-19 10:11:40
"233";10006;18;9;"RBu";1;546;1635;392;NA;118;233;2013-06-19 10:11:40
"234";10006;19;9;"RBu";1;651;2214;1;342;118;234;2013-06-19 10:11:40
"235";10006;20;9;"RBu";1;635;1990;81;NA;118;235;2013-06-19 10:11:40
"236";10006;21;9;"RBu";1;638;2027;113;NA;118;236;2013-06-19 10:11:40
"237";10006;22;9;"RBu";1;651;1494;123;NA;118;237;2013-06-19 10:11:40
"238";10006;23;9;"RBu";1;630;2234;162;NA;118;238;2013-06-19 10:11:40
"239";10007;1;9;"GKi";1;177;138;77;NA;32;239;2013-06-19 10:11:40
"240";10007;2;9;"Dgl";1;183;940;100;NA;32;240;2013-06-19 10:11:40
"241";10007;3;9;"Dgl";1;200;526;114;NA;32;241;2013-06-19 10:11:40
"242";10007;4;9;"Dgl";1;236;1093;115;NA;32;242;2013-06-19 10:11:40
"243";10007;5;9;"Dgl";1;216;899;123;192;32;243;2013-06-19 10:11:40
"244";10007;6;9;"Dgl";1;190;1098;129;NA;32;244;2013-06-19 10:11:40
"245";10007;7;9;"GKi";1;78;901;131;NA;32;245;2013-06-19 10:11:40
"246";10007;8;9;"GKi";1;95;333;145;NA;32;246;2013-06-19 10:11:40
"247";10007;9;9;"Dgl";1;299;1072;156;213;32;247;2013-06-19 10:11:40
"248";10007;10;9;"GKi";1;239;416;174;166;32;248;2013-06-19 10:11:40
"249";10007;11;9;"Dgl";1;190;1109;178;NA;32;249;2013-06-19 10:11:40
"250";10007;12;9;"Dgl";1;233;862;198;NA;32;250;2013-06-19 10:11:40
"251";10007;13;9;"GKi";1;127;1075;202;NA;32;251;2013-06-19 10:11:40
"252";10007;14;9;"GKi";1;156;560;203;NA;32;252;2013-06-19 10:11:40
"253";10007;15;9;"GKi";1;166;688;207;NA;32;253;2013-06-19 10:11:40
"254";10007;16;9;"Dgl";1;233;993;211;NA;32;254;2013-06-19 10:11:40
"255";10007;17;9;"Dgl";1;260;1094;211;NA;32;255;2013-06-19 10:11:40
"256";10007;18;9;"GKi";1;137;959;228;NA;32;256;2013-06-19 10:11:40
"257";10007;19;9;"GKi";1;212;280;232;156;32;257;2013-06-19 10:11:40
"258";10007;20;9;"GKi";1;175;845;243;NA;32;258;2013-06-19 10:11:40
"259";10007;21;9;"GKi";1;116;159;267;NA;32;259;2013-06-19 10:11:40
"260";10007;22;9;"GKi";1;116;370;285;NA;32;260;2013-06-19 10:11:40
"261";10007;23;9;"GKi";1;122;336;289;NA;32;261;2013-06-19 10:11:40
"262";10007;24;9;"GKi";1;183;956;301;NA;32;262;2013-06-19 10:11:40
"263";10007;25;9;"GKi";1;88;325;308;NA;32;263;2013-06-19 10:11:40
"264";10007;26;9;"GKi";1;165;292;337;NA;32;264;2013-06-19 10:11:40
"265";10007;27;9;"GKi";1;176;966;337;NA;32;265;2013-06-19 10:11:40
"266";10007;28;9;"GKi";1;191;1097;355;NA;32;266;2013-06-19 10:11:40
"267";10007;29;9;"GKi";1;235;357;360;NA;32;267;2013-06-19 10:11:40
"268";10007;30;9;"GKi";1;233;949;388;NA;32;268;2013-06-19 10:11:40
"269";10007;31;9;"GFi";1;138;1095;393;NA;32;269;2013-06-19 10:11:40
"270";10007;32;9;"GFi";1;289;412;2;200;32;270;2013-06-19 10:11:40
"271";10007;33;9;"GFi";1;181;1066;7;155;32;271;2013-06-19 10:11:40
"272";10007;34;9;"GKi";1;122;721;12;NA;32;272;2013-06-19 10:11:40
"273";10007;35;9;"Dgl";1;285;893;28;NA;32;273;2013-06-19 10:11:40
"274";10007;36;9;"GKi";1;131;415;37;NA;32;274;2013-06-19 10:11:40
"275";10007;37;9;"GKi";1;194;609;46;NA;32;275;2013-06-19 10:11:40
"276";10007;38;9;"Dgl";1;206;931;57;NA;32;276;2013-06-19 10:11:40
"277";10007;39;9;"GFi";1;509;2435;191;NA;32;277;2013-06-19 10:11:40
"278";10008;1;9;"GFi";2;296;254;55;NA;45;278;2013-06-19 10:11:40
"279";10008;2;9;"GKi";1;578;683;55;NA;141;279;2013-06-19 10:11:40
"280";10008;3;9;"Vbe";3;82;942;80;104;17;280;2013-06-19 10:11:40
"281";10008;4;9;"GFi";3;167;1089;125;NA;30;281;2013-06-19 10:11:40
"282";10008;5;9;"GFi";3;107;850;134;NA;30;282;2013-06-19 10:11:40
"283";10008;6;9;"SBi";3;88;1066;157;92;25;283;2013-06-19 10:11:40
"284";10008;7;9;"GFi";3;101;1100;158;NA;30;284;2013-06-19 10:11:40
"285";10008;8;9;"GFi";3;73;897;168;NA;25;285;2013-06-19 10:11:40
"286";10008;9;9;"GFi";2;181;1115;175;NA;35;286;2013-06-19 10:11:40
"287";10008;10;9;"GKi";1;564;581;175;278;141;287;2013-06-19 10:11:40
"288";10008;11;9;"GFi";2;182;1095;224;127;35;288;2013-06-19 10:11:40
"289";10008;12;9;"SBi";2;145;672;235;165;25;289;2013-06-19 10:11:40
"290";10008;13;9;"GFi";3;72;407;286;48;25;290;2013-06-19 10:11:40
"291";10008;14;9;"SBi";2;131;1065;291;158;25;291;2013-06-19 10:11:40
"292";10008;15;9;"GFi";2;208;969;292;NA;30;292;2013-06-19 10:11:40
"293";10008;16;9;"GKi";1;454;618;304;NA;141;293;2013-06-19 10:11:40
"294";10008;17;9;"GFi";2;173;670;306;NA;30;294;2013-06-19 10:11:40
"295";10008;18;9;"SBi";2;108;1125;323;NA;25;295;2013-06-19 10:11:40
"296";10008;19;9;"GFi";2;256;1092;358;193;40;296;2013-06-19 10:11:40
"297";10008;20;9;"GKi";1;469;939;369;NA;141;297;2013-06-19 10:11:40
"298";10008;21;9;"GFi";3;78;568;385;NA;25;298;2013-06-19 10:11:40
"299";10008;22;9;"GFi";2;209;319;385;NA;35;299;2013-06-19 10:11:40
"300";10008;23;9;"GKi";1;488;938;392;NA;141;300;2013-06-19 10:11:40
"301";10008;24;9;"GFi";3;118;522;7;NA;30;301;2013-06-19 10:11:40
"302";10008;25;9;"SBi";3;115;942;8;NA;25;302;2013-06-19 10:11:40
"303";10008;26;9;"SBi";3;95;964;14;NA;25;303;2013-06-19 10:11:40
"304";10008;27;9;"GFi";2;222;614;17;NA;35;304;2013-06-19 10:11:40
"305";10008;28;9;"SBi";3;88;1005;22;135;25;305;2013-06-19 10:11:40
"306";10008;29;9;"GFi";3;85;735;27;93;25;306;2013-06-19 10:11:40
"307";10008;30;9;"SBi";3;105;923;41;NA;25;307;2013-06-19 10:11:40
"308";10008;31;9;"GKi";1;608;1883;46;NA;141;308;2013-06-19 10:11:40
"309";10008;32;9;"GKi";1;518;2266;84;NA;141;309;2013-06-19 10:11:40
"310";10008;33;9;"GFi";1;602;2251;103;277;141;310;2013-06-19 10:11:40
"311";10008;34;9;"GKi";1;504;2177;164;NA;141;311;2013-06-19 10:11:40
"312";10008;35;9;"GKi";1;522;1912;171;NA;141;312;2013-06-19 10:11:40
"313";10008;36;9;"GKi";1;516;1557;175;NA;141;313;2013-06-19 10:11:40
"314";10008;37;9;"GKi";1;543;1365;329;NA;141;314;2013-06-19 10:11:40
"315";10008;38;9;"GFi";1;633;2463;141;305;141;315;2013-06-19 10:11:40
"316";10008;39;9;"GKi";1;515;2258;4;NA;141;316;2013-06-19 10:11:40
"317";10008;40;9;"GKi";1;522;1991;15;272;141;317;2013-06-19 10:11:40
"318";10010;1;9;"Hbu";2;118;203;124;NA;40;318;2013-06-19 10:11:40
"319";10010;2;9;"RBu";1;303;1037;131;NA;70;319;2013-06-19 10:11:40
"320";10010;3;9;"RBu";3;115;1077;135;NA;35;320;2013-06-19 10:11:40
"321";10010;4;9;"RBu";3;84;991;136;NA;35;321;2013-06-19 10:11:40
