Messtiefe_cm;pH_Wert;Plot;MoMoK_Nr;method;
80;3,2;BY-KF;29090;F;
90;3,23;BY-KF;29090;F;
100;3,32;BY-KF;29090;F;
110;3,72;BY-KF;29090;F;
120;3,87;BY-KF;29090;F;
130;3,86;BY-KF;29090;F;
140;4,08;BY-KF;29090;F;
146;3,96;BY-KF;29090;F;
160;4;BY-KF;29090;F;
180;4,31;BY-KF;29090;F;
200;4,56;BY-KF;29090;F;
210;4,87;BY-KF;29090;F;
232;5,1;BY-KF;29090;F;
3;3,86;RP-PB;27040;F;
16;4,06;RP-PB;27040;F;
27;4,17;RP-PB;27040;F;
30;4,22;RP-PB;27040;F;
40;4,52;RP-PB;27040;F;
10;3,45;ST-JM;35500;F;
30;3,44;ST-JM;35500;F;
50;3,77;ST-JM;35500;F;
65;3,97;ST-JM;35500;F;
6;3,21;NI-WK1;23060;F;
19;3,19;NI-WK1;23060;F;
35;3,77;NI-WK1;23060;F;
45;4,03;NI-WK1;23060;F;
55;3,98;NI-WK1;23060;F;
70;4,22;NI-WK1;23060;F;
90;4,6;NI-WK1;23060;F;
0,5;4,39;NI-WK2;23061;F;
4;4,13;NI-WK2;23061;F;
20;4,17;NI-WK2;23061;F;
26;3,58;NI-WK2;23061;F;
35;4,09;NI-WK2;23061;F;
50;4,06;NI-WK2;23061;F;
5;6,57;BB-HS;32070;H2O;
25;6,37;BB-HS;32070;H2O;
45;6,48;BB-HS;32070;H2O;
65;6,67;BB-HS;32070;H2O;
85;6,77;BB-HS;32070;H2O;
100;6,77;BB-HS;32070;H2O;
135;6,91;BB-HS;32070;H2O;
165;7,12;BB-HS;32070;H2O;
195;7,52;BB-HS;32070;H2O;
220;7,39;BB-HS;32070;H2O;
250;7,38;BB-HS;32070;H2O;
280;7,51;BB-HS;32070;H2O;
310;7,4;BB-HS;32070;H2O;
340;7,38;BB-HS;32070;H2O;
375;7,5;BB-HS;32070;H2O;
410;7,46;BB-HS;32070;H2O;
440;7,51;BB-HS;32070;H2O;
475;7,53;BB-HS;32070;H2O;
525;7,48;BB-HS;32070;H2O;
575;7,51;BB-HS;32070;H2O;
603;7,58;BB-HS;32070;H2O;
5;7,07;BB-PF;32090;H2O;
15;6,78;BB-PF;32090;H2O;
26;6,78;BB-PF;32090;H2O;
35;6,56;BB-PF;32090;H2O;
45;6,34;BB-PF;32090;H2O;
55;6,48;BB-PF;32090;H2O;
65;6,68;BB-PF;32090;H2O;
75;6,77;BB-PF;32090;H2O;
85;6,84;BB-PF;32090;H2O;
110;6,98;BB-PF;32090;H2O;
125;6,99;BB-PF;32090;H2O;
145;6,84;BB-PF;32090;H2O;
165;6,87;BB-PF;32090;H2O;
185;6,85;BB-PF;32090;H2O;
210;6,91;BB-PF;32090;H2O;
225;6,86;BB-PF;32090;H2O;
240;6,81;BB-PF;32090;H2O;
255;6,9;BB-PF;32090;H2O;
270;6,83;BB-PF;32090;H2O;
290;6,85;BB-PF;32090;H2O;
315;6,9;BB-PF;32090;H2O;
350;6,97;BB-PF;32090;H2O;
380;6,96;BB-PF;32090;H2O;
430;7,17;BB-PF;32090;H2O;
490;7;BB-PF;32090;H2O;
525;7,26;BB-PF;32090;H2O;
620;7,43;BB-PF;32090;H2O;
675;7,46;BB-PF;32090;H2O;
735;7,54;BB-PF;32090;H2O;
775;7,43;BB-PF;32090;H2O;
835;7,49;BB-PF;32090;H2O;
875;7,44;BB-PF;32090;H2O;
930;7,3;BB-PF;32090;H2O;
985;7,33;BB-PF;32090;H2O;
;4,9;BB-KB;32010;H2O;0-5
5;4,8;BB-KB;32010;H2O;0-5
;4,7;BB-KB;32010;H2O;0-5
15;4,766666667;BB-KB;32010;H2O;5-15
;4,8;BB-KB;32010;H2O;5-15
;4,7;BB-KB;32010;H2O;5-15
40;4,9;BB-KB;32010;H2O;15-40
;4,6;BB-KB;32010;H2O;15-40
;4,8;BB-KB;32010;H2O;15-40
80;4,633333333;BB-KB;32010;H2O;40-80
;4,5;BB-KB;32010;H2O;40-80
;4,7;BB-KB;32010;H2O;40-80
100;4,633333333;BB-KB;32010;H2O;80-100
;4,8;BB-KB;32010;H2O;80-100
;4,5;BB-KB;32010;H2O;80-100
105;4,9;BB-KB;32010;H2O;
115;5,3;BB-KB;32010;H2O;
123;6,3;BB-KB;32010;H2O;
135;6,5;BB-KB;32010;H2O;
140;6,5;BB-KB;32010;H2O;
145;6,6;BB-KB;32010;H2O;
160;6,5;BB-KB;32010;H2O;
175;6,5;BB-KB;32010;H2O;
190;6,5;BB-KB;32010;H2O;
210;6,5;BB-KB;32010;H2O;
225;6,4;BB-KB;32010;H2O;
