"";"MoMoK_Nr";"Name";"Bundeland";"Datum";"Nr_VJ_PK";"Lage";"Distanz MB [cm]";"pk_maxdist [cm]";"LfdNr";"Baumart (Code)";"Baumart";"Hoehe [cm]";"grklasse"
"133";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;1;153;"STK";196;1
"134";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;2;NA;"FLB";340;1
"135";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;3;153;"STK";168;1
"136";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;4;153;"STK";265;1
"137";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;5;NA;"FLB";297;1
"138";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;6;153;"STK";320;1
"139";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;7;153;"STK";97;0
"140";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;8;153;"STK";340;2
"141";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;9;153;"STK";520;2
"142";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"N";"Nord";1000;233;10;153;"STK";460;1
"143";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;1;153;"STK";70;0
"144";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;2;153;"STK";75;0
"145";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;3;121;"VBE";167;1
"146";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;4;153;"STK";160;1
"147";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;5;153;"STK";216;1
"148";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;6;153;"STK";370;1
"149";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;7;153;"STK";115;1
"150";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;8;153;"STK";540;3
"151";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;9;153;"STK";640;2
"152";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"E";"Ost";1000;336;10;153;"STK";800;3
"153";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;1;153;"STK";210;1
"154";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;2;153;"STK";225;1
"155";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;3;153;"STK";147;1
"156";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;4;NA;"FLB";320;1
"157";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;5;NA;"FLB";400;1
"158";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;6;153;"STK";490;1
"159";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;7;153;"STK";540;1
"160";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;8;153;"STK";500;3
"161";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;9;153;"STK";510;2
"162";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"S";"Süd";1000;393;10;153;"STK";680;2
"163";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;1;153;"STK";60;0
"164";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;2;153;"STK";135;1
"165";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;3;153;"STK";385;2
"166";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;4;121;"VBE";285;1
"167";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;5;NA;"FLB";355;1
"168";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;6;NA;"FLB";245;1
"169";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;7;153;"STK";170;1
"170";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;8;153;"STK";140;1
"171";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;9;108;"MBI";115;0
"172";32080;"Plötzensee/Biesenthal";"BB";2022-08-03;"W";"West";1000;470;10;153;"STK";740;3
"173";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;1;NA;"FLB";140;1
"174";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;2;NA;"FLB";103;0
"175";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;3;104;"SER";75;0
"176";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;4;NA;"FLB";235;1
"177";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;5;104;"SER";140;1
"178";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;6;104;"SER";110;0
"179";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;7;NA;"FLB";380;1
"180";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;8;104;"SER";520;1
"181";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;9;104;"SER";670;2
"182";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"N";"Nord";1000;386;10;NA;"FLB";570;2
"183";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;1;NA;"FLB";150;1
"184";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;2;NA;"FLB";100;0
"185";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;3;104;"SER";80;0
"186";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;4;NA;"FLB";53;0
"187";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;5;104;"SER";100;0
"188";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;6;104;"SER";135;1
"189";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;7;104;"SER";200;1
"190";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;8;104;"SER";170;1
"191";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;9;NA;"FLB";340;2
"192";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"E";"Ost";1000;459;10;121;"VBE";35;0
"193";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;1;NA;"FLB";100;0
"194";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;2;104;"SER";95;0
"195";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;3;104;"SER";300;1
"196";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;4;NA;"FLB";270;1
"197";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;5;104;"SER";155;1
"198";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;6;NA;"FLB";90;0
