"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"50";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";32;2;4;3,4;"48";4
"51";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";33;2;4;2;"26.5";2
"52";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";34;2;4;2;"13.5";3
"53";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";35;2;4;2,2;"50.5";5
"54";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";36;2;4;2,7;"25";2
"55";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";37;2;4;2;"15.5";3
"56";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";38;2;4;4,1;"51";4
"57";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";39;2;4;2,6;"18.5";2
"58";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";40;2;4;2,4;"24";1
"59";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";41;2;4;2,4;"30";5
"60";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";42;2;4;3,2;"34";4
"61";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";43;2;4;2,8;"27.5";3
"62";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";44;2;2;85;"16";2
"63";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";45;2;2;87;"11.5";1
"64";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";46;2;2;35;"10";3
